#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5          0.64167024     0.00325791       0.55291953     0.00281961       0.72455781     0.00367055       -13.83%     12.92%
           5          10          0.56369932     0.00189063       0.48790888     0.00163692       0.63424330     0.00212919       -13.45%     12.51%
          10          15          0.28868761     0.00124899       0.25005825     0.00107175       0.32476680     0.00141900       -13.38%     12.50%
          15          20          0.21208284     0.00136030       0.18326351     0.00112533       0.23924329     0.00159438       -13.59%     12.81%
          20          25          0.16604504    0.000715166       0.14325992    0.000614143       0.18763466    0.000812709       -13.72%     13.00%
          25          30          0.13579886    0.000652141       0.11711099    0.000558961       0.15352873    0.000742102       -13.76%     13.06%
          30          35          0.12881081    0.000691740       0.11107349    0.000593568       0.14558980    0.000785997       -13.77%     13.03%
          35          40          0.15552715    0.000985445       0.13409785    0.000845930       0.17568752     0.00111820       -13.78%     12.96%
          40          45          0.18721424    0.000934389       0.16143989    0.000806218       0.21137817     0.00105544       -13.77%     12.91%
          45          50          0.22937200     0.00106036       0.19774446    0.000916387       0.25896147     0.00119585       -13.79%     12.90%
          50          55          0.27694687     0.00116840       0.23866020     0.00100893       0.31273864     0.00131877       -13.82%     12.92%
          55          60          0.33346899     0.00136655       0.28735731     0.00117903       0.37653972     0.00154380       -13.83%     12.92%
          60          65          0.38666034     0.00154402       0.33328694     0.00133504       0.43647852     0.00174022       -13.80%     12.88%
          65          70          0.42351914     0.00162622       0.36524599     0.00140600       0.47786887     0.00183343       -13.76%     12.83%
          70          75          0.39949317     0.00186946       0.34516379     0.00161870       0.45007332     0.00210443       -13.60%     12.66%
          75          80          0.24760782     0.00165251       0.21560244     0.00143153       0.27721020     0.00185958       -12.93%     11.96%
          80          85          0.14007739    0.000612938       0.12652795    0.000541516       0.15206879    0.000679255        -9.67%      8.56%
          85          90          0.70900103     0.00155207       0.65286420     0.00143355       0.75675835     0.00165553        -7.92%      6.74%
          90          95           2.3749569     0.00335512        2.1920770     0.00311370        2.5296993     0.00356504        -7.70%      6.52%
          95         100          0.22807357     0.00117227       0.21052754     0.00108195       0.24293546     0.00125188        -7.69%      6.52%
         100         105         0.074211771    0.000635852      0.068465927    0.000586293      0.079091904    0.000678882        -7.74%      6.58%
         105         110         0.039890156    0.000463560      0.036772619    0.000423163      0.042550474    0.000500046        -7.82%      6.67%
         110         115         0.025444534    0.000305594      0.023452988    0.000274995      0.027146823    0.000336500        -7.83%      6.69%
         115         120         0.018993984    0.000244935      0.017531062    0.000225746      0.020242540    0.000261889        -7.70%      6.57%
         120         125         0.014266225    0.000238989      0.013178115    0.000218045      0.015194410    0.000257614        -7.63%      6.51%
         125         130         0.011912579    0.000285683      0.011017273    0.000258661      0.012675678    0.000309691        -7.52%      6.41%
         130         135        0.0096601179    0.000180421     0.0089449213    0.000165215      0.010268067    0.000193847        -7.40%      6.29%
         135         140        0.0083247052    0.000332965     0.0076954484    0.000301365     0.0088618978    0.000360931        -7.56%      6.45%
         140         145        0.0072549070    0.000158749     0.0067353375    0.000147849     0.0076943976    0.000168216        -7.16%      6.06%
         145         150        0.0059031599    0.000119493     0.0054956538    0.000113343     0.0062468641    0.000124952        -6.90%      5.82%
         150         155        0.0053245501    0.000104228     0.0049577803    9.68671e-05     0.0056337700    0.000110722        -6.89%      5.81%
         155         160        0.0046428378    8.14419e-05     0.0043242730    7.56038e-05     0.0049099411    8.64951e-05        -6.86%      5.75%
         160         165        0.0042854246    9.29160e-05     0.0040069244    8.89155e-05     0.0045175684    9.63133e-05        -6.50%      5.42%
         165         170        0.0039128331    0.000112057     0.0036476958    0.000100714     0.0041370274    0.000123677        -6.78%      5.73%
         170         175        0.0034710459    6.52519e-05     0.0032498541    6.14028e-05     0.0036554194    6.86326e-05        -6.37%      5.31%
         175         180        0.0033415256    0.000113628     0.0031336334    0.000105553     0.0035133509    0.000120556        -6.22%      5.14%
         180         185        0.0028731994    7.01688e-05     0.0026996934    6.59824e-05     0.0030156418    7.36797e-05        -6.04%      4.96%
         185         190        0.0026480682    7.58067e-05     0.0024918859    7.39433e-05     0.0027768611    7.73456e-05        -5.90%      4.86%
         190         195        0.0024139847    5.61182e-05     0.0022705512    5.26266e-05     0.0025319560    5.91379e-05        -5.94%      4.89%
         195         200        0.0022019301    4.94961e-05     0.0020748720    4.71238e-05     0.0023058925    5.14928e-05        -5.77%      4.72%
         200         205        0.0021434348    0.000107042     0.0020236011    0.000100834     0.0022407476    0.000112134        -5.59%      4.54%
         205         210        0.0019270243    4.60539e-05     0.0018216820    4.39083e-05     0.0020124370    4.78515e-05        -5.47%      4.43%
         210         215        0.0017625316    4.37498e-05     0.0016690461    4.18075e-05     0.0018372558    4.53098e-05        -5.30%      4.24%
         215         220        0.0016789856    6.33301e-05     0.0015910536    5.92407e-05     0.0017496733    6.67638e-05        -5.24%      4.21%
         220         225        0.0016236884    9.42622e-05     0.0015380993    8.82220e-05     0.0016921738    9.91570e-05        -5.27%      4.22%
         225         230        0.0014289156    4.00877e-05     0.0013596729    3.92122e-05     0.0014839757    4.09348e-05        -4.85%      3.85%
         230         235        0.0013225652    4.28448e-05     0.0012591593    4.09103e-05     0.0013725957    4.44466e-05        -4.79%      3.78%
         235         240        0.0012553844    3.81108e-05     0.0011963199    3.64466e-05     0.0013019791    3.95192e-05        -4.70%      3.71%
         240         245        0.0012001544    4.90340e-05     0.0011420288    4.59513e-05     0.0012465008    5.17680e-05        -4.84%      3.86%
         245         250        0.0011447704    7.22812e-05     0.0010928641    6.85482e-05     0.0011854088    7.53971e-05        -4.53%      3.55%
         250         255        0.0011281948    6.31607e-05     0.0010768775    5.97005e-05     0.0011684858    6.60716e-05        -4.55%      3.57%
         255         260        0.0010169924    6.04112e-05    0.00097340812    5.71107e-05     0.0010506143    6.31039e-05        -4.29%      3.31%
         260         265       0.00089221789    3.03090e-05    0.00085486699    2.92790e-05    0.00092085285    3.11043e-05        -4.19%      3.21%
         265         270       0.00090982195    4.76779e-05    0.00087833904    4.83039e-05    0.00093315333    4.70485e-05        -3.46%      2.56%
         270         275       0.00081060088    3.07476e-05    0.00077820448    2.95372e-05    0.00083512533    3.16972e-05        -4.00%      3.03%
         275         280       0.00080309161    3.28041e-05    0.00077168758    3.16475e-05    0.00082678505    3.36741e-05        -3.91%      2.95%
         280         285       0.00073058754    3.52889e-05    0.00070166083    3.44429e-05    0.00075269709    3.59282e-05        -3.96%      3.03%
         285         290       0.00072669868    5.70169e-05    0.00069846944    5.36886e-05    0.00074804827    5.97003e-05        -3.88%      2.94%
         290         295       0.00066740369    2.93135e-05    0.00064380704    2.84437e-05    0.00068492581    2.99695e-05        -3.54%      2.63%
         295         300       0.00064108731    2.70986e-05    0.00061943281    2.63145e-05    0.00065685513    2.76724e-05        -3.38%      2.46%
         300         305       0.00058860648    2.48992e-05    0.00056921996    2.41379e-05    0.00060271027    2.55150e-05        -3.29%      2.40%
         305         310       0.00051766750    2.21295e-05    0.00049888297    2.09944e-05    0.00053168112    2.31014e-05        -3.63%      2.71%
         310         315       0.00053038830    2.97758e-05    0.00051494483    2.92375e-05    0.00054120614    3.01638e-05        -2.91%      2.04%
         315         320       0.00068397295    0.000108087    0.00066234094    0.000103084    0.00069940155    0.000111931        -3.16%      2.26%
         320         325       0.00048883672    2.89140e-05    0.00047476077    2.79675e-05    0.00049863882    2.96155e-05        -2.88%      2.01%
         325         330       0.00046911132    2.34196e-05    0.00045641181    2.29753e-05    0.00047771485    2.36964e-05        -2.71%      1.83%
         330         335       0.00042707000    1.95967e-05    0.00041418840    1.89494e-05    0.00043631111    2.01226e-05        -3.02%      2.16%
         335         340       0.00038751692    1.84375e-05    0.00037597421    1.78361e-05    0.00039569511    1.88819e-05        -2.98%      2.11%
         340         345       0.00041245214    2.14973e-05    0.00040260196    2.09681e-05    0.00041887163    2.18653e-05        -2.39%      1.56%
         345         350       0.00038352152    2.51903e-05    0.00037493464    2.47765e-05    0.00038887234    2.54329e-05        -2.24%      1.40%
         350         355       0.00056668725    0.000130489    0.00055503356    0.000126081    0.00057378344    0.000133584        -2.06%      1.25%
