#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0         0.1                   0              0                0              0                0              0            0%         0%
         0.1         0.2                   0              0                0              0                0              0            0%         0%
         0.2         0.3                   0              0                0              0                0              0            0%         0%
         0.3         0.4       7.6901025e-06    7.69011e-06    6.0607724e-06    6.06078e-06    9.5780575e-06    9.57807e-06       -21.19%     24.55%
         0.4         0.5       0.00020077196    0.000121124    0.00015728622    9.39854e-05    0.00025185383    0.000153314       -21.66%     25.44%
         0.5         0.6       0.00026040183    0.000132808    0.00020493822    0.000103640    0.00032537017    0.000167274       -21.30%     24.95%
         0.6         0.7       0.00015999166    7.60087e-05    0.00012794946    6.08281e-05    0.00019688264    9.34922e-05       -20.03%     23.06%
         0.7         0.8       0.00059335662    0.000159250    0.00046694366    0.000124639    0.00074129312    0.000200030       -21.30%     24.93%
         0.8         0.9        0.0010922156    0.000259895    0.00087475619    0.000206965     0.0013423881    0.000321200       -19.91%     22.91%
         0.9           1        0.0016046373    0.000333345     0.0012744086    0.000261912     0.0019874936    0.000417142       -20.58%     23.86%
           1         1.1        0.0027612155    0.000466784     0.0021960448    0.000367814     0.0034155079    0.000582542       -20.47%     23.70%
         1.1         1.2        0.0039223406    0.000619435     0.0030886330    0.000481789     0.0048967991    0.000782094       -21.26%     24.84%
         1.2         1.3        0.0051011960    0.000575690     0.0040518851    0.000451035     0.0063181223    0.000722476       -20.57%     23.86%
         1.3         1.4        0.0068616922    0.000761235     0.0054493556    0.000592472     0.0085008406    0.000961273       -20.58%     23.89%
         1.4         1.5        0.0099384239    0.000941120     0.0078868991    0.000733869      0.012321104     0.00118635       -20.64%     23.97%
         1.5         1.6         0.013240098     0.00102162      0.010561466    0.000808736      0.016332884     0.00126977       -20.23%     23.36%
         1.6         1.7         0.019355198     0.00138346      0.015392339     0.00109887      0.023943709     0.00171439       -20.47%     23.71%
         1.7         1.8         0.019164940     0.00111790      0.015285272    0.000878798      0.023647875     0.00139895       -20.24%     23.39%
         1.8         1.9         0.029234364     0.00175632      0.023341041     0.00138495      0.036033851     0.00219163       -20.16%     23.26%
         1.9           2         0.035037408     0.00166077      0.027999524     0.00131569      0.043150337     0.00206323       -20.09%     23.16%
           2         2.1         0.042710896     0.00159908      0.034193913     0.00126883      0.052509603     0.00198335       -19.94%     22.94%
         2.1         2.2         0.054175094     0.00206726      0.043418393     0.00163907      0.066539050     0.00256653       -19.86%     22.82%
         2.2         2.3         0.066366949     0.00222306      0.053219966     0.00176746      0.081465155     0.00275250       -19.81%     22.75%
         2.3         2.4         0.082174701     0.00260759      0.065817184     0.00207246       0.10098095     0.00322861       -19.91%     22.89%
