#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5        0.0062540305    0.000131340     0.0049727486    0.000104024     0.0077385918    0.000163202       -20.49%     23.74%
           5          10         0.011486636    0.000166923     0.0091795216    0.000133190      0.014145410    0.000205971       -20.09%     23.15%
          10          15         0.013473469    0.000178047      0.010802855    0.000142792      0.016540385    0.000218624       -19.82%     22.76%
          15          20         0.012230560    0.000156300     0.0098595004    0.000126326      0.014937167    0.000190494       -19.39%     22.13%
          20          25        0.0077983292    0.000107854     0.0063326274    8.79131e-05     0.0094577969    0.000130388       -18.80%     21.28%
          25          30        0.0052483158    0.000106082     0.0042886125    8.73711e-05     0.0063271892    0.000126966       -18.29%     20.56%
          30          35        0.0036339470    8.03357e-05     0.0029809022    6.58773e-05     0.0043646952    9.65463e-05       -17.97%     20.11%
          35          40        0.0024695081    5.18998e-05     0.0020347893    4.28629e-05     0.0029533854    6.19549e-05       -17.60%     19.59%
          40          45        0.0019267612    4.83372e-05     0.0015927047    4.01281e-05     0.0022971141    5.74247e-05       -17.34%     19.22%
          45          50        0.0014655837    4.13823e-05     0.0012152295    3.44274e-05     0.0017421338    4.90492e-05       -17.08%     18.87%
          50          55        0.0011796685    4.33125e-05    0.00097926348    3.57744e-05     0.0014006846    5.16861e-05       -16.99%     18.74%
          55          60       0.00097590384    4.38248e-05    0.00081199470    3.64032e-05     0.0011560901    5.20101e-05       -16.80%     18.46%
          60          65       0.00069830856    2.89228e-05    0.00058312421    2.42077e-05    0.00082439342    3.40745e-05       -16.49%     18.06%
          65          70       0.00051681215    2.05422e-05    0.00043216255    1.71691e-05    0.00060931872    2.42348e-05       -16.38%     17.90%
          70          75       0.00046625909    2.77539e-05    0.00039034369    2.30629e-05    0.00054906181    3.29187e-05       -16.28%     17.76%
          75          80       0.00032916871    2.25559e-05    0.00027619778    1.87860e-05    0.00038678779    2.66949e-05       -16.09%     17.50%
          80          85       0.00027680087    1.80286e-05    0.00023307424    1.51799e-05    0.00032415564    2.11168e-05       -15.80%     17.11%
          85          90       0.00023276282    1.66470e-05    0.00019646667    1.40628e-05    0.00027195339    1.94367e-05       -15.59%     16.84%
          90          95       0.00017729520    1.31968e-05    0.00014943541    1.10991e-05    0.00020742061    1.54720e-05       -15.71%     16.99%
