#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           2       0.00035773714    7.73830e-05    0.00028365148    6.15276e-05    0.00044373772    9.57427e-05       -20.71%     24.04%
           2           4        0.0034510377    0.000126309     0.0027603744    0.000101357     0.0042459385    0.000155028       -20.01%     23.03%
           4           6        0.0038532883    0.000115969     0.0030992895    9.30059e-05     0.0047160148    0.000142362       -19.57%     22.39%
           6           8        0.0038174929    0.000107321     0.0030706578    8.61675e-05     0.0046721506    0.000131629       -19.56%     22.39%
           8          10        0.0041590673    0.000112163     0.0033386869    8.95449e-05     0.0051001373    0.000138320       -19.73%     22.63%
          10          12        0.0044810971    0.000117091     0.0035980603    9.36683e-05     0.0054938579    0.000144131       -19.71%     22.60%
          12          14        0.0054674591    0.000131747     0.0043770546    0.000105055     0.0067222172    0.000162689       -19.94%     22.95%
          14          16        0.0064823439    0.000146741     0.0051814599    0.000116911     0.0079817023    0.000181344       -20.07%     23.13%
          16          18        0.0077166376    0.000161169     0.0061618084    0.000128573     0.0095106158    0.000198965       -20.15%     23.25%
          18          20        0.0082759331    0.000162684     0.0066124315    0.000129710      0.010194082    0.000200915       -20.10%     23.18%
          20          22        0.0084489136    0.000160249     0.0067544534    0.000127883      0.010401490    0.000197738       -20.06%     23.11%
          22          24        0.0081145819    0.000150729     0.0064988567    0.000120682     0.0099726328    0.000185395       -19.91%     22.90%
          24          26        0.0081316619    0.000154617     0.0065190252    0.000123788     0.0099840397    0.000190185       -19.83%     22.78%
          26          28        0.0077886937    0.000149631     0.0062582477    0.000120430     0.0095425301    0.000183137       -19.65%     22.52%
          28          30        0.0070279487    0.000138648     0.0056539384    0.000111603     0.0086003245    0.000169672       -19.55%     22.37%
          30          32        0.0063585647    0.000127195     0.0051208632    0.000102438     0.0077730099    0.000155557       -19.47%     22.24%
          32          34        0.0059588770    0.000125804     0.0048097786    0.000101778     0.0072690156    0.000153205       -19.28%     21.99%
          34          36        0.0053911024    0.000121399     0.0043565510    9.83065e-05     0.0065692021    0.000147717       -19.19%     21.85%
          36          38        0.0047467450    0.000107330     0.0038381148    8.67781e-05     0.0057806568    0.000130777       -19.14%     21.78%
          38          40        0.0045090119    0.000104301     0.0036529925    8.46309e-05     0.0054809561    0.000126648       -18.98%     21.56%
          40          42        0.0042461515    0.000111587     0.0034433493    9.05902e-05     0.0051566903    0.000135446       -18.91%     21.44%
          42          44        0.0036480981    9.02625e-05     0.0029572501    7.32542e-05     0.0044318796    0.000109584       -18.94%     21.48%
          44          46        0.0033422259    9.05990e-05     0.0027122141    7.34600e-05     0.0040561469    0.000110084       -18.85%     21.36%
          46          48        0.0031071032    9.82190e-05     0.0025250859    7.94841e-05     0.0037654994    0.000119575       -18.73%     21.19%
          48          50        0.0027680867    7.56778e-05     0.0022529428    6.17090e-05     0.0033498720    9.14566e-05       -18.61%     21.02%
          50          52        0.0024510535    6.76709e-05     0.0019953334    5.50498e-05     0.0029656130    8.19771e-05       -18.59%     20.99%
          52          54        0.0024758665    7.52959e-05     0.0020200082    6.16160e-05     0.0029893155    9.06855e-05       -18.41%     20.74%
          54          56        0.0021563160    7.10691e-05     0.0017585570    5.78568e-05     0.0026045306    8.60185e-05       -18.45%     20.79%
          56          58        0.0020669965    6.51478e-05     0.0016864368    5.29153e-05     0.0024955970    7.90217e-05       -18.41%     20.74%
          58          60        0.0018237521    6.09332e-05     0.0014917971    4.99397e-05     0.0021965448    7.32756e-05       -18.20%     20.44%
          60          62        0.0018106711    6.57441e-05     0.0014840511    5.40287e-05     0.0021766385    7.88613e-05       -18.04%     20.21%
          62          64        0.0016456868    5.68403e-05     0.0013481134    4.65700e-05     0.0019792893    6.83859e-05       -18.08%     20.27%
          64          66        0.0014620029    4.97901e-05     0.0011960779    4.07605e-05     0.0017604893    5.99365e-05       -18.19%     20.42%
          66          68        0.0013648400    5.14293e-05     0.0011188215    4.21284e-05     0.0016404306    6.18900e-05       -18.03%     20.19%
          68          70        0.0012140297    4.53800e-05    0.00099665148    3.73324e-05     0.0014570919    5.43810e-05       -17.91%     20.02%
          70          72        0.0011484816    4.28187e-05    0.00094293105    3.51601e-05     0.0013782802    5.13961e-05       -17.90%     20.01%
          72          74        0.0011153862    4.69427e-05    0.00091623701    3.85863e-05     0.0013378824    5.62875e-05       -17.85%     19.95%
          74          76        0.0010575895    4.39372e-05    0.00086977222    3.61625e-05     0.0012671721    5.26171e-05       -17.76%     19.82%
          76          78        0.0010019953    4.35814e-05    0.00082491728    3.59209e-05     0.0011993641    5.21247e-05       -17.67%     19.70%
          78          80       0.00092584787    4.14523e-05    0.00076076621    3.38842e-05     0.0011101922    4.99681e-05       -17.83%     19.91%
          80          82       0.00089295984    4.26982e-05    0.00073553806    3.52077e-05     0.0010682790    5.10500e-05       -17.63%     19.63%
          82          84       0.00086320528    3.75332e-05    0.00071049924    3.06935e-05     0.0010333911    4.52204e-05       -17.69%     19.72%
          84          86       0.00077971902    3.71330e-05    0.00064422438    3.08449e-05    0.00093006966    4.40840e-05       -17.38%     19.28%
          86          88        0.0010067981    4.18766e-05    0.00083159765    3.46034e-05     0.0012012863    4.99602e-05       -17.40%     19.32%
          88          90        0.0014410743    4.73880e-05     0.0011923511    3.94602e-05     0.0017165918    5.61370e-05       -17.26%     19.12%
          90          92        0.0030687236    8.88700e-05     0.0025430695    7.37868e-05     0.0036497248    0.000105516       -17.13%     18.93%
          92          94        0.0016416730    7.89199e-05     0.0013589290    6.53753e-05     0.0019545925    9.38766e-05       -17.22%     19.06%
          94          96       0.00080948331    4.41576e-05    0.00066978578    3.63785e-05    0.00096420315    5.28309e-05       -17.26%     19.11%
          96          98       0.00062574784    3.45735e-05    0.00051805213    2.85867e-05    0.00074493158    4.12100e-05       -17.21%     19.05%
          98         100       0.00058323256    2.99922e-05    0.00048304553    2.48306e-05    0.00069406531    3.57124e-05       -17.18%     19.00%
         100         102       0.00054290979    3.15169e-05    0.00044924910    2.59574e-05    0.00064663422    3.77113e-05       -17.25%     19.11%
         102         104       0.00050143601    3.19416e-05    0.00041639656    2.68866e-05    0.00059522706    3.74467e-05       -16.96%     18.70%
         104         106       0.00043745272    2.81390e-05    0.00036315121    2.36149e-05    0.00051943461    3.30855e-05       -16.99%     18.74%
         106         108       0.00045134240    2.75008e-05    0.00037552623    2.30463e-05    0.00053480794    3.23799e-05       -16.80%     18.49%
         108         110       0.00043870895    2.86487e-05    0.00036316178    2.36550e-05    0.00052232883    3.42006e-05       -17.22%     19.06%
         110         112       0.00037807627    2.43205e-05    0.00031415564    2.02778e-05    0.00044851502    2.87690e-05       -16.91%     18.63%
         112         114       0.00032776516    2.47740e-05    0.00027175061    2.03143e-05    0.00038965698    2.97653e-05       -17.09%     18.88%
         114         116       0.00034289354    2.76242e-05    0.00028537196    2.31521e-05    0.00040615094    3.25030e-05       -16.78%     18.45%
         116         118       0.00032874641    2.35908e-05    0.00027223213    1.93414e-05    0.00039124464    2.83421e-05       -17.19%     19.01%
         118         120       0.00030017487    2.09047e-05    0.00024947359    1.73778e-05    0.00035603691    2.47978e-05       -16.89%     18.61%
         120         122       0.00031197966    2.21867e-05    0.00026012060    1.86368e-05    0.00036889208    2.60594e-05       -16.62%     18.24%
         122         124       0.00028839649    2.00733e-05    0.00024000799    1.66769e-05    0.00034161456    2.38197e-05       -16.78%     18.45%
         124         126       0.00026121277    1.92400e-05    0.00021742979    1.60218e-05    0.00030935713    2.27823e-05       -16.76%     18.43%
         126         128       0.00028686343    2.49872e-05    0.00023877331    2.07147e-05    0.00033973316    2.97129e-05       -16.76%     18.43%
