#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5                   0              0                0              0                0              0            0%         0%
           5          10        0.0094592575    0.000140765     0.0074658873    0.000111373      0.011785359    0.000175059       -21.07%     24.59%
          10          15         0.019838693    0.000154861      0.015852241    0.000124274      0.024431526    0.000190031       -20.09%     23.15%
          15          20         0.013217175    0.000106479      0.010672841    8.63240e-05      0.016115101    0.000129389       -19.25%     21.93%
          20          25        0.0082454799    8.67257e-05     0.0067131259    7.10392e-05     0.0099748234    0.000104347       -18.58%     20.97%
          25          30        0.0053434475    6.65917e-05     0.0043741838    5.45442e-05     0.0064303061    8.01101e-05       -18.14%     20.34%
          30          35        0.0038477421    5.12627e-05     0.0031656717    4.22414e-05     0.0046081040    6.13187e-05       -17.73%     19.76%
          35          40        0.0027949894    4.41383e-05     0.0023070834    3.63699e-05     0.0033367177    5.27899e-05       -17.46%     19.38%
          40          45        0.0021244241    3.51251e-05     0.0017592740    2.91075e-05     0.0025282775    4.17842e-05       -17.19%     19.01%
          45          50        0.0014664714    3.17875e-05     0.0012195893    2.65015e-05     0.0017381160    3.75977e-05       -16.84%     18.52%
          50          55        0.0010729993    2.65690e-05    0.00089531086    2.22421e-05     0.0012677001    3.12993e-05       -16.56%     18.15%
          55          60       0.00080584018    2.19695e-05    0.00067427116    1.84354e-05    0.00094949530    2.58180e-05       -16.33%     17.83%
          60          65       0.00064512665    1.92365e-05    0.00054108289    1.61449e-05    0.00075838060    2.26027e-05       -16.13%     17.56%
          65          70       0.00052584651    2.01842e-05    0.00044128706    1.68157e-05    0.00061780594    2.38820e-05       -16.08%     17.49%
          70          75       0.00046773807    2.86327e-05    0.00039326789    2.38649e-05    0.00054851528    3.38507e-05       -15.92%     17.27%
          75          80       0.00031746225    1.56615e-05    0.00026732478    1.31637e-05    0.00037174789    1.83730e-05       -15.79%     17.10%
          80          85       0.00027636626    2.05805e-05    0.00023283819    1.70678e-05    0.00032345270    2.44487e-05       -15.75%     17.04%
          85          90       0.00022018881    1.24234e-05    0.00018640271    1.05340e-05    0.00025652148    1.44535e-05       -15.34%     16.50%
          90          95       0.00017581677    1.01523e-05    0.00014898736    8.59321e-06    0.00020462404    1.18315e-05       -15.26%     16.38%
          95         100       0.00014525936    1.36976e-05    0.00012318004    1.14989e-05    0.00016893781    1.60835e-05       -15.20%     16.30%
         100         105       0.00011666633    7.56449e-06    9.9079692e-05    6.41502e-06    0.00013549332    8.79798e-06       -15.07%     16.14%
         105         110       0.00010312046    7.78303e-06    8.7664629e-05    6.61192e-06    0.00011963946    9.03632e-06       -14.99%     16.02%
         110         115       8.2657362e-05    8.73820e-06    7.0465746e-05    7.49523e-06    9.5640283e-05    1.00524e-05       -14.75%     15.71%
         115         120       9.0644296e-05    9.88188e-06    7.7236769e-05    8.37710e-06    0.00010492669    1.14937e-05       -14.79%     15.76%
         120         125       6.6948153e-05    5.79156e-06    5.7095365e-05    4.93425e-06    7.7434200e-05    6.70581e-06       -14.72%     15.66%
         125         130       6.6867252e-05    8.55487e-06    5.7085982e-05    7.28129e-06    7.7259504e-05    9.91377e-06       -14.63%     15.54%
         130         135       5.2406733e-05    6.14433e-06    4.4746797e-05    5.21715e-06    6.0544631e-05    7.13747e-06       -14.62%     15.53%
         135         140       4.5935471e-05    5.61311e-06    3.9406790e-05    4.82440e-06    5.2826379e-05    6.44438e-06       -14.21%     15.00%
         140         145       5.2058273e-05    9.68020e-06    4.4814368e-05    8.37756e-06    5.9664814e-05    1.10375e-05       -13.91%     14.61%
         145         150       3.1672226e-05    4.18561e-06    2.7189655e-05    3.59063e-06    3.6397389e-05    4.81346e-06       -14.15%     14.92%
         150         155       3.3779382e-05    5.05954e-06    2.8989047e-05    4.32164e-06    3.8834104e-05    5.84355e-06       -14.18%     14.96%
         155         160       3.5010953e-05    6.77216e-06    3.0179743e-05    5.85735e-06    4.0074021e-05    7.72624e-06       -13.80%     14.46%
         160         165       2.5642385e-05    5.96520e-06    2.2099919e-05    5.13202e-06    2.9353980e-05    6.84015e-06       -13.81%     14.47%
         165         170       3.2247402e-05    9.74985e-06    2.7699768e-05    8.33271e-06    3.7033940e-05    1.12503e-05       -14.10%     14.84%
         170         175       1.9137854e-05    3.59897e-06    1.6554285e-05    3.13656e-06    2.1832178e-05    4.07651e-06       -13.50%     14.08%
