#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5          0.64041816     0.00165921       0.55197396     0.00142998       0.72292002     0.00187687       -13.81%     12.88%
           5          10          0.56176976    0.000994643       0.48629497    0.000856351       0.63189000     0.00112604       -13.44%     12.48%
          10          15          0.28311456    0.000672736       0.24557434    0.000572932       0.31795419    0.000769383       -13.26%     12.31%
          15          20          0.20519338    0.000569252       0.17778735    0.000477532       0.23069701    0.000659583       -13.36%     12.43%
          20          25          0.15700012    0.000357622       0.13596504    0.000307461       0.17659471    0.000405554       -13.40%     12.48%
          25          30          0.12830276    0.000350545       0.11107288    0.000299355       0.14436274    0.000399719       -13.43%     12.52%
          30          35          0.12244536    0.000341407       0.10594270    0.000293491       0.13782185    0.000387017       -13.48%     12.56%
          35          40          0.14972658    0.000438905       0.12936795    0.000377635       0.16869914    0.000497035       -13.60%     12.67%
          40          45          0.18318526    0.000474153       0.15812521    0.000409043       0.20654343    0.000535650       -13.68%     12.75%
          45          50          0.22574072    0.000535536       0.19473501    0.000462373       0.25464585    0.000604519       -13.74%     12.80%
          50          55          0.27663494    0.000614477       0.23851105    0.000530204       0.31218461    0.000693977       -13.78%     12.85%
          55          60          0.33169612    0.000730062       0.28595156    0.000629127       0.37434900    0.000825356       -13.79%     12.86%
          60          65          0.38399141    0.000778418       0.33102058    0.000672148       0.43338138    0.000878411       -13.79%     12.86%
          65          70          0.42117312    0.000872600       0.36325452    0.000753279       0.47514996    0.000985024       -13.75%     12.82%
          70          75          0.39770061    0.000934529       0.34367445    0.000808133       0.44796076     0.00105327       -13.58%     12.64%
          75          80          0.24726890    0.000819099       0.21538232    0.000709046       0.27672249    0.000922318       -12.90%     11.91%
          80          85          0.13949899    0.000334352       0.12610029    0.000294887       0.15131901    0.000371084        -9.60%      8.47%
          85          90          0.70764824    0.000803340       0.65171416    0.000741331       0.75519286    0.000857761        -7.90%      6.72%
          90          95           2.3748354     0.00171105        2.1923389     0.00158590        2.5291265     0.00181997        -7.68%      6.50%
          95         100          0.22828671    0.000563296       0.21084834    0.000521679       0.24302180    0.000599789        -7.64%      6.45%
         100         105         0.074171020    0.000308163      0.068508915    0.000285606      0.078956886    0.000327829        -7.63%      6.45%
         105         110         0.039273836    0.000208147      0.036265015    0.000193040      0.041820177    0.000221751        -7.66%      6.48%
         110         115         0.025752331    0.000172955      0.023790744    0.000158121      0.027411170    0.000186813        -7.62%      6.44%
         115         120         0.018608074    0.000149468      0.017216819    0.000142021      0.019781552    0.000156361        -7.48%      6.31%
         120         125         0.014400995    0.000170819      0.013323135    0.000154930      0.015309351    0.000184977        -7.48%      6.31%
         125         130         0.011408789    0.000123763      0.010572182    0.000112304      0.012110894    0.000133939        -7.33%      6.15%
         130         135        0.0095273642    0.000120387     0.0088392958    0.000110013      0.010103422    0.000129603        -7.22%      6.05%
         135         140        0.0079146004    0.000109731     0.0073569180    0.000100515     0.0083795253    0.000117882        -7.05%      5.87%
         140         145        0.0068905319    7.08671e-05     0.0064197530    6.62757e-05     0.0072808984    7.48761e-05        -6.83%      5.67%
