#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0         0.1                   0              0                0              0                0              0            0%         0%
         0.1         0.2                   0              0                0              0                0              0            0%         0%
         0.2         0.3         0.068626604     0.00556625      0.060410928     0.00483898      0.076256692     0.00625938       -11.97%     11.12%
         0.3         0.4          0.10128204     0.00884471      0.089730311     0.00772222       0.11189464     0.00988940       -11.41%     10.48%
         0.4         0.5          0.10419493     0.00954842      0.092078785     0.00832670       0.11534141      0.0106777       -11.63%     10.70%
         0.5         0.6          0.13629677     0.00721548       0.12101926     0.00640150       0.15024816     0.00797166       -11.21%     10.24%
         0.6         0.7          0.18942367      0.0209066       0.16798838      0.0181812       0.20895381      0.0234373       -11.32%     10.31%
         0.7         0.8          0.20561924     0.00697118       0.18292864     0.00621827       0.22620819     0.00768021       -11.04%     10.01%
         0.8         0.9          0.28593691     0.00909566       0.25589575     0.00803548       0.31294135      0.0100848       -10.51%      9.44%
         0.9           1          0.38555419      0.0105115       0.34408205     0.00911959       0.42298417      0.0118704       -10.76%      9.71%
           1         1.1          0.49775112     0.00879839       0.44477044     0.00793601       0.54538470     0.00957957       -10.64%      9.57%
         1.1         1.2          0.66210095     0.00952486       0.59259693     0.00862472       0.72447489      0.0103568       -10.50%      9.42%
         1.2         1.3          0.90878097      0.0145498       0.81298677      0.0127725       0.99453399      0.0162915       -10.54%      9.44%
         1.3         1.4           1.1835810      0.0153158        1.0584472      0.0133992        1.2955762      0.0171652       -10.57%      9.46%
         1.4         1.5           1.5567382      0.0164276        1.3917881      0.0146704        1.7042916      0.0180449       -10.60%      9.48%
         1.5         1.6           2.0466388      0.0220413        1.8304046      0.0191479        2.2400749      0.0248637       -10.57%      9.45%
         1.6         1.7           2.6538039      0.0210552        2.3695780      0.0189058        2.9087414      0.0230028       -10.71%      9.61%
         1.7         1.8           3.4787253      0.0232107        3.1035232      0.0208122        3.8156150      0.0254097       -10.79%      9.68%
         1.8         1.9           4.5127331      0.0277981        4.0188895      0.0247649        4.9573927      0.0306008       -10.94%      9.85%
         1.9           2           5.9580594      0.0300385        5.3002385      0.0267576        6.5508791      0.0330757       -11.04%      9.95%
           2         2.1           7.6359035      0.0405879        6.7845118      0.0357684        8.4050178      0.0451030       -11.15%     10.07%
         2.1         2.2           9.6042816      0.0470485        8.5270568      0.0407761        10.578486      0.0531492       -11.22%     10.14%
         2.2         2.3           11.908631      0.0478661        10.568881      0.0421845        13.121272      0.0532358       -11.25%     10.18%
         2.3         2.4           14.467964      0.0498445        12.835932      0.0442937        15.946187      0.0550187       -11.28%     10.22%
