#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           2         0.081692429     0.00613066      0.076542411     0.00579976      0.085326744     0.00647702        -6.30%      4.45%
           2           4           1.2474744      0.0106127        1.1823194     0.00960136        1.2885011      0.0115612        -5.22%      3.29%
           4           6           1.1218300     0.00476244        1.0627695     0.00438356        1.1602141     0.00515558        -5.26%      3.42%
           6           8          0.77761395     0.00463980       0.73716873     0.00421507       0.80407633     0.00507521        -5.20%      3.40%
           8          10          0.57102963     0.00993715       0.54033106     0.00821801       0.59176916      0.0116839        -5.38%      3.63%
          10          12          0.42929879     0.00353429       0.40834826     0.00319681       0.44256445     0.00388626        -4.88%      3.09%
          12          14          0.34900621     0.00465902       0.33206946     0.00415151       0.35970323     0.00510535        -4.85%      3.06%
          14          16          0.30752320     0.00269124       0.29242673     0.00240079       0.31707833     0.00306364        -4.91%      3.11%
          16          18          0.27297026     0.00255200       0.26041532     0.00222169       0.28038527     0.00296525        -4.60%      2.72%
          18          20          0.24972357     0.00318565       0.23755764     0.00275960       0.25726522     0.00361106        -4.87%      3.02%
          20          22          0.22287335     0.00334297       0.21211354     0.00280440       0.22951547     0.00388848        -4.83%      2.98%
          22          24          0.20154629     0.00248601       0.19260130     0.00218373       0.20661459     0.00279193        -4.44%      2.51%
          24          26          0.18314219     0.00176461       0.17478093     0.00161868       0.18806272     0.00190813        -4.57%      2.69%
          26          28          0.17343817     0.00161788       0.16551416     0.00147225       0.17815409     0.00176628        -4.57%      2.72%
          28          30          0.15744858     0.00262339       0.15041366     0.00249411       0.16148980     0.00272669        -4.47%      2.57%
          30          32          0.15882111     0.00151817       0.15193468     0.00139850       0.16269237     0.00164135        -4.34%      2.44%
          32          34          0.16140351     0.00217391       0.15387058     0.00203787       0.16595659     0.00229813        -4.67%      2.82%
          34          36          0.16856059     0.00173646       0.16108161     0.00160921       0.17282600     0.00186307        -4.44%      2.53%
          36          38          0.18486950     0.00233945       0.17634971     0.00214958       0.18986326     0.00252778        -4.61%      2.70%
          38          40          0.19651476     0.00183775       0.18767051     0.00169835       0.20164907     0.00198336        -4.50%      2.61%
          40          42          0.21420550     0.00225095       0.20455413     0.00204424       0.21978713     0.00245753        -4.51%      2.61%
          42          44          0.22821992     0.00270281       0.21742447     0.00252984       0.23477001     0.00285863        -4.73%      2.87%
