#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5          0.14427868     0.00457044       0.13648657     0.00381050       0.14932885     0.00532900        -5.40%      3.50%
           5          10          0.37238810     0.00298612       0.35266387     0.00267626       0.38562177     0.00331151        -5.30%      3.55%
          10          15          0.59879361     0.00394467       0.57017749     0.00355690       0.61686530     0.00433383        -4.78%      3.02%
          15          20          0.84803247     0.00425437       0.81154191     0.00389719       0.86936633     0.00460617        -4.30%      2.52%
          20          25           1.0517764     0.00467366        1.0073031     0.00431682        1.0776763     0.00500872        -4.23%      2.46%
          25          30           1.1838822     0.00505185        1.1354400     0.00457612        1.2132900     0.00511056        -4.09%      2.48%
          30          35           1.1446355     0.00489504        1.1026042     0.00450757        1.1714003     0.00492283        -3.67%      2.34%
          35          40          0.90943882     0.00464523       0.87177218     0.00425862       0.93326393     0.00500906        -4.14%      2.62%
          40          45          0.66548302     0.00333638       0.63301684     0.00313512       0.69372229     0.00363564        -4.88%      4.24%
          45          50          0.51566763     0.00291623       0.49444785     0.00275829       0.53577365     0.00318925        -4.12%      3.90%
          50          55          0.42674183     0.00249528       0.41012137     0.00238855       0.44484159     0.00272801        -3.89%      4.24%
          55          60          0.36292405     0.00227343       0.35062721     0.00218365       0.37809811     0.00247585        -3.39%      4.18%
          60          65          0.32195778     0.00255904       0.31193103     0.00236399       0.33437724     0.00280381        -3.11%      3.86%
          65          70          0.29868804     0.00249051       0.28984213     0.00229552       0.30964487     0.00273496        -2.96%      3.67%
          70          75          0.27590948     0.00204071       0.26812873     0.00189393       0.28554697     0.00222557        -2.82%      3.49%
          75          80          0.24187933     0.00191150       0.23582025     0.00177154       0.24938431     0.00208781        -2.51%      3.10%
          80          85          0.21849585     0.00179894       0.21293135     0.00166933       0.22538822     0.00196230        -2.55%      3.15%
          85          90          0.17536505     0.00165828       0.17092544     0.00153947       0.18086410     0.00180808        -2.53%      3.14%
          90          95          0.14076415     0.00162614       0.13561839     0.00150070       0.14713786     0.00178337        -3.66%      4.53%
          95         100          0.10372848     0.00148060      0.099113685     0.00136557       0.10944451     0.00162441        -4.45%      5.51%
         100         105         0.078516990     0.00127192      0.074753406     0.00117866      0.083178686     0.00138856        -4.79%      5.94%
         105         110         0.063295161     0.00105356      0.060021272    0.000973734      0.067350306     0.00115325        -5.17%      6.41%
         110         115         0.050923035    0.000966341      0.048241292    0.000890953      0.054244729     0.00106045        -5.27%      6.52%
         115         120         0.042886340    0.000971031      0.040526173    0.000893306      0.045809719     0.00106791        -5.50%      6.82%
         120         125         0.034789103    0.000857955      0.032834602    0.000792907      0.037210012    0.000939100        -5.62%      6.96%
         125         130         0.028639018    0.000862908      0.027007447    0.000803770      0.030659934    0.000936607        -5.70%      7.06%
         130         135         0.025469304    0.000634972      0.023976184    0.000587504      0.027318732    0.000694148        -5.86%      7.26%
         135         140         0.022202442    0.000649391      0.020809595    0.000592650      0.023872768    0.000718690        -6.27%      7.52%
         140         145         0.016948448    0.000803313      0.015945423    0.000747669      0.018190827    0.000872565        -5.92%      7.33%
         145         150         0.014867704    0.000626869      0.013886743    0.000575668      0.016058222    0.000686840        -6.60%      8.01%
         150         155         0.014479124    0.000626841      0.013459292    0.000575822      0.015709777    0.000686841        -7.04%      8.50%
         155         160         0.012517217    0.000440667      0.011626761    0.000403536      0.013591086    0.000485582        -7.11%      8.58%
         160         165         0.010339389    0.000452620     0.0096177067    0.000409764      0.011217758    0.000505588        -6.98%      8.50%
         165         170        0.0091373176    0.000510797     0.0084626304    0.000461842     0.0099645903    0.000572297        -7.38%      9.05%
         170         175        0.0085957894    0.000448156     0.0079633490    0.000401650     0.0093654432    0.000507530        -7.36%      8.95%
         175         180        0.0077421938    0.000392350     0.0071177344    0.000354136     0.0085148606    0.000440285        -8.07%      9.98%
         180         185        0.0071661383    0.000434497     0.0066174512    0.000387544     0.0078359930    0.000494629        -7.66%      9.35%
         185         190        0.0055594449    0.000384299     0.0051373194    0.000349972     0.0060744350    0.000427106        -7.59%      9.26%
         190         195        0.0056313454    0.000320642     0.0051600690    0.000289266     0.0062104731    0.000359434        -8.37%     10.28%
         195         200        0.0045801961    0.000286660     0.0042059230    0.000258550     0.0050427908    0.000321358        -8.17%     10.10%
