#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5        0.0021626995    0.000379350     0.0015123318    0.000412915     0.0026338776    0.000355418       -30.07%     21.79%
           5          10        0.0061743431    0.000516431     0.0052394729    0.000562905     0.0068246964    0.000481257       -15.14%     10.53%
          10          15        0.0078875796    0.000799111     0.0068307165    0.000852237     0.0086105073    0.000752578       -13.40%      9.17%
          15          20        0.0077983845    0.000400026     0.0071005260    0.000446556     0.0082419626    0.000360165        -8.95%      5.69%
          20          25        0.0050263745    0.000350558     0.0045096107    0.000379872     0.0053672510    0.000325704       -10.28%      6.78%
          25          30        0.0042940990    0.000337538     0.0040563956    0.000381418     0.0044280290    0.000295818        -5.54%      3.12%
          30          35        0.0033896250    0.000333247     0.0032640605    0.000383655     0.0034363633    0.000285114        -3.70%      1.38%
          35          40        0.0022019287    0.000247909     0.0020966788    0.000269888     0.0022529024    0.000228207        -4.78%      2.31%
          40          45        0.0019174284    0.000322084     0.0018952114    0.000301778     0.0019174284    0.000322084        -1.16%   0.00000%
          45          50        0.0015328518    0.000128566     0.0015111178    0.000140601     0.0015337519    0.000117030        -1.42%      0.06%
          50          55        0.0012253355    9.49640e-05     0.0012149865    0.000106681     0.0012253355    9.49640e-05        -0.84%   0.00000%
          55          60        0.0011680815    7.18498e-05     0.0011552962    6.60033e-05     0.0011680815    7.18498e-05        -1.09%   0.00000%
          60          65       0.00082377912    5.71515e-05    0.00081567134    5.25434e-05    0.00082377912    5.71515e-05        -0.98%   0.00000%
          65          70       0.00061677190    6.15736e-05    0.00061297380    6.72221e-05    0.00061677190    6.15736e-05        -0.62%   0.00000%
          70          75       0.00057993345    6.44661e-05    0.00056912868    7.08192e-05    0.00058269702    5.88582e-05        -1.86%      0.48%
          75          80       0.00048132556    6.22832e-05    0.00047039388    6.83235e-05    0.00048599228    5.63860e-05        -2.27%      0.97%
          80          85       0.00042240974    5.31443e-05    0.00041620937    4.76448e-05    0.00042344239    5.89276e-05        -1.47%      0.24%
          85          90       0.00038232075    5.60977e-05    0.00037079355    5.34853e-05    0.00038955651    5.94006e-05        -3.02%      1.89%
          90          95       0.00018733475    4.31763e-05    0.00018193575    4.70344e-05    0.00019052172    3.93854e-05        -2.88%      1.70%
          95         100       0.00025084165    3.75937e-05    0.00024255651    3.44780e-05    0.00025729765    4.08014e-05        -3.30%      2.57%
         100         105       0.00021684017    2.66519e-05    0.00021434163    2.51294e-05    0.00021744771    2.84272e-05        -1.15%      0.28%
         105         110       0.00020687952    2.10612e-05    0.00019892377    1.92113e-05    0.00021395485    2.31539e-05        -3.85%      3.42%
         110         115       0.00018188132    1.84448e-05    0.00017993494    1.72918e-05    0.00018233905    1.98088e-05        -1.07%      0.25%
         115         120       0.00011270976    3.66039e-05    0.00010834073    3.49059e-05    0.00011661959    3.82618e-05        -3.88%      3.47%
         120         125       0.00014519538    3.18164e-05    0.00013976025    3.03757e-05    0.00014989071    3.31612e-05        -3.74%      3.23%
         125         130       0.00010888037    1.66850e-05    0.00010633148    1.53585e-05    0.00011103090    1.82308e-05        -2.34%      1.98%
         130         135       0.00010107699    1.50154e-05    9.7143133e-05    1.39167e-05    0.00010475796    1.62507e-05        -3.89%      3.64%
         135         140       8.2942910e-05    1.63227e-05    8.2342524e-05    1.73426e-05    8.3063207e-05    1.55492e-05        -0.72%      0.15%
         140         145       7.1242642e-05    2.22771e-05    7.0884253e-05    2.41171e-05    7.1242642e-05    2.22771e-05        -0.50%   0.00000%
         145         150       8.2151971e-05    1.07409e-05    7.9615010e-05    1.00455e-05    8.4143298e-05    1.15549e-05        -3.09%      2.42%
