#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0         0.1                   0              0                0              0                0              0            0%         0%
         0.1         0.2                   0              0                0              0                0              0            0%         0%
         0.2         0.3         0.058982226     0.00542550      0.051940041     0.00472144      0.065430482     0.00609332       -11.94%     10.93%
         0.3         0.4         0.089855681     0.00867445      0.079599569     0.00756959      0.099163611     0.00969776       -11.41%     10.36%
         0.4         0.5         0.093213807     0.00951145      0.082380130     0.00829308       0.10306037      0.0106366       -11.62%     10.56%
         0.5         0.6          0.12096373     0.00710294       0.10739055     0.00630638       0.13323596     0.00783542       -11.22%     10.15%
         0.6         0.7          0.17725357      0.0208861       0.15725001      0.0181624       0.19533952      0.0234146       -11.29%     10.20%
         0.7         0.8          0.19042127     0.00654153       0.16973913     0.00580892       0.20899827     0.00722195       -10.86%      9.76%
         0.8         0.9          0.26942681     0.00899057       0.24102613     0.00793795       0.29483497     0.00996893       -10.54%      9.43%
         0.9           1          0.36913466      0.0103915       0.32924645     0.00901557       0.40499169      0.0117298       -10.81%      9.71%
           1         1.1          0.48030707     0.00869284       0.42916711     0.00784641       0.52610979     0.00945441       -10.65%      9.54%
         1.1         1.2          0.64462599     0.00933776       0.57695889     0.00846974       0.70516291      0.0101314       -10.50%      9.39%
         1.2         1.3          0.89418575      0.0144417       0.79907598      0.0126800       0.97948746      0.0161608       -10.64%      9.54%
         1.3         1.4           1.1617852      0.0151988        1.0384319      0.0132976        1.2721477      0.0170274       -10.62%      9.50%
         1.4         1.5           1.5356938      0.0162105        1.3718084      0.0144799        1.6825351      0.0177900       -10.67%      9.56%
         1.5         1.6           2.0213526      0.0218928        1.8066561      0.0190186        2.2135227      0.0246888       -10.62%      9.51%
         1.6         1.7           2.6255726      0.0208167        2.3424237      0.0186990        2.8797876      0.0227213       -10.78%      9.68%
         1.7         1.8           3.4448655      0.0227573        3.0705656      0.0204022        3.7814709      0.0248976       -10.87%      9.77%
         1.8         1.9           4.4809579      0.0272668        3.9877068      0.0243040        4.9257553      0.0299823       -11.01%      9.93%
         1.9           2           5.9295723      0.0297797        5.2701002      0.0265408        6.5251739      0.0327579       -11.12%     10.04%
           2         2.1           7.5954825      0.0402084        6.7429074      0.0354313        8.3671518      0.0446646       -11.22%     10.16%
         2.1         2.2           9.5605756      0.0463356        8.4823664      0.0401588        10.537163      0.0523155       -11.28%     10.21%
         2.2         2.3           11.863126      0.0473271        10.519604      0.0417067        13.081637      0.0526123       -11.33%     10.27%
         2.3         2.4           14.423721      0.0491310        12.786086      0.0436501        15.909879      0.0542022       -11.35%     10.30%
