#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           2                   0              0                0              0                0              0            0%         0%
           2           4           4.1751575     0.00421033        3.6075323     0.00363429        4.7113141     0.00476418       -13.60%     12.84%
           4           6           3.0142689     0.00344871        2.6067535     0.00298067        3.3989086     0.00389844       -13.52%     12.76%
           6           8           1.8820087     0.00260939        1.6290927     0.00225920        2.1205250     0.00294547       -13.44%     12.67%
           8          10           1.3023317     0.00205942        1.1286380     0.00178710        1.4659610     0.00232019       -13.34%     12.56%
          10          12          0.93953272     0.00168933       0.81486319     0.00146953        1.0568972     0.00189940       -13.27%     12.49%
          12          14          0.69439238     0.00139871       0.60282281     0.00121705       0.78052428     0.00157262       -13.19%     12.40%
          14          16          0.52641712     0.00116481       0.45757791     0.00101792       0.59109325     0.00130455       -13.08%     12.29%
          16          18          0.40879048    0.000979603       0.35580609    0.000858448       0.45851125     0.00109440       -12.96%     12.16%
          18          20          0.32306754    0.000848157       0.28132178    0.000742650       0.36222696    0.000948276       -12.92%     12.12%
          20          22          0.26894215    0.000784014       0.23445043    0.000701930       0.30127486    0.000864209       -12.82%     12.02%
          22          24          0.23398488    0.000687208       0.20379984    0.000602190       0.26230146    0.000768205       -12.90%     12.10%
          24          26          0.21461800    0.000668245       0.18680598    0.000584017       0.24072424    0.000748674       -12.96%     12.16%
          26          28          0.20089549    0.000657418       0.17473257    0.000573523       0.22547337    0.000737630       -13.02%     12.23%
          28          30          0.19363221    0.000664422       0.16826263    0.000578096       0.21748658    0.000747166       -13.10%     12.32%
          30          32          0.19289322    0.000680149       0.16743329    0.000590008       0.21686035    0.000766885       -13.20%     12.43%
          32          34          0.19585281    0.000707582       0.16974711    0.000612065       0.22046393    0.000799578       -13.33%     12.57%
          34          36          0.20369820    0.000744909       0.17627018    0.000643663       0.22959237    0.000842541       -13.47%     12.71%
          36          38          0.21349902    0.000781629       0.18463875    0.000674551       0.24075556    0.000884822       -13.52%     12.77%
          38          40          0.22588416    0.000816945       0.19522532    0.000705534       0.25485429    0.000924143       -13.57%     12.83%
          40          42          0.23930343    0.000858606       0.20657673    0.000740382       0.27026235    0.000972557       -13.68%     12.94%
          42          44          0.25583617    0.000900801       0.22067390    0.000776377       0.28912422     0.00102075       -13.74%     13.01%
          44          46          0.27791680    0.000955289       0.23943992    0.000822454       0.31437836     0.00108350       -13.84%     13.12%
          46          48          0.29559649    0.000995880       0.25473982    0.000858118       0.33430241     0.00112870       -13.82%     13.09%
          48          50          0.31847876     0.00104107       0.27411004    0.000895209       0.36055211     0.00118200       -13.93%     13.21%
          50          52          0.34103992     0.00108635       0.29340767    0.000934177       0.38622451     0.00123329       -13.97%     13.25%
          52          54          0.37068753     0.00115065       0.31893584    0.000989276       0.41977316     0.00130656       -13.96%     13.24%
          54          56          0.39732140     0.00119873       0.34174253     0.00103071       0.45004949     0.00136097       -13.99%     13.27%
          56          58          0.42494545     0.00124893       0.36551378     0.00107414       0.48132606     0.00141759       -13.99%     13.27%
          58          60          0.45185745     0.00129685       0.38863930     0.00111524       0.51183152     0.00147214       -13.99%     13.27%
          60          62          0.48255425     0.00134926       0.41483849     0.00115962       0.54682192     0.00153250       -14.03%     13.32%
          62          64          0.51410234     0.00140577       0.44205805     0.00120868       0.58245839     0.00159605       -14.01%     13.30%
          64          66          0.54110052     0.00144469       0.46527339     0.00124211       0.61304991     0.00164033       -14.01%     13.30%
          66          68          0.56479387     0.00148552       0.48582752     0.00127795       0.63969222     0.00168577       -13.98%     13.26%
          68          70          0.58444033     0.00152481       0.50286284     0.00131152       0.66179795     0.00173064       -13.96%     13.24%
          70          72          0.60073535     0.00155511       0.51716862     0.00133875       0.67994197     0.00176396       -13.91%     13.18%
          72          74          0.60139675     0.00155203       0.51780763     0.00133533       0.68061131     0.00176108       -13.90%     13.17%
          74          76          0.59381426     0.00154712       0.51189155     0.00133238       0.67137363     0.00175416       -13.80%     13.06%
          76          78          0.55837158     0.00147852       0.48205929     0.00127358       0.63052771     0.00167596       -13.67%     12.92%
          78          80          0.50479233     0.00136811       0.43684354     0.00117942       0.56893007     0.00155007       -13.46%     12.71%
          80          82          0.41351141     0.00115414       0.35978893    0.000996748       0.46399229     0.00130581       -12.99%     12.21%
          82          84          0.30860103    0.000853294       0.27225706    0.000742276       0.34231184    0.000960000       -11.78%     10.92%
          84          86          0.28602258    0.000662547       0.25803460    0.000590311       0.31126416    0.000730817        -9.79%      8.83%
          86          88          0.46369255    0.000796538       0.42451487    0.000728484       0.49812784    0.000858836        -8.45%      7.43%
          88          90           1.3821520     0.00181845        1.2726778     0.00169340        1.4772239     0.00193137        -7.92%      6.88%
          90          92           4.2499755     0.00397247        3.9198227     0.00369453        4.5355989     0.00422224        -7.77%      6.72%
          92          94           1.8892592     0.00271403        1.7432485     0.00251254        2.0154535     0.00289431        -7.73%      6.68%
          94          96          0.56134948     0.00152379       0.51785687     0.00140593       0.59897440     0.00163212        -7.75%      6.70%
          96          98          0.26554973     0.00139626       0.24521025     0.00140654       0.28315543     0.00140056        -7.66%      6.63%
          98         100          0.15613582    0.000820068       0.14402174    0.000761640       0.16661881    0.000872449        -7.76%      6.71%
         100         102          0.10483167    0.000637387      0.096579024    0.000586313       0.11198706    0.000683450        -7.87%      6.83%
         102         104         0.076732078    0.000519851      0.070733351    0.000478618      0.081931986    0.000557159        -7.82%      6.78%
         104         106         0.059441039    0.000452223      0.054726670    0.000414201      0.063533837    0.000486658        -7.93%      6.89%
         106         108         0.048642581    0.000420891      0.044822710    0.000386872      0.051954641    0.000451516        -7.85%      6.81%
         108         110         0.040737051    0.000380795      0.037528561    0.000350541      0.043521645    0.000408327        -7.88%      6.84%
         110         112         0.035507335    0.000361573      0.032724394    0.000333683      0.037921731    0.000387051        -7.84%      6.80%
         112         114         0.029094626    0.000297078      0.026821535    0.000271797      0.031063377    0.000319943        -7.81%      6.77%
         114         116         0.026452712    0.000296318      0.024372176    0.000271171      0.028254837    0.000319055        -7.87%      6.81%
         116         118         0.023244929    0.000270184      0.021464468    0.000248306      0.024781761    0.000289876        -7.66%      6.61%
         118         120         0.021130592    0.000258792      0.019523783    0.000238980      0.022515723    0.000276531        -7.60%      6.56%
         120         122         0.019403798    0.000255863      0.017928646    0.000237055      0.020675574    0.000272755        -7.60%      6.55%
         122         124         0.017077001    0.000233310      0.015788047    0.000215586      0.018186873    0.000249104        -7.55%      6.50%
         124         126         0.015712100    0.000209141      0.014515972    0.000191508      0.016741875    0.000224995        -7.61%      6.55%
         126         128         0.014509206    0.000199768      0.013396703    0.000182342      0.015468731    0.000215468        -7.67%      6.61%
         128         130         0.013785217    0.000209541      0.012778587    0.000194284      0.014647465    0.000223114        -7.30%      6.25%
         130         132         0.012281240    0.000185704      0.011389912    0.000171830      0.013043687    0.000198068        -7.26%      6.21%
         132         134         0.011937840    0.000186218      0.011065508    0.000172593      0.012684740    0.000198317        -7.31%      6.26%
         134         136         0.011054855    0.000179248      0.010239499    0.000164501      0.011753842    0.000192386        -7.38%      6.32%
         136         138         0.010339576    0.000167228     0.0096087042    0.000154358      0.010962014    0.000178650        -7.07%      6.02%
         138         140        0.0094670949    0.000156781     0.0088001284    0.000144300      0.010034115    0.000167822        -7.05%      5.99%
         140         142        0.0087054646    0.000146601     0.0081008273    0.000136612     0.0092187113    0.000155575        -6.95%      5.90%
         142         144        0.0091493449    0.000166872     0.0085173031    0.000155565     0.0096857049    0.000176774        -6.91%      5.86%
         144         146        0.0080454700    0.000137816     0.0074962927    0.000127522     0.0085094961    0.000146848        -6.83%      5.77%
         146         148        0.0076242433    0.000142157     0.0071038891    0.000131417     0.0080632214    0.000151438        -6.82%      5.76%
         148         150        0.0072458381    0.000134172     0.0067431419    0.000123504     0.0076715062    0.000143607        -6.94%      5.87%
         150         152        0.0069071621    0.000145371     0.0064454189    0.000134487     0.0072964323    0.000154915        -6.68%      5.64%
         152         154        0.0068744278    0.000133599     0.0064056341    0.000123401     0.0072709196    0.000142657        -6.82%      5.77%
         154         156        0.0062255142    0.000127712     0.0058087597    0.000117828     0.0065762145    0.000136372        -6.69%      5.63%
         156         158        0.0058587574    0.000115684     0.0054741167    0.000107277     0.0061814692    0.000123008        -6.57%      5.51%
         158         160        0.0057452008    0.000109120     0.0053826971    0.000101806     0.0060479129    0.000115468        -6.31%      5.27%
         160         162        0.0055904511    0.000107863     0.0052358961    0.000100445     0.0058863655    0.000114261        -6.34%      5.29%
         162         164        0.0053113906    0.000119970     0.0049686437    0.000111080     0.0055981951    0.000127714        -6.45%      5.40%
         164         166        0.0052060384    0.000136850     0.0048866768    0.000130985     0.0054714809    0.000141863        -6.13%      5.10%
         166         168        0.0049307299    9.67812e-05     0.0046229805    9.05581e-05     0.0051868155    0.000102163        -6.24%      5.19%
         168         170        0.0047377248    9.95673e-05     0.0044459741    9.28450e-05     0.0049795603    0.000105323        -6.16%      5.10%
         170         172        0.0046224867    9.51478e-05     0.0043386921    8.88853e-05     0.0048578906    0.000100518        -6.14%      5.09%
         172         174        0.0044598699    8.56483e-05     0.0042003338    8.13394e-05     0.0046733646    8.92822e-05        -5.82%      4.79%
         174         176        0.0042686774    9.13807e-05     0.0040088030    8.52141e-05     0.0044836694    9.66430e-05        -6.09%      5.04%
         176         178        0.0039730379    7.71794e-05     0.0037445766    7.31986e-05     0.0041605997    8.05559e-05        -5.75%      4.72%
         178         180        0.0039094044    7.67127e-05     0.0036828999    7.24975e-05     0.0040952888    8.02741e-05        -5.79%      4.75%
         180         182        0.0035747280    7.15791e-05     0.0033690882    6.75201e-05     0.0037432815    7.50302e-05        -5.75%      4.72%
         182         184        0.0034538457    6.73260e-05     0.0032480000    6.30756e-05     0.0036233742    7.09640e-05        -5.96%      4.91%
         184         186        0.0035500523    7.21267e-05     0.0033480247    6.79378e-05     0.0037153729    7.56780e-05        -5.69%      4.66%
         186         188        0.0032276082    6.43040e-05     0.0030422141    6.07681e-05     0.0033791258    6.72451e-05        -5.74%      4.69%
         188         190        0.0032327768    7.03776e-05     0.0030480431    6.62368e-05     0.0033837229    7.38437e-05        -5.71%      4.67%
         190         192        0.0031844656    7.03138e-05     0.0030050469    6.63154e-05     0.0033306253    7.36600e-05        -5.63%      4.59%
         192         194        0.0029568288    6.37575e-05     0.0027885095    5.96894e-05     0.0030939850    6.71748e-05        -5.69%      4.64%
         194         196        0.0029448473    7.06443e-05     0.0027840665    6.66188e-05     0.0030752179    7.40098e-05        -5.46%      4.43%
         196         198        0.0028344585    6.30063e-05     0.0026896789    6.04944e-05     0.0029505826    6.50348e-05        -5.11%      4.10%
         198         200        0.0029841297    0.000154630     0.0028500961    0.000163870     0.0030912823    0.000146700        -4.49%      3.59%
