#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           2.3609937     0.00199329        2.0404393     0.00172112        2.6637206     0.00225489       -13.58%     12.82%
           5          10           1.7905519     0.00159629        1.5500799     0.00138195        2.0173139     0.00180204       -13.43%     12.66%
          10          15          0.76470509    0.000940707       0.66374906    0.000818705       0.85967429     0.00105723       -13.20%     12.42%
          15          20          0.39036550    0.000611988       0.33962439    0.000535767       0.43799923    0.000684324       -13.00%     12.20%
          20          25          0.24514649    0.000447518       0.21358170    0.000392444       0.27474589    0.000499841       -12.88%     12.07%
          25          30          0.19979797    0.000416295       0.17378947    0.000363409       0.22423176    0.000466963       -13.02%     12.23%
          30          35          0.19605470    0.000444872       0.17000889    0.000385520       0.22059551    0.000501956       -13.28%     12.52%
          35          40          0.21673353    0.000498620       0.18736662    0.000430683       0.24448062    0.000564132       -13.55%     12.80%
          40          45          0.25167980    0.000560854       0.21709765    0.000483169       0.28441424    0.000635782       -13.74%     13.01%
          45          50          0.30176384    0.000634438       0.25994971    0.000546337       0.34138690    0.000719364       -13.86%     13.13%
          50          55          0.36143675    0.000709535       0.31100494    0.000610182       0.40926846    0.000805486       -13.95%     13.23%
          55          60          0.43225276    0.000791397       0.37166574    0.000680266       0.48975139    0.000898808       -14.02%     13.30%
          60          65          0.50379294    0.000868023       0.43314566    0.000746080       0.57083533    0.000985841       -14.02%     13.31%
          65          70          0.57019578    0.000939255       0.49053432    0.000807764       0.64574451     0.00106616       -13.97%     13.25%
          70          75          0.60056957    0.000975313       0.51710702    0.000839217       0.67966405     0.00110669       -13.90%     13.17%
          75          80          0.54452118    0.000909057       0.47041215    0.000783111       0.61456049     0.00103044       -13.61%     12.86%
          80          85          0.34358793    0.000602434       0.30191428    0.000523334       0.38240069    0.000678407       -12.13%     11.30%
          85          90          0.79635628    0.000789090       0.73130264    0.000727573       0.85317481    0.000844792        -8.17%      7.13%
          90          95           2.5949212     0.00200159        2.3938367     0.00187067        2.7688356     0.00212136        -7.75%      6.70%
          95         100          0.25508086    0.000680349       0.23536487    0.000635654       0.27213786    0.000721010        -7.73%      6.69%
         100         105         0.086731435    0.000372147      0.079904419    0.000343369      0.092656117    0.000398318        -7.87%      6.83%
         105         110         0.047235439    0.000264370      0.043543170    0.000245142      0.050436478    0.000281914        -7.82%      6.78%
         110         115         0.031523980    0.000203942      0.029068364    0.000187752      0.033650881    0.000218652        -7.79%      6.75%
         115         120         0.022702990    0.000168466      0.020938973    0.000154510      0.024228251    0.000181020        -7.77%      6.72%
         120         125         0.017747470    0.000151985      0.016418327    0.000140594      0.018891959    0.000162263        -7.49%      6.45%
         125         130         0.014247199    0.000123042      0.013186023    0.000113075      0.015157941    0.000131921        -7.45%      6.39%
         130         135         0.012075450    0.000118036      0.011182723    0.000108604      0.012840843    0.000126437        -7.39%      6.34%
         135         140         0.010027168    0.000103795     0.0093138401    9.57414e-05      0.010635392    0.000110989        -7.11%      6.07%
         140         145        0.0088514982    0.000100561     0.0082354583    9.31204e-05     0.0093741904    0.000107076        -6.96%      5.91%
         145         150        0.0077743292    0.000126602     0.0072614608    0.000127165     0.0082074766    0.000126580        -6.60%      5.57%
         150         155        0.0067060970    7.86358e-05     0.0062618782    7.28996e-05     0.0070796394    8.36385e-05        -6.62%      5.57%
         155         160        0.0059281372    7.32223e-05     0.0055366035    6.81524e-05     0.0062572248    7.76515e-05        -6.60%      5.55%
         160         165        0.0053212382    6.79441e-05     0.0049793916    6.31090e-05     0.0056068875    7.21289e-05        -6.42%      5.37%
         165         170        0.0047504857    6.08338e-05     0.0044571685    5.67698e-05     0.0049939689    6.43280e-05        -6.17%      5.13%
         170         175        0.0043165755    5.59155e-05     0.0040599766    5.32494e-05     0.0045285499    5.82028e-05        -5.94%      4.91%
         175         180        0.0040110279    7.62273e-05     0.0037838112    7.78870e-05     0.0041978799    7.49733e-05        -5.66%      4.66%
         180         185        0.0036702022    4.85976e-05     0.0034591288    4.58923e-05     0.0038432125    5.08729e-05        -5.75%      4.71%
         185         190        0.0034375693    6.82718e-05     0.0032531388    7.00650e-05     0.0035878100    6.68833e-05        -5.37%      4.37%
         190         195        0.0030518823    4.17039e-05     0.0028842365    3.97443e-05     0.0031880942    4.33502e-05        -5.49%      4.46%
         195         200        0.0028385308    3.96638e-05     0.0026857635    3.74342e-05     0.0029619634    4.15128e-05        -5.38%      4.35%
         200         205        0.0026151338    3.85220e-05     0.0024792173    3.67625e-05     0.0027243325    3.99540e-05        -5.20%      4.18%
         205         210        0.0024482709    3.90455e-05     0.0023252816    3.76754e-05     0.0025466066    4.02169e-05        -5.02%      4.02%
         210         215        0.0021596414    3.39695e-05     0.0020570846    3.24313e-05     0.0022406452    3.52227e-05        -4.75%      3.75%
