#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5        0.0014403536    7.97824e-05     0.0012309538    6.82559e-05     0.0016403653    9.08932e-05       -14.54%     13.89%
           5          10          0.15302576    0.000602338       0.13107741    0.000516534       0.17393212    0.000685410       -14.34%     13.66%
          10          15          0.82489491     0.00122522       0.70758239     0.00105323       0.93646537     0.00139132       -14.22%     13.53%
          15          20           2.0321250     0.00175749        1.7457740     0.00151312        2.3039826     0.00199304       -14.09%     13.38%
          20          25           2.5608423     0.00190949        2.2046284     0.00164722        2.8982728     0.00216171       -13.91%     13.18%
          25          30           2.1552075     0.00173267        1.8624708     0.00149921        2.4314993     0.00195664       -13.58%     12.82%
          30          35           1.6372737     0.00146786        1.4262627     0.00127967        1.8348834     0.00164739       -12.89%     12.07%
          35          40           1.1327484     0.00114380        1.0028012     0.00101538        1.2522292     0.00126427       -11.47%     10.55%
          40          45          0.85715861     0.00101849       0.77281999    0.000921300       0.93267417     0.00110728        -9.84%      8.81%
          45          50          0.55316363    0.000842215       0.50690527    0.000772967       0.59337539    0.000904261        -8.36%      7.27%
          50          55          0.41507487    0.000732267       0.38334161    0.000679094       0.44220876    0.000778897        -7.65%      6.54%
          55          60          0.32582510    0.000628474       0.30217901    0.000584723       0.34586112    0.000666565        -7.26%      6.15%
          60          65          0.25642065    0.000556576       0.23883718    0.000520965       0.27117517    0.000587213        -6.86%      5.75%
          65          70          0.20097838    0.000479803       0.18794953    0.000450654       0.21180624    0.000504662        -6.48%      5.39%
          70          75          0.15868312    0.000421202       0.14885328    0.000395980       0.16678583    0.000442825        -6.19%      5.11%
          75          80          0.12796531    0.000388998       0.12055541    0.000368465       0.13400014    0.000406052        -5.79%      4.72%
          80          85          0.10278186    0.000342566      0.097198251    0.000325590       0.10727468    0.000356536        -5.43%      4.37%
          85          90         0.084224057    0.000309154      0.079912305    0.000295126      0.087654835    0.000320612        -5.12%      4.07%
          90          95         0.068475887    0.000279301      0.065179540    0.000265966      0.071065352    0.000290344        -4.81%      3.78%
          95         100         0.056331263    0.000266539      0.053835316    0.000257502      0.058258510    0.000273459        -4.43%      3.42%
         100         105         0.047415328    0.000279162      0.045462634    0.000270864      0.048898752    0.000285143        -4.12%      3.13%
         105         110         0.039772112    0.000209137      0.038263995    0.000202714      0.040894998    0.000213908        -3.79%      2.82%
         110         115         0.033767387    0.000264981      0.032585790    0.000260473      0.034629608    0.000267613        -3.50%      2.55%
