#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0        0.15           51.244171       0.104667        50.009294      0.0947475        52.576675       0.112489        -2.41%      2.60%
        0.15         0.3           50.755303       0.120225        49.570744       0.108348        52.086546       0.129534        -2.33%      2.62%
         0.3        0.45           50.399205       0.117518        49.192909       0.106483        51.720284       0.126752        -2.39%      2.62%
        0.45         0.6           49.803403       0.115930        48.596296       0.104727        51.104146       0.124925        -2.42%      2.61%
         0.6        0.75           48.532304       0.119302        47.387300       0.107316        49.808459       0.128448        -2.36%      2.63%
        0.75         0.9           47.051699       0.122021        45.925590       0.109356        48.284567       0.132150        -2.39%      2.62%
         0.9        1.05           45.041760       0.119142        44.017975       0.107221        46.228058       0.128262        -2.27%      2.63%
        1.05         1.2           43.185904       0.113141        42.168735       0.101972        44.336508       0.122402        -2.36%      2.66%
         1.2        1.35           40.348028       0.108233        39.388494      0.0978683        41.440058       0.117190        -2.38%      2.71%
        1.35         1.5           36.668427       0.101329        35.792912      0.0917743        37.663065       0.109534        -2.39%      2.71%
         1.5        1.65           32.517710      0.0996815        31.709940      0.0903160        33.429421       0.107638        -2.48%      2.80%
        1.65         1.8           28.068909      0.0970793        27.348743      0.0889231        28.889565       0.104546        -2.57%      2.92%
         1.8        1.95           22.478420      0.0911800        21.929159      0.0835546        23.139193      0.0982329        -2.44%      2.94%
        1.95         2.1           17.071765      0.0832341        16.643953      0.0782414        17.605288      0.0897278        -2.51%      3.13%
         2.1        2.25           11.389522      0.0934251        11.094347      0.0862914        11.757634       0.102539        -2.59%      3.23%
        2.25         2.4           6.3042971      0.0585038        6.1448534      0.0549495        6.5031388      0.0631227        -2.53%      3.15%
         2.4        2.55           2.4552469      0.0398435        2.3793795      0.0374545        2.5498608      0.0429507        -3.09%      3.85%
        2.55         2.7          0.29417977      0.0166552       0.28584620      0.0154169       0.30457255      0.0182407        -2.83%      3.53%
         2.7        2.85                   0              0                0              0                0              0            0%         0%
        2.85           3                   0              0                0              0                0              0            0%         0%
           3        3.15                   0              0                0              0                0              0            0%         0%
        3.15         3.3                   0              0                0              0                0              0            0%         0%
         3.3        3.45                   0              0                0              0                0              0            0%         0%
        3.45         3.6                   0              0                0              0                0              0            0%         0%
         3.6        3.75                   0              0                0              0                0              0            0%         0%
        3.75         3.9                   0              0                0              0                0              0            0%         0%
         3.9        4.05                   0              0                0              0                0              0            0%         0%
        4.05         4.2                   0              0                0              0                0              0            0%         0%
         4.2        4.35                   0              0                0              0                0              0            0%         0%
        4.35         4.5                   0              0                0              0                0              0            0%         0%
         4.5        4.65                   0              0                0              0                0              0            0%         0%
        4.65         4.8                   0              0                0              0                0              0            0%         0%
         4.8        4.95                   0              0                0              0                0              0            0%         0%
        4.95         5.1                   0              0                0              0                0              0            0%         0%
         5.1        5.25                   0              0                0              0                0              0            0%         0%
        5.25         5.4                   0              0                0              0                0              0            0%         0%
         5.4        5.55                   0              0                0              0                0              0            0%         0%
        5.55         5.7                   0              0                0              0                0              0            0%         0%
         5.7        5.85                   0              0                0              0                0              0            0%         0%
        5.85           6                   0              0                0              0                0              0            0%         0%
           6        6.15                   0              0                0              0                0              0            0%         0%
        6.15         6.3                   0              0                0              0                0              0            0%         0%
         6.3        6.45                   0              0                0              0                0              0            0%         0%
        6.45         6.6                   0              0                0              0                0              0            0%         0%
         6.6        6.75                   0              0                0              0                0              0            0%         0%
        6.75         6.9                   0              0                0              0                0              0            0%         0%
         6.9        7.05                   0              0                0              0                0              0            0%         0%
        7.05         7.2                   0              0                0              0                0              0            0%         0%
         7.2        7.35                   0              0                0              0                0              0            0%         0%
        7.35         7.5                   0              0                0              0                0              0            0%         0%
         7.5        7.65                   0              0                0              0                0              0            0%         0%
        7.65         7.8                   0              0                0              0                0              0            0%         0%
         7.8        7.95                   0              0                0              0                0              0            0%         0%
        7.95         8.1                   0              0                0              0                0              0            0%         0%
         8.1        8.25                   0              0                0              0                0              0            0%         0%
        8.25         8.4                   0              0                0              0                0              0            0%         0%
         8.4        8.55                   0              0                0              0                0              0            0%         0%
        8.55         8.7                   0              0                0              0                0              0            0%         0%
         8.7        8.85                   0              0                0              0                0              0            0%         0%
        8.85           9                   0              0                0              0                0              0            0%         0%
