#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           2                   0              0                0              0                0              0            0%         0%
           2           4         0.041526914    5.18597e-05      0.038897131    4.71882e-05      0.043742940    5.60642e-05        -6.33%      5.34%
           4           6         0.032216975    4.47593e-05      0.030192264    4.08072e-05      0.033921831    4.83067e-05        -6.28%      5.29%
           6           8         0.021289509    3.94349e-05      0.019954406    3.58302e-05      0.022413528    4.26671e-05        -6.27%      5.28%
           8          10         0.015500308    2.61441e-05      0.014533255    2.39672e-05      0.016313823    2.80943e-05        -6.24%      5.25%
          10          12         0.011675474    2.17055e-05      0.010961588    1.99660e-05      0.012274121    2.32584e-05        -6.11%      5.13%
          12          14        0.0089454011    1.73534e-05     0.0084127903    1.60788e-05     0.0093901337    1.84812e-05        -5.95%      4.97%
          14          16        0.0071006442    1.52706e-05     0.0066897414    1.42043e-05     0.0074421140    1.62090e-05        -5.79%      4.81%
          16          18        0.0057069408    1.34927e-05     0.0053868156    1.25915e-05     0.0059715341    1.42803e-05        -5.61%      4.64%
          18          20        0.0046363348    1.17289e-05     0.0043860456    1.10001e-05     0.0048418464    1.23623e-05        -5.40%      4.43%
          20          22        0.0038628167    1.05411e-05     0.0036608520    9.91313e-06     0.0040277032    1.10822e-05        -5.23%      4.27%
          22          24        0.0032746321    9.64022e-06     0.0031084807    9.09028e-06     0.0034095712    1.01130e-05        -5.07%      4.12%
          24          26        0.0027890401    8.76620e-06     0.0026509163    8.28308e-06     0.0029006834    9.17903e-06        -4.95%      4.00%
          26          28        0.0024103155    7.76011e-06     0.0022943376    7.35362e-06     0.0025035433    8.10682e-06        -4.81%      3.87%
          28          30        0.0020972055    7.21442e-06     0.0019998641    6.86364e-06     0.0021749567    7.51010e-06        -4.64%      3.71%
          30          32        0.0018535843    6.68803e-06     0.0017689453    6.36539e-06     0.0019209067    6.95869e-06        -4.57%      3.63%
          32          34        0.0016513569    6.36137e-06     0.0015784355    6.07266e-06     0.0017090062    6.60262e-06        -4.42%      3.49%
          34          36        0.0014754159    5.77859e-06     0.0014120248    5.52681e-06     0.0015252482    5.98716e-06        -4.30%      3.38%
          36          38        0.0013376188    5.54261e-06     0.0012809150    5.30369e-06     0.0013821060    5.75026e-06        -4.24%      3.33%
          38          40        0.0012063498    5.15959e-06     0.0011567207    4.98191e-06     0.0012450156    5.30559e-06        -4.11%      3.21%
          40          42        0.0011051413    4.65831e-06     0.0010607148    4.47962e-06     0.0011395611    4.80366e-06        -4.02%      3.11%
          42          44        0.0010275352    4.46042e-06    0.00098728650    4.31397e-06     0.0010585400    4.57707e-06        -3.92%      3.02%
          44          46       0.00095017067    4.27823e-06    0.00091307658    4.13114e-06    0.00097871412    4.39717e-06        -3.90%      3.00%
          46          48       0.00090525778    4.09336e-06    0.00087093082    3.96083e-06    0.00093150967    4.19835e-06        -3.79%      2.90%
          48          50       0.00084411615    3.87460e-06    0.00081278882    3.76327e-06    0.00086795882    3.96491e-06        -3.71%      2.82%
