#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5        0.0010310341    2.73241e-05     0.0010161704    2.51165e-05     0.0010598014    3.00213e-05        -1.44%      2.79%
           5          10        0.0030415193    3.85504e-05     0.0029481692    3.59416e-05     0.0031686959    4.23272e-05        -3.07%      4.18%
          10          15        0.0049922048    4.41460e-05     0.0048082608    4.05578e-05     0.0052373512    4.82331e-05        -3.68%      4.91%
          15          20        0.0067477550    5.29654e-05     0.0064874128    4.85944e-05     0.0070954380    5.77101e-05        -3.86%      5.15%
          20          25        0.0083860691    6.07926e-05     0.0080424090    5.59523e-05     0.0088387294    6.65255e-05        -4.10%      5.40%
          25          30         0.010048506    6.59746e-05     0.0096348090    6.05084e-05      0.010592735    7.22329e-05        -4.12%      5.42%
          30          35         0.011729697    6.98999e-05      0.011238777    6.41270e-05      0.012363966    7.63431e-05        -4.19%      5.41%
          35          40         0.013733034    7.85776e-05      0.013162977    7.19005e-05      0.014472403    8.62460e-05        -4.15%      5.38%
          40          45         0.015789185    8.48309e-05      0.015133793    7.75700e-05      0.016613477    9.28425e-05        -4.15%      5.22%
          45          50         0.018345861    9.21175e-05      0.017573018    8.42187e-05      0.019309672    0.000102108        -4.21%      5.25%
          50          55         0.021521854    0.000172948      0.020605754    0.000158721      0.022664319    0.000191009        -4.26%      5.31%
          55          60         0.024665617    0.000188536      0.023764831    0.000172668      0.025855725    0.000194025        -3.65%      4.82%
          60          65         0.027571157    0.000136978      0.026584584    0.000125445      0.028850636    0.000145882        -3.58%      4.64%
          65          70         0.027758988    0.000131982      0.026779162    0.000120598      0.029027209    0.000141144        -3.53%      4.57%
          70          75         0.027623745    0.000115457      0.026648374    0.000105664      0.028883043    0.000124052        -3.53%      4.56%
          75          80         0.026703086    0.000109353      0.025762730    0.000100058      0.027969488    0.000117872        -3.52%      4.74%
          80          85         0.025171542    0.000102436      0.024284601    9.35869e-05      0.026392130    0.000111302        -3.52%      4.85%
          85          90         0.022888740    8.91495e-05      0.022034619    8.23630e-05      0.024071625    9.74760e-05        -3.73%      5.17%
          90          95         0.020125503    7.86080e-05      0.019226784    7.27130e-05      0.021318097    8.57314e-05        -4.47%      5.93%
          95         100         0.017835545    6.89295e-05      0.016913306    6.32696e-05      0.019024743    7.57980e-05        -5.17%      6.67%
         100         105         0.015467725    6.04866e-05      0.014608973    5.51711e-05      0.016568998    6.69755e-05        -5.55%      7.12%
         105         110         0.013483828    5.58401e-05      0.012691833    5.06296e-05      0.014498720    6.22544e-05        -5.87%      7.53%
         110         115         0.011830912    5.20272e-05      0.011109692    4.71109e-05      0.012752035    5.80428e-05        -6.10%      7.79%
         115         120         0.010529383    4.67011e-05     0.0098551111    4.22490e-05      0.011389860    5.21708e-05        -6.40%      8.17%
         120         125        0.0093119352    4.46363e-05     0.0087000528    4.03300e-05      0.010092272    4.99665e-05        -6.57%      8.38%
         125         130        0.0084484753    5.26179e-05     0.0078702175    4.64107e-05     0.0091854537    6.04644e-05        -6.84%      8.72%
         130         135        0.0074773075    5.13834e-05     0.0069555385    4.53364e-05     0.0081436606    5.90266e-05        -6.98%      8.91%
         135         140        0.0067229202    3.80945e-05     0.0062397923    3.41373e-05     0.0073413437    4.30128e-05        -7.19%      9.20%
         140         145        0.0059883952    3.85204e-05     0.0055499833    3.43016e-05     0.0065498165    4.37930e-05        -7.32%      9.38%
         145         150        0.0055143397    3.60761e-05     0.0051005037    3.20643e-05     0.0060437309    4.10911e-05        -7.50%      9.60%
         150         155        0.0049105156    3.01095e-05     0.0045359161    2.68182e-05     0.0053906858    3.42357e-05        -7.63%      9.78%
         155         160        0.0044988340    2.82904e-05     0.0041474067    2.52852e-05     0.0049502196    3.20704e-05        -7.81%     10.03%
         160         165        0.0040928483    3.07037e-05     0.0037643295    2.73006e-05     0.0045151721    3.49664e-05        -8.03%     10.32%
         165         170        0.0036753425    2.78106e-05     0.0033787582    2.47382e-05     0.0040570202    3.16988e-05        -8.07%     10.38%
         170         175        0.0034024363    2.64668e-05     0.0031240823    2.34939e-05     0.0037612182    3.02420e-05        -8.18%     10.54%
         175         180        0.0031362987    2.59600e-05     0.0028734479    2.29946e-05     0.0034748009    2.96962e-05        -8.38%     10.79%
         180         185        0.0028618694    2.37063e-05     0.0026212248    2.09140e-05     0.0031723458    2.72550e-05        -8.41%     10.85%
         185         190        0.0026317659    2.24704e-05     0.0024055047    1.98850e-05     0.0029247316    2.57584e-05        -8.60%     11.13%
         190         195        0.0023633816    2.15505e-05     0.0021583339    1.90345e-05     0.0026292493    2.47730e-05        -8.68%     11.25%
         195         200        0.0022283762    2.14898e-05     0.0020329927    1.88898e-05     0.0024817971    2.48101e-05        -8.77%     11.37%
         200         205        0.0020426118    2.12352e-05     0.0018625867    1.86607e-05     0.0022766439    2.45100e-05        -8.81%     11.46%
         205         210        0.0019064695    2.09439e-05     0.0017348456    1.84751e-05     0.0021290241    2.41050e-05        -9.00%     11.67%
         210         215        0.0017197475    2.05574e-05     0.0015670251    1.79528e-05     0.0019183211    2.38754e-05        -8.88%     11.55%
         215         220        0.0016555632    2.17521e-05     0.0015026970    1.91128e-05     0.0018546342    2.50796e-05        -9.23%     12.02%
         220         225        0.0014964626    2.12746e-05     0.0013582586    1.85915e-05     0.0016768549    2.47007e-05        -9.24%     12.05%
         225         230        0.0014017305    2.29521e-05     0.0012705821    2.01483e-05     0.0015730902    2.65145e-05        -9.36%     12.22%
         230         235        0.0013074185    2.01568e-05     0.0011849265    1.78367e-05     0.0014675903    2.30697e-05        -9.37%     12.25%
         235         240        0.0011830779    1.53385e-05     0.0010729168    1.35119e-05     0.0013274537    1.76982e-05        -9.31%     12.20%
         240         245        0.0011621768    2.37076e-05     0.0010508261    2.10548e-05     0.0013074500    2.69876e-05        -9.58%     12.50%
         245         250        0.0010222712    2.43594e-05    0.00092406667    2.15858e-05     0.0011515093    2.78008e-05        -9.61%     12.64%
         250         255       0.00097534696    1.91188e-05    0.00088103435    1.66612e-05     0.0010994590    2.22526e-05        -9.67%     12.72%
         255         260       0.00088775539    1.85277e-05    0.00080383298    1.62096e-05    0.00099807879    2.14797e-05        -9.45%     12.43%
         260         265       0.00084240611    1.24727e-05    0.00076027755    1.08270e-05    0.00095056552    1.46108e-05        -9.75%     12.84%
         265         270       0.00083771519    1.36282e-05    0.00075262712    1.17993e-05    0.00094974352    1.60346e-05       -10.16%     13.37%
         270         275       0.00072683975    1.44654e-05    0.00065535824    1.24121e-05    0.00082118402    1.71493e-05        -9.83%     12.98%
         275         280       0.00068774447    1.38003e-05    0.00061804370    1.18619e-05    0.00078010331    1.63487e-05       -10.13%     13.43%
         280         285       0.00071022842    2.87968e-05    0.00063588666    2.47040e-05    0.00080831256    3.40008e-05       -10.47%     13.81%
         285         290       0.00059306205    2.96531e-05    0.00053261525    2.54840e-05    0.00067357547    3.49478e-05       -10.19%     13.58%
         290         295       0.00057059207    1.15481e-05    0.00051176261    9.93905e-06    0.00064855631    1.36735e-05       -10.31%     13.66%
         295         300       0.00054125313    1.06965e-05    0.00048670935    9.28317e-06    0.00061355700    1.25868e-05       -10.08%     13.36%
         300         305       0.00050547373    9.89727e-06    0.00045277430    8.54350e-06    0.00057538405    1.16708e-05       -10.43%     13.83%
         305         310       0.00046578196    1.03038e-05    0.00041822358    8.85601e-06    0.00052868480    1.22313e-05       -10.21%     13.50%
         310         315       0.00046893206    1.00329e-05    0.00042030149    8.56660e-06    0.00053338051    1.19820e-05       -10.37%     13.74%
         315         320       0.00041999079    1.07086e-05    0.00037569752    9.22103e-06    0.00047885409    1.26557e-05       -10.55%     14.02%
         320         325       0.00040661734    1.05650e-05    0.00036405329    9.10591e-06    0.00046305028    1.24856e-05       -10.47%     13.88%
         325         330       0.00036737456    1.14542e-05    0.00033039473    9.85047e-06    0.00041658575    1.35188e-05       -10.07%     13.40%
         330         335       0.00038571661    1.32892e-05    0.00034344712    1.13213e-05    0.00044181267    1.58594e-05       -10.96%     14.54%
         335         340       0.00033669206    1.17455e-05    0.00030105639    9.91801e-06    0.00038406442    1.41707e-05       -10.58%     14.07%
         340         345       0.00030778627    1.07343e-05    0.00027417474    9.05780e-06    0.00035313570    1.31438e-05       -10.92%     14.73%
         345         350       0.00028978358    9.20185e-06    0.00025891835    7.82831e-06    0.00033112363    1.10542e-05       -10.65%     14.27%
         350         355       0.00031645359    1.83841e-05    0.00028513733    1.76867e-05    0.00035802759    1.92365e-05        -9.90%     13.14%
         355         360       0.00027215428    8.35995e-06    0.00024302662    7.17741e-06    0.00031098270    9.90378e-06       -10.70%     14.27%
         360         365       0.00026429103    8.41484e-06    0.00023382166    7.24698e-06    0.00030530446    9.95594e-06       -11.53%     15.52%
         365         370       0.00024656725    7.61924e-06    0.00021927522    6.53767e-06    0.00028304133    9.04697e-06       -11.07%     14.79%
         370         375       0.00022795484    8.28567e-06    0.00020185879    6.92221e-06    0.00026306611    1.01447e-05       -11.45%     15.40%
         375         380       0.00022186826    9.94308e-06    0.00019804984    8.57577e-06    0.00025367665    1.17722e-05       -10.74%     14.34%
         380         385       0.00020219502    7.44225e-06    0.00018012439    6.35116e-06    0.00023181083    8.88597e-06       -10.92%     14.65%
         385         390       0.00019490827    6.89302e-06    0.00017350656    5.84360e-06    0.00022383234    8.27450e-06       -10.98%     14.84%
         390         395       0.00018423593    6.41180e-06    0.00016388018    5.47257e-06    0.00021165246    7.65846e-06       -11.05%     14.88%
         395         400       0.00018222636    6.98146e-06    0.00016093660    5.92552e-06    0.00021082326    8.38482e-06       -11.68%     15.69%
         400         405       0.00015838014    6.56768e-06    0.00014055953    5.57457e-06    0.00018242138    7.88504e-06       -11.25%     15.18%
         405         410       0.00015552138    6.58563e-06    0.00013809941    5.64028e-06    0.00017892849    7.84193e-06       -11.20%     15.05%
         410         415       0.00021127287    3.23813e-05    0.00018200837    2.55421e-05    0.00025119467    4.20033e-05       -13.85%     18.90%
         415         420       8.1994825e-05    3.26669e-05    7.7690566e-05    2.58213e-05    8.7465918e-05    4.23032e-05        -5.25%      6.67%
         420         425       0.00013619556    5.84712e-06    0.00012018333    4.98828e-06    0.00015791420    6.99130e-06       -11.76%     15.95%
         425         430       0.00013469101    6.08932e-06    0.00011926667    5.22620e-06    0.00015554785    7.23047e-06       -11.45%     15.48%
         430         435       0.00012700511    6.36362e-06    0.00011333166    5.29287e-06    0.00014539825    7.82147e-06       -10.77%     14.48%
         435         440       0.00011993997    5.33125e-06    0.00010571256    4.42879e-06    0.00013926949    6.56226e-06       -11.86%     16.12%
         440         445       0.00011288052    5.26547e-06    9.9709669e-05    4.47232e-06    0.00013080660    6.32646e-06       -11.67%     15.88%
         445         450       0.00011580736    5.21286e-06    0.00010217223    4.38496e-06    0.00013411143    6.33030e-06       -11.77%     15.81%
         450         455       0.00010253337    5.11298e-06    9.0496138e-05    4.40061e-06    0.00011892866    6.07310e-06       -11.74%     15.99%
         455         460       8.4535643e-05    5.37250e-06    7.4669619e-05    4.61907e-06    9.8148145e-05    6.37836e-06       -11.67%     16.10%
         460         465       0.00012263932    1.51458e-05    0.00010723305    1.23582e-05    0.00014337710    1.89233e-05       -12.56%     16.91%
         465         470       6.3136670e-05    1.46905e-05    5.8496881e-05    1.19115e-05    6.9186200e-05    1.84967e-05        -7.35%      9.58%
         470         475       9.3824334e-05    5.36484e-06    8.2812257e-05    4.50054e-06    0.00010864976    6.52190e-06       -11.74%     15.80%
         475         480       8.2188019e-05    4.00001e-06    7.2586482e-05    3.33968e-06    9.5265728e-05    4.90168e-06       -11.68%     15.91%
         480         485       6.7787446e-05    5.71073e-06    5.9408166e-05    4.84573e-06    7.9393033e-05    6.87050e-06       -12.36%     17.12%
         485         490       7.6222726e-05    6.55524e-06    6.6955551e-05    5.68985e-06    8.8824443e-05    7.71222e-06       -12.16%     16.53%
         490         495       7.0440803e-05    4.06724e-06    6.2755605e-05    3.37174e-06    8.0776908e-05    5.01326e-06       -10.91%     14.67%
         495         500       7.2437954e-05    4.19336e-06    6.3782550e-05    3.53164e-06    8.4161170e-05    5.08784e-06       -11.95%     16.18%
         500         505       5.3183520e-05    4.05182e-06    4.7580918e-05    3.43223e-06    6.0844265e-05    4.88992e-06       -10.53%     14.40%
         505         510       7.4605977e-05    3.68967e-06    6.5520696e-05    3.08711e-06    8.6850625e-05    4.51444e-06       -12.18%     16.41%
         510         515       6.3532690e-05    3.57996e-06    5.5494111e-05    3.03293e-06    7.4465563e-05    4.32362e-06       -12.65%     17.21%
         515         520       4.6278867e-05    4.12388e-06    4.1597518e-05    3.46934e-06    5.2767289e-05    5.00604e-06       -10.12%     14.02%
         520         525       5.3009077e-05    3.97438e-06    4.6918228e-05    3.31393e-06    6.1340910e-05    4.86638e-06       -11.49%     15.72%
         525         530       5.9290270e-05    5.76861e-06    5.2386940e-05    4.69168e-06    6.8468065e-05    7.28788e-06       -11.64%     15.48%
         530         535       4.5305978e-05    5.53508e-06    3.9891994e-05    4.47118e-06    5.2881551e-05    7.03788e-06       -11.95%     16.72%
         535         540       5.6511360e-05    4.75926e-06    4.9251309e-05    3.99073e-06    6.6435300e-05    5.78931e-06       -12.85%     17.56%
         540         545       4.9771606e-05    4.34884e-06    4.3743416e-05    3.69607e-06    5.7953513e-05    5.19886e-06       -12.11%     16.44%
         545         550       3.7218809e-05    2.95502e-06    3.2986705e-05    2.47673e-06    4.3035222e-05    3.60961e-06       -11.37%     15.63%
         550         555       3.3375604e-05    3.34049e-06    3.0042615e-05    2.76985e-06    3.7937526e-05    4.11355e-06        -9.99%     13.67%
         555         560       3.6018476e-05    3.74435e-06    3.1458046e-05    3.11905e-06    4.2346082e-05    4.59758e-06       -12.66%     17.57%
         560         565       4.2505352e-05    3.02148e-06    3.7239535e-05    2.50983e-06    4.9635226e-05    3.73607e-06       -12.39%     16.77%
         565         570       3.5630307e-05    2.42335e-06    3.1468523e-05    1.96861e-06    4.1374731e-05    3.05561e-06       -11.68%     16.12%
         570         575       3.6469001e-05    2.78140e-06    3.2123857e-05    2.30989e-06    4.2489793e-05    3.42909e-06       -11.91%     16.51%
         575         580       2.4140810e-05    5.19803e-06    2.2021048e-05    4.32054e-06    2.6998902e-05    6.38884e-06        -8.78%     11.84%
         580         585       3.2552001e-05    7.19994e-06    2.7911621e-05    6.21527e-06    3.8997872e-05    8.49178e-06       -14.26%     19.80%
         585         590       3.2698952e-05    3.11129e-06    2.8839171e-05    2.53748e-06    3.8003971e-05    3.91551e-06       -11.80%     16.22%
         590         595       2.8390830e-05    2.53631e-06    2.5088615e-05    2.10561e-06    3.2957774e-05    3.12636e-06       -11.63%     16.09%
         595         600       3.2440908e-05    2.77210e-06    2.8440167e-05    2.30822e-06    3.7861106e-05    3.42026e-06       -12.33%     16.71%
         600         605       3.3129848e-05    2.25381e-06    2.9387992e-05    1.70679e-06    3.8187896e-05    3.09924e-06       -11.29%     15.27%
         605         610       1.8647458e-05    3.30001e-06    1.6763234e-05    2.82905e-06    2.1337658e-05    3.92762e-06       -10.10%     14.43%
         610         615       2.9333830e-05    2.60137e-06    2.5464409e-05    2.17209e-06    3.4598441e-05    3.19109e-06       -13.19%     17.95%
         615         620       1.9931789e-05    2.26746e-06    1.8045029e-05    1.86033e-06    2.2499439e-05    2.83297e-06        -9.47%     12.88%
         620         625       2.8783773e-05    2.72242e-06    2.5279392e-05    2.32463e-06    3.3557867e-05    3.27469e-06       -12.17%     16.59%
         625         630       2.7077557e-05    2.56831e-06    2.3344977e-05    2.18062e-06    3.2246990e-05    3.09049e-06       -13.78%     19.09%
         630         635       2.2486488e-05    2.26550e-06    1.9899237e-05    1.86547e-06    2.5995200e-05    2.81278e-06       -11.51%     15.60%
         635         640       2.6975836e-05    2.58914e-06    2.3100532e-05    2.13607e-06    3.2301500e-05    3.20176e-06       -14.37%     19.74%
         640         645       1.8181851e-05    2.48996e-06    1.5947209e-05    2.01605e-06    2.1301393e-05    3.15432e-06       -12.29%     17.16%
         645         650       2.0996965e-05    2.47897e-06    1.8252731e-05    2.00826e-06    2.4736363e-05    3.13817e-06       -13.07%     17.81%
         650         655       2.1524953e-05    3.50963e-06    1.8200517e-05    2.96822e-06    2.6207833e-05    4.24348e-06       -15.44%     21.76%
         655         660       1.2663443e-05    3.17412e-06    1.1087365e-05    2.62195e-06    1.4976794e-05    3.91876e-06       -12.45%     18.27%
         660         665       2.1044018e-05    1.65612e-06    1.8316551e-05    1.35728e-06    2.4743835e-05    2.06913e-06       -12.96%     17.58%
         665         670       1.6733879e-05    1.50724e-06    1.4718447e-05    1.24555e-06    1.9509272e-05    1.86975e-06       -12.04%     16.59%
         670         675       1.8085786e-05    1.72736e-06    1.5937998e-05    1.42289e-06    2.1053874e-05    2.16210e-06       -11.88%     16.41%
         675         680       1.4727243e-05    1.96454e-06    1.2953860e-05    1.58554e-06    1.7153280e-05    2.49945e-06       -12.04%     16.47%
         680         685       1.3804103e-05    1.88457e-06    1.2245487e-05    1.52466e-06    1.5996852e-05    2.38482e-06       -11.29%     15.88%
         685         690       1.2765336e-05    2.60745e-06    1.1277918e-05    2.19051e-06    1.4832000e-05    3.15998e-06       -11.65%     16.19%
         690         695       1.4107722e-05    2.45171e-06    1.2260944e-05    2.06114e-06    1.6670049e-05    2.97132e-06       -13.09%     18.16%
         695         700       1.6930445e-05    2.04565e-06    1.4531595e-05    1.65969e-06    2.0295986e-05    2.58561e-06       -14.17%     19.88%
         700         705       1.0595159e-05    2.41264e-06    9.3306690e-06    1.96420e-06    1.2346562e-05    3.03016e-06       -11.93%     16.53%
         705         710       1.1627737e-05    1.92255e-06    1.0438480e-05    1.55077e-06    1.3199904e-05    2.44752e-06       -10.23%     13.52%
         710         715       1.2963803e-05    1.44161e-06    1.1244451e-05    1.17080e-06    1.5368517e-05    1.82113e-06       -13.26%     18.55%
         715         720       9.2976185e-06    2.78339e-06    7.9831184e-06    2.37989e-06    1.1218819e-05    3.32754e-06       -14.14%     20.66%
         720         725       8.3089068e-06    1.57058e-06    7.3054452e-06    1.30942e-06    9.7339506e-06    1.95809e-06       -12.08%     17.15%
         725         730       1.2343252e-05    1.51866e-06    1.0769371e-05    1.20155e-06    1.4482358e-05    1.97553e-06       -12.75%     17.33%
         730         735       1.3355375e-05    1.68227e-06    1.1481956e-05    1.34265e-06    1.5960666e-05    2.16482e-06       -14.03%     19.51%
         735         740       6.7772845e-06    1.68742e-06    6.1559120e-06    1.39716e-06    7.6901264e-06    2.09215e-06        -9.17%     13.47%
         740         745       8.7043976e-06    1.37012e-06    7.7756129e-06    1.10952e-06    9.9500970e-06    1.73388e-06       -10.67%     14.31%
         745         750       1.0436606e-05    1.81526e-06    9.1862227e-06    1.58855e-06    1.2160018e-05    2.12364e-06       -11.98%     16.51%
