#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10         0.020648196    0.000131596     0.0043191806    0.000147076      0.035107575    0.000124273       -79.08%     70.03%
          10          20         0.065782360    5.39837e-05      0.059266007    4.86361e-05      0.073908880    6.06527e-05        -9.91%     12.35%
          20          30         0.032062468    3.09314e-05      0.028886383    2.78674e-05      0.036023352    3.47526e-05        -9.91%     12.35%
          30          40         0.020382670    2.25582e-05      0.018320857    2.01841e-05      0.022900673    2.53450e-05       -10.12%     12.35%
          40          50         0.014753362    1.80104e-05      0.013222130    1.60650e-05      0.016575941    2.02353e-05       -10.38%     12.35%
          50          60         0.011578826    1.53582e-05      0.010351957    1.36874e-05      0.013017255    1.73660e-05       -10.60%     12.42%
          60          70        0.0095628073    1.37619e-05     0.0085299819    1.22327e-05      0.010776710    1.56053e-05       -10.80%     12.69%
          70          80        0.0082230099    1.28075e-05     0.0073207098    1.13768e-05     0.0092855981    1.45308e-05       -10.97%     12.92%
          80          90        0.0072224712    1.20106e-05     0.0064192283    1.06659e-05     0.0081701777    1.36305e-05       -11.12%     13.12%
          90         100        0.0065256841    1.15392e-05     0.0057928785    1.02676e-05     0.0073911262    1.30614e-05       -11.23%     13.26%
         100         110        0.0059916806    1.14511e-05     0.0053113439    1.01567e-05     0.0067966203    1.30063e-05       -11.35%     13.43%
         110         120        0.0054965893    1.08163e-05     0.0048669073    9.59554e-06     0.0062425790    1.22818e-05       -11.46%     13.57%
         120         130        0.0051017082    1.04345e-05     0.0045122316    9.25221e-06     0.0058010381    1.18543e-05       -11.55%     13.71%
         130         140        0.0046814328    9.86528e-06     0.0041327545    8.72063e-06     0.0053343018    1.12455e-05       -11.72%     13.95%
         140         150        0.0043038737    9.43308e-06     0.0037915762    8.31704e-06     0.0049153594    1.07817e-05       -11.90%     14.21%
         150         160        0.0039346580    8.90791e-06     0.0034577454    7.81691e-06     0.0045064451    1.02380e-05       -12.12%     14.53%
         160         170        0.0036051193    8.52965e-06     0.0031610695    7.47002e-06     0.0041395971    9.82297e-06       -12.32%     14.83%
         170         180        0.0032719293    8.15996e-06     0.0028611177    7.10889e-06     0.0037687733    9.45911e-06       -12.56%     15.19%
         180         190        0.0029496273    7.54164e-06     0.0025727240    6.55622e-06     0.0034074664    8.76186e-06       -12.78%     15.52%
         190         200        0.0026751727    7.15915e-06     0.0023277199    6.20785e-06     0.0030989955    8.34079e-06       -12.99%     15.84%
         200         210        0.0024160436    6.81652e-06     0.0020966695    5.88873e-06     0.0028073731    7.97507e-06       -13.22%     16.20%
         210         220        0.0021710683    6.30502e-06     0.0018793684    5.43494e-06     0.0025301056    7.39544e-06       -13.44%     16.54%
         220         230        0.0019600021    6.12290e-06     0.0016921439    5.26706e-06     0.0022912330    7.19954e-06       -13.67%     16.90%
         230         240        0.0017523327    5.69354e-06     0.0015095499    4.88641e-06     0.0020536975    6.71120e-06       -13.85%     17.20%
         240         250        0.0015854188    5.36039e-06     0.0013622928    4.58908e-06     0.0018636048    6.34099e-06       -14.07%     17.55%
         250         260        0.0014412290    5.11974e-06     0.0012356811    4.37169e-06     0.0016983638    6.07016e-06       -14.26%     17.84%
         260         270        0.0012995051    4.94431e-06     0.0011112741    4.20172e-06     0.0015360293    5.89633e-06       -14.48%     18.20%
         270         280        0.0011886179    4.65950e-06     0.0010141672    3.94991e-06     0.0014085715    5.57154e-06       -14.68%     18.50%
         280         290        0.0010612303    4.40856e-06    0.00090337480    3.73629e-06     0.0012610861    5.27481e-06       -14.87%     18.83%
         290         300       0.00095920584    4.24240e-06    0.00081457401    3.58731e-06     0.0011430457    5.09070e-06       -15.08%     19.17%
         300         310       0.00088315582    4.19855e-06    0.00074865994    3.53298e-06     0.0010545033    5.05998e-06       -15.23%     19.40%
         310         320       0.00079833995    3.83052e-06    0.00067506799    3.21643e-06    0.00095601836    4.63047e-06       -15.44%     19.75%
         320         330       0.00072909217    3.81103e-06    0.00061534075    3.20519e-06    0.00087504072    4.60030e-06       -15.60%     20.02%
         330         340       0.00065446921    3.48393e-06    0.00055155656    2.92095e-06    0.00078680345    4.21897e-06       -15.72%     20.22%
         340         350       0.00060332305    3.44507e-06    0.00050701645    2.87143e-06    0.00072773439    4.20129e-06       -15.96%     20.62%
         350         360       0.00054425575    3.19645e-06    0.00045656327    2.66260e-06    0.00065787655    3.89981e-06       -16.11%     20.88%
         360         370       0.00049314259    3.03995e-06    0.00041304031    2.52813e-06    0.00059717631    3.71721e-06       -16.24%     21.10%
         370         380       0.00045253223    2.90349e-06    0.00037825737    2.40929e-06    0.00054923194    3.55640e-06       -16.41%     21.37%
         380         390       0.00042117861    3.01951e-06    0.00035135984    2.51012e-06    0.00051239257    3.69503e-06       -16.58%     21.66%
         390         400       0.00037422810    2.57099e-06    0.00031166317    2.12848e-06    0.00045617429    3.15890e-06       -16.72%     21.90%
         400         410       0.00034615704    2.57130e-06    0.00028766746    2.11618e-06    0.00042301870    3.18281e-06       -16.90%     22.20%
         410         420       0.00031766569    2.58401e-06    0.00026340313    2.11855e-06    0.00038919630    3.21037e-06       -17.08%     22.52%
         420         430       0.00029356038    2.43458e-06    0.00024307755    2.00067e-06    0.00036025642    3.01859e-06       -17.20%     22.72%
         430         440       0.00026959170    2.23657e-06    0.00022280842    1.83957e-06    0.00033157523    2.76973e-06       -17.35%     22.99%
         440         450       0.00024746876    2.14836e-06    0.00020442699    1.76303e-06    0.00030452476    2.66798e-06       -17.39%     23.06%
         450         460       0.00022948831    2.24200e-06    0.00018923291    1.85009e-06    0.00028299380    2.76889e-06       -17.54%     23.32%
         460         470       0.00020785445    2.02713e-06    0.00017112356    1.65887e-06    0.00025682077    2.52637e-06       -17.67%     23.56%
         470         480       0.00019081415    1.91492e-06    0.00015667874    1.56065e-06    0.00023647242    2.39774e-06       -17.89%     23.93%
         480         490       0.00017709933    1.81315e-06    0.00014558461    1.49033e-06    0.00021920330    2.24733e-06       -17.79%     23.77%
         490         500       0.00017027978    1.90882e-06    0.00013933956    1.55071e-06    0.00021185857    2.39745e-06       -18.17%     24.42%
