#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5                   0              0                0              0                0              0            0%         0%
           5          10                   0              0                0              0                0              0            0%         0%
          10          15                   0              0                0              0                0              0            0%         0%
          15          20                   0              0                0              0                0              0            0%         0%
          20          25                   0              0                0              0                0              0            0%         0%
          25          30                   0              0                0              0                0              0            0%         0%
          30          35                   0              0                0              0                0              0            0%         0%
          35          40                   0              0                0              0                0              0            0%         0%
          40          45                   0              0                0              0                0              0            0%         0%
          45          50                   0              0                0              0                0              0            0%         0%
          50          55                   0              0                0              0                0              0            0%         0%
          55          60                   0              0                0              0                0              0            0%         0%
          60          65                   0              0                0              0                0              0            0%         0%
          65          70                   0              0                0              0                0              0            0%         0%
          70          75       0.00010667650    2.24541e-06    9.5173023e-05    2.02743e-06    0.00012001424    2.49135e-06       -10.78%     12.50%
          75          80       0.00018135690    3.08048e-06    0.00016125474    2.74177e-06    0.00020477532    3.48298e-06       -11.08%     12.91%
          80          85       0.00044045305    5.31046e-06    0.00039102314    4.76736e-06    0.00049814109    5.93327e-06       -11.22%     13.10%
          85          90        0.0034235211    1.58046e-05     0.0030408093    1.42349e-05     0.0038697610    1.76094e-05       -11.18%     13.03%
          90          95         0.012766810    2.78006e-05      0.011341006    2.50482e-05      0.014429286    3.09639e-05       -11.17%     13.02%
          95         100        0.0015288288    9.66022e-06     0.0013619707    8.70446e-06     0.0017224092    1.07577e-05       -10.91%     12.66%
         100         105       0.00077232434    6.59013e-06    0.00069295365    5.97464e-06    0.00086727566    7.39421e-06       -10.28%     12.29%
         105         110       0.00070332249    6.46542e-06    0.00063385223    5.82644e-06    0.00078995860    7.26249e-06        -9.88%     12.32%
         110         115       0.00078024193    7.27411e-06    0.00070352392    6.58833e-06    0.00087591670    8.13366e-06        -9.83%     12.26%
         115         120       0.00030520134    0.000369054    0.00027627221    0.000334101    0.00034127876    0.000412644        -9.48%     11.82%
         120         125        0.0010909606    3.85482e-05     0.0010024124    3.52595e-05     0.0012013886    4.26761e-05        -8.12%     10.12%
         125         130        0.0011614653    0.000104003     0.0010903689    9.49353e-05     0.0012501294    0.000115369        -6.12%      7.63%
         130         135        0.0015841547    0.000158205     0.0014936929    0.000149097     0.0016969692    0.000169573        -5.71%      7.12%
         135         140        0.0019067874    6.79472e-05     0.0018117307    6.34696e-05     0.0020253323    7.35857e-05        -4.99%      6.22%
         140         145        0.0021846147    3.97304e-05     0.0020828882    3.73163e-05     0.0023114775    4.27779e-05        -4.66%      5.81%
         145         150        0.0021346247    8.27125e-05     0.0020501159    7.50672e-05     0.0022400152    9.22887e-05        -3.96%      4.94%
         150         155        0.0024563325    4.85423e-05     0.0023460008    4.51720e-05     0.0025939269    5.27994e-05        -4.49%      5.60%
         155         160        0.0024864664    3.45840e-05     0.0023843907    3.23601e-05     0.0026137647    3.74031e-05        -4.11%      5.12%
         160         165        0.0027011742    3.29936e-05     0.0025840584    3.10759e-05     0.0028472290    3.54203e-05        -4.34%      5.41%
         165         170        0.0027412142    4.42258e-05     0.0026217902    4.09212e-05     0.0028901474    4.83985e-05        -4.36%      5.43%
