#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10         0.017201605    0.000110276     0.0035982241    0.000122574      0.029346976    0.000105682       -79.08%     70.61%
          10          20         0.069510957    5.58085e-05      0.062994604    5.06539e-05      0.077637477    6.22823e-05        -9.37%     11.69%
          20          30         0.033711639    3.21864e-05      0.030535554    2.92541e-05      0.037672522    3.58742e-05        -9.42%     11.75%
          30          40         0.021292545    2.33069e-05      0.019242711    2.10478e-05      0.023810548    2.60136e-05        -9.63%     11.83%
          40          50         0.015342064    1.87690e-05      0.013816371    1.69252e-05      0.017164642    2.09134e-05        -9.94%     11.88%
          50          60         0.011967051    1.57935e-05      0.010742508    1.41820e-05      0.013400555    1.77418e-05       -10.23%     11.98%
          60          70        0.0098433374    1.41968e-05     0.0088117554    1.27270e-05      0.011054215    1.59824e-05       -10.48%     12.30%
          70          80        0.0084270678    1.30848e-05     0.0075251710    1.16906e-05     0.0094879832    1.47711e-05       -10.70%     12.59%
          80          90        0.0073861885    1.29250e-05     0.0065827174    1.16310e-05     0.0083332017    1.44864e-05       -10.88%     12.82%
          90         100        0.0066455066    1.16776e-05     0.0059124125    1.04204e-05     0.0075105814    1.31859e-05       -11.03%     13.02%
         100         110        0.0060870158    1.15524e-05     0.0054060075    1.02683e-05     0.0068921603    1.30971e-05       -11.19%     13.23%
         110         120        0.0055700341    1.08859e-05     0.0049397503    9.67356e-06     0.0063162897    1.23431e-05       -11.32%     13.40%
         120         130        0.0051676847    1.06725e-05     0.0045774479    9.50834e-06     0.0058674979    1.20726e-05       -11.42%     13.54%
         130         140        0.0047319400    9.91889e-06     0.0041825798    8.78033e-06     0.0053852919    1.12929e-05       -11.61%     13.81%
         140         150        0.0043475860    9.51136e-06     0.0038346021    8.40266e-06     0.0049596024    1.08524e-05       -11.80%     14.08%
         150         160        0.0039717961    9.07021e-06     0.0034941683    7.99461e-06     0.0045441917    1.03839e-05       -12.03%     14.41%
         160         170        0.0036322399    8.55268e-06     0.0031876161    7.49525e-06     0.0041672209    9.84375e-06       -12.24%     14.73%
         170         180        0.0032965343    8.19929e-06     0.0028852210    7.15361e-06     0.0037938121    9.49308e-06       -12.48%     15.08%
