#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0         0.1                   0              0                0              0                0              0            0%         0%
         0.1         0.2                   0              0                0              0                0              0            0%         0%
         0.2         0.3        0.0016144120    0.000310284     0.0014287550    0.000276247     0.0017856787    0.000342669       -11.50%     10.61%
         0.3         0.4        0.0058002378    0.000651327     0.0051824070    0.000587656     0.0063618638    0.000710121       -10.65%      9.68%
         0.4         0.5         0.010249811    0.000777748     0.0092455551    0.000710572      0.011152872    0.000837233        -9.80%      8.81%
         0.5         0.6         0.028528603     0.00146339      0.025435436     0.00130728      0.031345466     0.00160967       -10.84%      9.87%
         0.6         0.7         0.045946788     0.00186287      0.041309814     0.00170267      0.050119122     0.00200463       -10.09%      9.08%
         0.7         0.8         0.087832451     0.00249244      0.078661311     0.00225548      0.096123279     0.00270921       -10.44%      9.44%
         0.8         0.9          0.14082706     0.00318514       0.12638378     0.00289732       0.15386403     0.00344438       -10.26%      9.26%
         0.9           1          0.22436155     0.00387937       0.20121958     0.00353211       0.24529892     0.00419854       -10.31%      9.33%
           1         1.1          0.34690628     0.00495124       0.31128365     0.00449478       0.37906691     0.00536485       -10.27%      9.27%
         1.1         1.2          0.52544104      0.0107373       0.47070985     0.00897961       0.57511412      0.0125300       -10.42%      9.45%
         1.2         1.3          0.71371076     0.00719429       0.63964435     0.00652083       0.78073805     0.00780621       -10.38%      9.39%
         1.3         1.4           1.0157479     0.00847354       0.91037829     0.00767534        1.1111757     0.00920118       -10.37%      9.39%
         1.4         1.5           1.3484950     0.00963801        1.2093483     0.00873866        1.4744454      0.0104546       -10.32%      9.34%
         1.5         1.6           1.7896771      0.0112710        1.6031444      0.0101884        1.9587971      0.0122635       -10.42%      9.45%
         1.6         1.7           2.4071318      0.0134029        2.1544169      0.0121241        2.6366108      0.0145783       -10.50%      9.53%
         1.7         1.8           3.2132397      0.0158381        2.8730779      0.0142774        3.5226241      0.0172771       -10.59%      9.63%
         1.8         1.9           4.2406888      0.0190696        3.7856381      0.0171138        4.6557654      0.0208884       -10.73%      9.79%
         1.9           2           5.7591659      0.0442152        5.1306588      0.0368434        6.3346485      0.0516850       -10.91%      9.99%
           2         2.1           7.3295053      0.0267706        6.5290248      0.0239523        8.0621386      0.0294096       -10.92%      10.0%
         2.1         2.2           9.2011582      0.0301950        8.1865705      0.0268739        10.131025      0.0333141       -11.03%     10.11%
         2.2         2.3           11.446743      0.0361518        10.176037      0.0320948        12.613336      0.0399777       -11.10%     10.19%
         2.3         2.4           13.969403      0.0402547        12.419238      0.0356720        15.393019      0.0445962       -11.10%     10.19%
