#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5                   0              0                0              0                0              0            0%         0%
           5          10         0.095682372     0.00127032      0.080313870     0.00104763       0.11072609     0.00149422       -16.06%     15.72%
          10          15          0.52728715     0.00168558       0.45048487     0.00144824       0.60077236     0.00191364       -14.57%     13.94%
          15          20           1.1532674     0.00218879       0.99093813     0.00188704        1.3073785     0.00247769       -14.08%     13.36%
          20          25           1.2362487     0.00225854        1.0657074     0.00194937        1.3975884     0.00255469       -13.80%     13.05%
          25          30          0.89924625     0.00204030       0.78028694     0.00176996        1.0110725     0.00229728       -13.23%     12.44%
          30          35          0.60046593     0.00154434       0.53004016     0.00136156       0.66546839     0.00171641       -11.73%     10.83%
          35          40          0.51098990     0.00120754       0.46092976     0.00109042       0.55576926     0.00131493        -9.80%      8.76%
          40          45          0.55570473     0.00113749       0.50644290     0.00104322       0.59897538     0.00122154        -8.86%      7.79%
          45          50          0.46927680     0.00109853       0.43192362     0.00101704       0.50144729     0.00116968        -7.96%      6.86%
          50          55          0.37390399    0.000963362       0.34605763    0.000896417       0.39760000     0.00102133        -7.45%      6.34%
          55          60          0.29717881    0.000851844       0.27603492    0.000795900       0.31502904    0.000899798        -7.11%      6.01%
          60          65          0.23575130    0.000750084       0.21981113    0.000703507       0.24909091    0.000789745        -6.76%      5.66%
          65          70          0.18239833    0.000654705       0.17075761    0.000617204       0.19204410    0.000686280        -6.38%      5.29%
          70          75          0.14354855    0.000578849       0.13485073    0.000547734       0.15068890    0.000604792        -6.06%      4.97%
          75          80          0.11639757    0.000527228       0.10974069    0.000498736       0.12180540    0.000551409        -5.72%      4.65%
          80          85         0.091541545    0.000449925      0.086672298    0.000429318      0.095445172    0.000466555        -5.32%      4.26%
          85          90         0.076182250    0.000420198      0.072388212    0.000402873      0.079184778    0.000434105        -4.98%      3.94%
          90          95         0.061849513    0.000365311      0.058985783    0.000350809      0.064082059    0.000376728        -4.63%      3.61%
          95         100         0.050784661    0.000326980      0.048571474    0.000314878      0.052487480    0.000336391        -4.36%      3.35%
         100         105         0.042390490    0.000304357      0.040703274    0.000294946      0.043661500    0.000311345        -3.98%      3.00%
         105         110         0.035904648    0.000294400      0.034567344    0.000285846      0.036895692    0.000300642        -3.72%      2.76%
         110         115         0.029997012    0.000273578      0.028977024    0.000269328      0.030736313    0.000276247        -3.40%      2.46%
         115         120         0.025182437    0.000220621      0.024403294    0.000215444      0.025731299    0.000224157        -3.09%      2.18%
         120         125         0.021861709    0.000224526      0.021230971    0.000220299      0.022296072    0.000227280        -2.89%      1.99%
         125         130         0.018315876    0.000207102      0.017867028    0.000204756      0.018607653    0.000208206        -2.45%      1.59%
         130         135         0.015813965    0.000171818      0.015445288    0.000169110      0.016048242    0.000173363        -2.33%      1.48%
         135         140         0.013853017    0.000182510      0.013571967    0.000182291      0.014020783    0.000181940        -2.03%      1.21%
         140         145         0.012262028    0.000159015      0.012036475    0.000157008      0.012389589    0.000160008        -1.84%      1.04%
         145         150         0.011033981    0.000187639      0.010858665    0.000185162      0.011123901    0.000188919        -1.59%      0.81%
         150         155        0.0093226514    0.000140291     0.0092069942    0.000140347     0.0093700092    0.000139567        -1.24%      0.51%
         155         160        0.0083740581    0.000134539     0.0082918556    0.000134210     0.0083972533    0.000134168        -0.98%      0.28%
         160         165        0.0073464770    0.000124510     0.0072945084    0.000125182     0.0073487718    0.000123293        -0.71%      0.03%
         165         170        0.0064558194    0.000123616     0.0064081468    0.000124124     0.0064594204    0.000122558        -0.74%      0.06%
         170         175        0.0056828452    0.000105939     0.0056648692    0.000107138     0.0056828452    0.000105939        -0.32%   0.00000%
         175         180        0.0053365469    0.000111548     0.0053169307    0.000110534     0.0053365469    0.000111548        -0.37%   0.00000%
         180         185        0.0046911487    9.72107e-05     0.0046603559    9.58181e-05     0.0046949442    9.83191e-05        -0.66%      0.08%
         185         190        0.0042379508    0.000110291     0.0042055666    0.000108484     0.0042466635    0.000111760        -0.76%      0.21%
         190         195        0.0037340937    8.69428e-05     0.0037003114    8.54025e-05     0.0037477980    8.82494e-05        -0.90%      0.37%
         195         200        0.0033664244    0.000129549     0.0033197460    0.000124119     0.0033981886    0.000135162        -1.39%      0.94%
         200         205        0.0030557361    7.84361e-05     0.0030203878    7.70116e-05     0.0030760837    7.96551e-05        -1.16%      0.67%
         205         210        0.0028249940    0.000105944     0.0027812213    0.000103205     0.0028564544    0.000108522        -1.55%      1.11%
         210         215        0.0024969910    8.03169e-05     0.0024619750    7.86417e-05     0.0025203551    8.17473e-05        -1.40%      0.94%
         215         220        0.0021902726    5.68834e-05     0.0021576956    5.61483e-05     0.0022128991    5.74609e-05        -1.49%      1.03%
         220         225        0.0020620677    6.36804e-05     0.0020233567    6.20199e-05     0.0020929989    6.52487e-05        -1.88%      1.50%
         225         230        0.0017729949    6.84044e-05     0.0017308210    6.57300e-05     0.0018106248    7.12089e-05        -2.38%      2.12%
         230         235        0.0016955957    7.37841e-05     0.0016635215    7.28563e-05     0.0017213653    7.43814e-05        -1.89%      1.52%
         235         240        0.0015940625    6.67159e-05     0.0015506411    6.35403e-05     0.0016343840    7.01556e-05        -2.72%      2.53%
         240         245        0.0013896861    4.72338e-05     0.0013549578    4.54711e-05     0.0014209545    4.90958e-05        -2.50%      2.25%
         245         250        0.0014678425    0.000100352     0.0014232621    9.50042e-05     0.0015104530    0.000106227        -3.04%      2.90%
         250         255        0.0012901248    4.89956e-05     0.0012553095    4.72716e-05     0.0013222207    5.07248e-05        -2.70%      2.49%
         255         260        0.0011633746    8.99132e-05     0.0011240544    8.34378e-05     0.0012019996    9.72124e-05        -3.38%      3.32%
         260         265       0.00090020735    3.64669e-05    0.00087538563    3.52165e-05    0.00092316963    3.77147e-05        -2.76%      2.55%
         265         270       0.00088498734    3.41736e-05    0.00085866062    3.30027e-05    0.00090981962    3.53406e-05        -2.97%      2.81%
         270         275       0.00095686644    5.13864e-05    0.00092475528    4.87836e-05    0.00098831143    5.42504e-05        -3.36%      3.29%
         275         280       0.00076557751    3.42096e-05    0.00074098113    3.28551e-05    0.00078943417    3.56487e-05        -3.21%      3.12%
         280         285       0.00074017225    3.96138e-05    0.00071561600    3.74753e-05    0.00076405776    4.19852e-05        -3.32%      3.23%
         285         290       0.00069158281    3.31936e-05    0.00066680924    3.18277e-05    0.00071613243    3.46051e-05        -3.58%      3.55%
         290         295       0.00062777917    3.08281e-05    0.00060435400    2.93888e-05    0.00065125524    3.23728e-05        -3.73%      3.74%
         295         300       0.00056453488    2.98519e-05    0.00054562609    2.86865e-05    0.00058289919    3.10326e-05        -3.35%      3.25%
         300         305       0.00054356617    2.91082e-05    0.00052322688    2.78348e-05    0.00056390875    3.04376e-05        -3.74%      3.74%
         305         310       0.00057307240    3.49967e-05    0.00055012594    3.33687e-05    0.00059633999    3.67176e-05        -4.00%      4.06%
         310         315       0.00044673859    2.34645e-05    0.00043057752    2.26306e-05    0.00046276316    2.42950e-05        -3.62%      3.59%
         315         320       0.00054286309    3.19873e-05    0.00051912875    3.01819e-05    0.00056753997    3.39861e-05        -4.37%      4.55%
         320         325       0.00039665175    2.90363e-05    0.00037821522    2.70621e-05    0.00041604098    3.12880e-05        -4.65%      4.89%
         325         330       0.00040253424    2.35034e-05    0.00038586580    2.23172e-05    0.00041958018    2.47930e-05        -4.14%      4.23%
         330         335       0.00037132220    2.58935e-05    0.00035786726    2.49599e-05    0.00038468773    2.68790e-05        -3.62%      3.60%
         335         340       0.00034384921    2.23518e-05    0.00032969558    2.14146e-05    0.00035836141    2.33594e-05        -4.12%      4.22%
         340         345       0.00039189892    3.19239e-05    0.00037200853    2.97895e-05    0.00041316888    3.43733e-05        -5.08%      5.43%
         345         350       0.00032381202    2.30715e-05    0.00030792171    2.18264e-05    0.00034062431    2.44164e-05        -4.91%      5.19%
         350         355       0.00026852718    2.62886e-05    0.00025469743    2.46450e-05    0.00028328691    2.80948e-05        -5.15%      5.50%
         355         360       0.00022356333    2.03445e-05    0.00021177649    1.89848e-05    0.00023621445    2.18764e-05        -5.27%      5.66%
         360         365       0.00024646736    1.83145e-05    0.00023497616    1.74204e-05    0.00025848896    1.92633e-05        -4.66%      4.88%
         365         370       0.00034863247    3.66534e-05    0.00033056079    3.42681e-05    0.00036800561    3.93534e-05        -5.18%      5.56%
         370         375       0.00025555576    3.36426e-05    0.00024170410    3.12735e-05    0.00027043563    3.62881e-05        -5.42%      5.82%
         375         380       0.00034493182    4.10278e-05    0.00032463453    3.84772e-05    0.00036707994    4.38494e-05        -5.88%      6.42%
         380         385       0.00020584374    2.03613e-05    0.00019343728    1.89824e-05    0.00021954851    2.19325e-05        -6.03%      6.66%
         385         390       0.00018452823    1.77229e-05    0.00017557764    1.68446e-05    0.00019402074    1.87034e-05        -4.85%      5.14%
         390         395       0.00020641689    2.11096e-05    0.00019500651    1.98341e-05    0.00021871744    2.25037e-05        -5.53%      5.96%
         395         400       0.00014195726    1.37935e-05    0.00013344447    1.28529e-05    0.00015132015    1.48525e-05        -6.00%      6.60%
         400         405       0.00016750306    1.76004e-05    0.00015764021    1.62456e-05    0.00017834291    1.91734e-05        -5.89%      6.47%
         405         410       0.00010904075    1.14762e-05    0.00010334476    1.07793e-05    0.00011516407    1.22538e-05        -5.22%      5.62%
         410         415       0.00012908002    1.21498e-05    0.00012227290    1.15206e-05    0.00013637637    1.28255e-05        -5.27%      5.65%
         415         420       0.00019150235    2.92425e-05    0.00018059053    2.76890e-05    0.00020333418    3.08945e-05        -5.70%      6.18%
         420         425       0.00015425329    1.84183e-05    0.00014451570    1.71391e-05    0.00016506937    1.98733e-05        -6.31%      7.01%
         425         430       0.00011087313    1.04578e-05    0.00010446532    9.79642e-06    0.00011785870    1.11959e-05        -5.78%      6.30%
         430         435       0.00011657389    1.66101e-05    0.00010853719    1.51933e-05    0.00012567315    1.82968e-05        -6.89%      7.81%
         435         440       6.8185050e-05    8.46656e-06    6.3779908e-05    7.87509e-06    7.3078408e-05    9.13702e-06        -6.46%      7.18%
         440         445       5.0186705e-05    5.73300e-06    4.7202236e-05    5.40975e-06    5.3454159e-05    6.08575e-06        -5.95%      6.51%
         445         450       7.2313929e-05    9.60437e-06    6.7580100e-05    8.96597e-06    7.7605076e-05    1.03189e-05        -6.55%      7.32%
