#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5                   0              0                0              0                0              0            0%         0%
           5          10          0.10113925     0.00100694      0.084951383    0.000848527       0.11699312     0.00116295       -16.01%     15.68%
          10          15          0.54288063     0.00159055       0.46363768     0.00137439       0.61883270     0.00179675       -14.60%     13.99%
          15          20           1.1433609     0.00185637       0.98217796     0.00160694        1.2966446     0.00209459       -14.10%     13.41%
          20          25           1.2051287     0.00193312        1.0388005     0.00167958        1.3627412     0.00217385       -13.80%     13.08%
          25          30          0.87190541     0.00187733       0.75694024     0.00164577       0.98011945     0.00209489       -13.19%     12.41%
          30          35          0.59075598     0.00133211       0.52186934     0.00117848       0.65440240     0.00147552       -11.66%     10.77%
          35          40          0.50972192     0.00108312       0.46001416    0.000983656       0.55424855     0.00117332        -9.75%      8.74%
          40          45          0.55032821     0.00110452       0.50162041     0.00101927       0.59320523     0.00117974        -8.85%      7.79%
          45          50          0.45141987    0.000958396       0.41537128    0.000894420       0.48255425     0.00101366        -7.99%      6.90%
          50          55          0.35671380    0.000895665       0.32996901    0.000840597       0.37955495    0.000942601        -7.50%      6.40%
          55          60          0.28045897    0.000777423       0.26055143    0.000729790       0.29731167    0.000817685        -7.10%      6.01%
          60          65          0.21855628    0.000701714       0.20378168    0.000661995       0.23096013    0.000734870        -6.76%      5.68%
          65          70          0.17026152    0.000634335       0.15934012    0.000601587       0.17935088    0.000661354        -6.41%      5.34%
          70          75          0.13295412    0.000564347       0.12491961    0.000536425       0.13957340    0.000587332        -6.04%      4.98%
          75          80          0.10717989    0.000500547       0.10102563    0.000477023       0.11220091    0.000519706        -5.74%      4.68%
          80          85         0.083371235    0.000472444      0.078910034    0.000453438      0.086963596    0.000487473        -5.35%      4.31%
          85          90         0.068124104    0.000411748      0.064697130    0.000396107      0.070854593    0.000423939        -5.03%      4.01%
          90          95         0.056459516    0.000366153      0.053804566    0.000352525      0.058546475    0.000376714        -4.70%      3.70%
          95         100         0.045424461    0.000362276      0.043418211    0.000351040      0.046980199    0.000370695        -4.42%      3.42%
         100         105         0.038232616    0.000315933      0.036673440    0.000307607      0.039421606    0.000321995        -4.08%      3.11%
         105         110         0.031371938    0.000322174      0.030181586    0.000312277      0.032264191    0.000329428        -3.79%      2.84%
         110         115         0.026087799    0.000300169      0.025180684    0.000293121      0.026754501    0.000304991        -3.48%      2.56%
         115         120         0.022118355    0.000271859      0.021411155    0.000267609      0.022625682    0.000274352        -3.20%      2.29%
         120         125         0.018886616    0.000284821      0.018331036    0.000280549      0.019276321    0.000287314        -2.94%      2.06%
         125         130         0.016041233    0.000245442      0.015623099    0.000242025      0.016322617    0.000247346        -2.61%      1.75%
         130         135         0.013593422    0.000231204      0.013255134    0.000230855      0.013816161    0.000230392        -2.49%      1.64%
         135         140         0.011649936    0.000238574      0.011386498    0.000237838      0.011817482    0.000237994        -2.26%      1.44%
         140         145         0.010271638    0.000226431      0.010081080    0.000226641      0.010382064    0.000225022        -1.86%      1.08%
