#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5          0.73270814     0.00359220       0.70724976     0.00313225       0.75185705     0.00391654        -3.47%      2.61%
           5          10          0.70856077     0.00181978       0.68259654     0.00166429       0.73198958     0.00194099        -3.66%      3.31%
          10          15          0.36211320     0.00112407       0.34915180     0.00102355       0.37405406     0.00119522        -3.58%      3.30%
          15          20          0.25807768    0.000933942       0.24943887    0.000843744       0.26576832    0.000998745        -3.35%      2.98%
          20          25          0.19840901    0.000816566       0.19195639    0.000747157       0.20407430    0.000871713        -3.25%      2.86%
          25          30          0.16062347    0.000707975       0.15559436    0.000652402       0.16481545    0.000747964        -3.13%      2.61%
          30          35          0.15376237    0.000873282       0.14906027    0.000819900       0.15754787    0.000913833        -3.06%      2.46%
          35          40          0.17260323    0.000785901       0.16771859    0.000726716       0.17594514    0.000831083        -2.83%      1.94%
          40          45          0.20814594    0.000940992       0.20233516    0.000878153       0.21173921    0.000987483        -2.79%      1.73%
          45          50          0.25354655     0.00120586       0.24661841     0.00113056       0.25783357     0.00127133        -2.73%      1.69%
          50          55          0.30011582     0.00127042       0.29213552     0.00119190       0.30498958     0.00133611        -2.66%      1.62%
          55          60          0.35842435     0.00241484       0.34894574     0.00228787       0.36381804     0.00250444        -2.64%      1.50%
          60          65          0.40395681     0.00245079       0.39303534     0.00234499       0.41029789     0.00250683        -2.70%      1.57%
          65          70          0.44549867     0.00170087       0.43377224     0.00163096       0.45295561     0.00177007        -2.63%      1.67%
          70          75          0.42607301     0.00205442       0.41508835     0.00195817       0.43442941     0.00214186        -2.58%      1.96%
          75          80          0.31787675     0.00240548       0.30965063     0.00225684       0.32813553     0.00259582        -2.59%      3.23%
          80          85          0.26681315     0.00143366       0.25737722     0.00135096       0.27858067     0.00153892        -3.54%      4.41%
          85          90          0.99779741     0.00218501       0.97022793     0.00209265        1.0321792     0.00230346        -2.76%      3.45%
          90          95           2.7626978     0.00381126        2.6875361     0.00365470        2.8564318     0.00401228        -2.72%      3.39%
          95         100          0.26841468     0.00117556       0.26113854     0.00112388       0.27748874     0.00124210        -2.71%      3.38%
         100         105         0.089144544    0.000602066      0.086796646    0.000574960      0.092072601    0.000637010        -2.63%      3.28%
         105         110         0.048043998    0.000431654      0.046741025    0.000410882      0.049668930    0.000458374        -2.71%      3.38%
         110         115         0.030646389    0.000375983      0.029854671    0.000360054      0.031633737    0.000396453        -2.58%      3.22%
         115         120         0.022348170    0.000248337      0.021782610    0.000238375      0.023053477    0.000261172        -2.53%      3.16%
         120         125         0.017834856    0.000244984      0.017393970    0.000233052      0.018384683    0.000260392        -2.47%      3.08%
         125         130         0.012967598    0.000394582      0.012647435    0.000384211      0.013366872    0.000407620        -2.47%      3.08%
         130         135         0.011812372    0.000161071      0.011504393    0.000154635      0.012196452    0.000169377        -2.61%      3.25%
         135         140        0.0098872645    0.000144300     0.0096449627    0.000139124      0.010189438    0.000150965        -2.45%      3.06%
