#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5                   0              0                0              0                0              0            0%         0%
           5          10                   0              0                0              0                0              0            0%         0%
          10          15                   0              0                0              0                0              0            0%         0%
          15          20                   0              0                0              0                0              0            0%         0%
          20          25                   0              0                0              0                0              0            0%         0%
          25          30                   0              0                0              0                0              0            0%         0%
          30          35                   0              0                0              0                0              0            0%         0%
          35          40                   0              0                0              0                0              0            0%         0%
          40          45                   0              0                0              0                0              0            0%         0%
          45          50                   0              0                0              0                0              0            0%         0%
          50          55                   0              0                0              0                0              0            0%         0%
          55          60                   0              0                0              0                0              0            0%         0%
          60          65                   0              0                0              0                0              0            0%         0%
          65          70                   0              0                0              0                0              0            0%         0%
          70          75       0.00072898180    3.52743e-05    0.00061732160    2.98987e-05    0.00083682583    4.05275e-05       -15.32%     14.79%
          75          80        0.0016718345    5.23820e-05     0.0014203351    4.46265e-05     0.0019137281    5.98981e-05       -15.04%     14.47%
          80          85        0.0037769239    7.18824e-05     0.0032189601    6.14644e-05     0.0043113933    8.19480e-05       -14.77%     14.15%
          85          90         0.031019115    0.000222205      0.026545585    0.000190888      0.035283448    0.000252308       -14.42%     13.75%
          90          95          0.12136604    0.000469899       0.10410567    0.000404554       0.13777298    0.000532597       -14.22%     13.52%
          95         100         0.015042700    0.000163566      0.012956319    0.000141268      0.017016351    0.000184917       -13.87%     13.12%
         100         105        0.0060882415    0.000116583     0.0052767969    0.000101154     0.0068504021    0.000131277       -13.33%     12.52%
         105         110        0.0054106034    0.000100602     0.0047209543    8.78233e-05     0.0060535441    0.000112647       -12.75%     11.88%
         110         115        0.0090723706    0.000122004     0.0079536999    0.000107045      0.010109076    0.000135969       -12.33%     11.43%
         115         120         0.012394672    0.000124997      0.010915897    0.000110278      0.013757398    0.000138607       -11.93%     10.99%
         120         125         0.013687844    0.000123533      0.012099435    0.000109360      0.015144569    0.000136567       -11.60%     10.64%
         125         130         0.014482022    0.000126415      0.012833625    0.000112138      0.015988118    0.000139524       -11.38%     10.40%
         130         135         0.014191805    0.000119605      0.012598748    0.000106326      0.015643459    0.000131781       -11.23%     10.23%
         135         140         0.014562258    0.000121530      0.012974370    0.000108297      0.016002195    0.000133631       -10.90%      9.89%
         140         145         0.014674776    0.000120391      0.013111603    0.000107727      0.016086383    0.000131862       -10.65%      9.62%
         145         150         0.014336601    0.000116262      0.012838337    0.000104249      0.015684986    0.000127119       -10.45%      9.41%
         150         155         0.014211041    0.000116526      0.012745309    0.000104553      0.015527015    0.000127379       -10.31%      9.26%
         155         160         0.013589152    0.000111868      0.012220980    0.000100706      0.014812197    0.000121917       -10.07%      9.00%
         160         165         0.013508621    0.000109130      0.012162159    9.80166e-05      0.014709828    0.000119270        -9.97%      8.89%
         165         170         0.014105217    0.000112251      0.012727083    0.000101250      0.015330522    0.000122182        -9.77%      8.69%
         170         175         0.015737589    0.000117194      0.014218005    0.000106075      0.017085351    0.000127143        -9.66%      8.56%
         175         180         0.021815144    0.000140573      0.019744180    0.000127600      0.023646337    0.000152124        -9.49%      8.39%
         180         185         0.050004717    0.000213835      0.045264262    0.000194345      0.054192777    0.000231232        -9.48%      8.38%
