#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0        0.15           10.038650     0.00808374        9.2675500     0.00746623        10.702639     0.00864184        -7.68%      6.61%
        0.15         0.3           9.9298732     0.00802011        9.1671720     0.00740719        10.586669     0.00857399        -7.68%      6.61%
         0.3        0.45           9.7272092     0.00797448        8.9767303     0.00735872        10.374022     0.00853146        -7.72%      6.65%
        0.45         0.6           9.4130164     0.00785256        8.6880425     0.00724457        10.037775     0.00840134        -7.70%      6.64%
         0.6        0.75           8.9899735     0.00770307        8.2983787     0.00710261        9.5861357     0.00824485        -7.69%      6.63%
        0.75         0.9           8.4917219     0.00754435        7.8389937     0.00695365        9.0546403     0.00807708        -7.69%      6.63%
         0.9        1.05           7.8156541     0.00731943        7.2168616     0.00674830        8.3321502     0.00783408        -7.66%      6.61%
        1.05         1.2           7.0013132     0.00704149        6.4669975     0.00649328        7.4622576     0.00753483        -7.63%      6.58%
         1.2        1.35           6.0557890     0.00674810        5.5969524     0.00623609        6.4515281     0.00721103        -7.58%      6.53%
        1.35         1.5           4.9908046     0.00635630        4.6156537     0.00587819        5.3140849     0.00678524        -7.52%      6.48%
         1.5        1.65           3.8630857     0.00591050        3.5755771     0.00547657        4.1105831     0.00629835        -7.44%      6.41%
        1.65         1.8           2.7130627     0.00615592        2.5146841     0.00595496        2.8836225     0.00635558        -7.31%      6.29%
         1.8        1.95           1.6512915     0.00589998        1.5324243     0.00575211        1.7532926     0.00603369        -7.20%      6.18%
        1.95         2.1          0.81851187     0.00667650       0.76229950     0.00668300       0.86652326     0.00665647        -6.87%      5.87%
         2.1        2.25          0.26201151     0.00426232       0.24429901     0.00422682       0.27709759     0.00428100        -6.76%      5.76%
        2.25         2.4         0.035043160     0.00358483      0.033200436     0.00361595      0.036567951     0.00353991        -5.26%      4.35%
         2.4        2.55       1.8726735e-05    1.32418e-05    1.7257326e-05    1.22028e-05    1.9969711e-05    1.41207e-05        -7.85%      6.64%
        2.55         2.7                   0              0                0              0                0              0            0%         0%
         2.7        2.85                   0              0                0              0                0              0            0%         0%
        2.85           3                   0              0                0              0                0              0            0%         0%
           3        3.15                   0              0                0              0                0              0            0%         0%
        3.15         3.3                   0              0                0              0                0              0            0%         0%
         3.3        3.45                   0              0                0              0                0              0            0%         0%
        3.45         3.6                   0              0                0              0                0              0            0%         0%
         3.6        3.75                   0              0                0              0                0              0            0%         0%
        3.75         3.9                   0              0                0              0                0              0            0%         0%
         3.9        4.05                   0              0                0              0                0              0            0%         0%
        4.05         4.2                   0              0                0              0                0              0            0%         0%
         4.2        4.35                   0              0                0              0                0              0            0%         0%
        4.35         4.5                   0              0                0              0                0              0            0%         0%
         4.5        4.65                   0              0                0              0                0              0            0%         0%
        4.65         4.8                   0              0                0              0                0              0            0%         0%
         4.8        4.95                   0              0                0              0                0              0            0%         0%
        4.95         5.1                   0              0                0              0                0              0            0%         0%
         5.1        5.25                   0              0                0              0                0              0            0%         0%
        5.25         5.4                   0              0                0              0                0              0            0%         0%
         5.4        5.55                   0              0                0              0                0              0            0%         0%
        5.55         5.7                   0              0                0              0                0              0            0%         0%
         5.7        5.85                   0              0                0              0                0              0            0%         0%
        5.85           6                   0              0                0              0                0              0            0%         0%
           6        6.15                   0              0                0              0                0              0            0%         0%
        6.15         6.3                   0              0                0              0                0              0            0%         0%
         6.3        6.45                   0              0                0              0                0              0            0%         0%
        6.45         6.6                   0              0                0              0                0              0            0%         0%
         6.6        6.75                   0              0                0              0                0              0            0%         0%
        6.75         6.9                   0              0                0              0                0              0            0%         0%
         6.9        7.05                   0              0                0              0                0              0            0%         0%
        7.05         7.2                   0              0                0              0                0              0            0%         0%
         7.2        7.35                   0              0                0              0                0              0            0%         0%
        7.35         7.5                   0              0                0              0                0              0            0%         0%
         7.5        7.65                   0              0                0              0                0              0            0%         0%
        7.65         7.8                   0              0                0              0                0              0            0%         0%
         7.8        7.95                   0              0                0              0                0              0            0%         0%
        7.95         8.1                   0              0                0              0                0              0            0%         0%
         8.1        8.25                   0              0                0              0                0              0            0%         0%
        8.25         8.4                   0              0                0              0                0              0            0%         0%
         8.4        8.55                   0              0                0              0                0              0            0%         0%
        8.55         8.7                   0              0                0              0                0              0            0%         0%
         8.7        8.85                   0              0                0              0                0              0            0%         0%
        8.85           9                   0              0                0              0                0              0            0%         0%
