#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5                   0              0                0              0                0              0            0%         0%
           5          10                   0              0                0              0                0              0            0%         0%
          10          15                   0              0                0              0                0              0            0%         0%
          15          20                   0              0                0              0                0              0            0%         0%
          20          25                   0              0                0              0                0              0            0%         0%
          25          30                   0              0                0              0                0              0            0%         0%
          30          35                   0              0                0              0                0              0            0%         0%
          35          40                   0              0                0              0                0              0            0%         0%
          40          45                   0              0                0              0                0              0            0%         0%
          45          50                   0              0                0              0                0              0            0%         0%
          50          55                   0              0                0              0                0              0            0%         0%
          55          60                   0              0                0              0                0              0            0%         0%
          60          65                   0              0                0              0                0              0            0%         0%
          65          70                   0              0                0              0                0              0            0%         0%
          70          75        0.0013537562    8.23024e-05     0.0012602615    7.13374e-05     0.0014237869    9.31663e-05        -6.91%      5.17%
          75          80        0.0028659375    0.000101959     0.0026781538    8.75687e-05     0.0030047322    0.000116519        -6.55%      4.84%
          80          85        0.0070623414    0.000164426     0.0065797767    0.000142460     0.0074304949    0.000186113        -6.83%      5.21%
          85          90         0.045065839    0.000586353      0.043010337    0.000509070      0.046308530    0.000661499        -4.56%      2.76%
          90          95          0.13886888    0.000991502       0.13580178    0.000865118       0.14257894     0.00103583        -2.21%      2.67%
          95         100         0.017387592    0.000235413      0.016906132    0.000206443      0.017833559    0.000244961        -2.77%      2.56%
         100         105        0.0078420427    0.000123371     0.0075326789    0.000109011     0.0080419757    0.000128531        -3.94%      2.55%
         105         110        0.0071806542    0.000111093     0.0069610919    0.000100137     0.0073370635    0.000115321        -3.06%      2.18%
         110         115         0.011272972    0.000143317      0.010897741    0.000128677      0.011495035    0.000159137        -3.33%      1.97%
         115         120         0.014532254    0.000155909      0.014087904    0.000141943      0.014789284    0.000170931        -3.06%      1.77%
         120         125         0.016990158    0.000180207      0.016454571    0.000162427      0.017316826    0.000198516        -3.15%      1.92%
         125         130         0.017675006    0.000198200      0.017167601    0.000178504      0.018028171    0.000203321        -2.87%      2.00%
         130         135         0.017865242    0.000191141      0.017440741    0.000172813      0.018295495    0.000196376        -2.38%      2.41%
         135         140         0.018765963    0.000174865      0.018225081    0.000159003      0.019199138    0.000180191        -2.88%      2.31%
         140         145         0.019805705    0.000185991      0.019180823    0.000169106      0.020308140    0.000195177        -3.16%      2.54%
         145         150         0.019927474    0.000199282      0.019324657    0.000181873      0.020466244    0.000210977        -3.03%      2.70%
         150         155         0.020634317    0.000185902      0.019932065    0.000170122      0.021170092    0.000192435        -3.40%      2.60%
         155         160         0.021257346    0.000171297      0.020485627    0.000156964      0.021817709    0.000185306        -3.63%      2.64%
         160         165         0.021801961    0.000176303      0.020975075    0.000162168      0.022417282    0.000189916        -3.79%      2.82%
         165         170         0.024085951    0.000182141      0.023154189    0.000167646      0.024794902    0.000195981        -3.87%      2.94%
         170         175         0.027669243    0.000185430      0.026543709    0.000171224      0.028533816    0.000199166        -4.07%      3.12%
         175         180         0.037591604    0.000242164      0.036060674    0.000222895      0.038783653    0.000260160        -4.07%      3.17%
         180         185         0.072700825    0.000299038      0.070407651    0.000277058      0.074374241    0.000320368        -3.15%      2.30%
