#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0         0.1           16.222882        11.6940        14.616149        10.5356        18.226632        13.1386        -9.90%     12.35%
         0.1         0.2           7.8623714        1.82543        7.0841470        1.64462        8.8328924        2.05092        -9.90%     12.34%
         0.2         0.3           4.6787668       0.687484        4.2166928       0.619508        5.2550175       0.772256        -9.88%     12.32%
         0.3         0.4           2.7109240       0.193331        2.4443193       0.174256        3.0434058       0.217119        -9.83%     12.26%
         0.4         0.5           2.0850566       0.108895        1.8814029      0.0982077        2.3390323       0.122224        -9.77%     12.18%
         0.5         0.6           1.4642734      0.0708465        1.3231070      0.0639894        1.6403216      0.0793980        -9.64%     12.02%
         0.6         0.7           1.5424965      0.0482619        1.3960093      0.0436396        1.7251802      0.0540266        -9.50%     11.84%
         0.7         0.8           1.4349725      0.0322085        1.3019435      0.0291799        1.6008726      0.0359861        -9.27%     11.56%
         0.8         0.9           1.4330472      0.0309736        1.3048510      0.0281350        1.5929202      0.0345148        -8.95%     11.16%
         0.9           1           1.4455520      0.0252167        1.3217108      0.0229892        1.5999939      0.0279965        -8.57%     10.68%
           1         1.1           1.5189440      0.0228724        1.3942792      0.0208768        1.6744130      0.0253644        -8.21%     10.24%
         1.1         1.2           1.6766425      0.0221935        1.5459905      0.0202761        1.8395782      0.0245898        -7.79%      9.72%
         1.2         1.3           1.8566509      0.0222570        1.7218240      0.0203483        2.0247931      0.0246450        -7.26%      9.06%
         1.3         1.4           2.0299516      0.0271693        1.8920684      0.0248212        2.2019052      0.0301085        -6.79%      8.47%
         1.4         1.5           2.2312223      0.0283353        2.0920585      0.0258187        2.4047731      0.0314868        -6.24%      7.78%
         1.5         1.6           2.5592400      0.0276527        2.4121043      0.0253031        2.7427323      0.0306009        -5.75%      7.17%
         1.6         1.7           2.9258647      0.0345827        2.7700442      0.0314537        3.1201880      0.0385028        -5.33%      6.64%
         1.7         1.8           3.2577511      0.0358552        3.1028870      0.0326581        3.4508816      0.0398655        -4.75%      5.93%
         1.8         1.9           3.6470008      0.0333158        3.4907479      0.0304183        3.8418633      0.0369571        -4.28%      5.34%
         1.9           2           4.2804429      0.0389144        4.1050795      0.0354790        4.4991379      0.0432292        -4.10%      5.11%
           2         2.1           4.7707131      0.0388112        4.5979312      0.0353952        4.9861889      0.0431053        -3.62%      4.52%
         2.1         2.2           5.6650624      0.0525653        5.4657471      0.0477895        5.9136280      0.0585570        -3.52%      4.39%
         2.2         2.3           6.0792650      0.0526010        5.8974035      0.0478493        6.3060638      0.0585674        -2.99%      3.73%
         2.3         2.4           7.0631258      0.0487482        6.8620785      0.0446137        7.3138510      0.0539614        -2.85%      3.55%
         2.4         2.5           7.9464439      0.0534326        7.7447115      0.0488575        8.1980238      0.0592005        -2.54%      3.17%
         2.5         2.6           9.0237902      0.0632122        8.8071004      0.0574959        9.2940232      0.0703933        -2.40%      2.99%
         2.6         2.7           10.066297      0.0648832        9.8500168      0.0591006        10.336020      0.0721569        -2.15%      2.68%
         2.7         2.8           11.185479      0.0621825        10.960722      0.0568636        11.465772      0.0688937        -2.01%      2.51%
         2.8         2.9           12.550317      0.0697813        12.308036      0.0641912        12.852464      0.0768655        -1.93%      2.41%
         2.9           3           13.359996      0.0771691        13.139465      0.0704016        13.635018      0.0856959        -1.65%      2.06%
           3         3.1           14.445486      0.0750905        14.224541      0.0685202        14.721026      0.0833723        -1.53%      1.91%
         3.1         3.2           12.943720      0.0661020        12.757729      0.0605526        13.175669      0.0731223        -1.44%      1.79%
         3.2         3.3           8.0409604      0.0550815        7.9248779      0.0502940        8.1857265      0.0611204        -1.44%      1.80%
         3.3         3.4           5.8655439      0.0472273        5.7779390      0.0432092        5.9747956      0.0523027        -1.49%      1.86%
         3.4         3.5           4.5456668      0.0408785        4.4731453      0.0373734        4.6361081      0.0453030        -1.60%      1.99%
         3.5         3.6           3.3982271      0.0409719        3.3576310      0.0373585        3.4488544      0.0455249        -1.19%      1.49%
         3.6         3.7           2.8446922      0.0378758        2.7931974      0.0345135        2.9089112      0.0421076        -1.81%      2.26%
         3.7         3.8           2.2261383      0.0285692        2.1904038      0.0261420        2.2707027      0.0316351        -1.61%      2.00%
         3.8         3.9           1.6877596      0.0264036        1.6665954      0.0241277        1.7141535      0.0292765        -1.25%      1.56%
