#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0        0.15          0.46045445    0.000293156       0.40798180    0.000259568       0.50826936    0.000324155       -11.40%     10.38%
        0.15         0.3          0.45884054    0.000293209       0.40662887    0.000259655       0.50641817    0.000324178       -11.38%     10.37%
         0.3        0.45          0.45567402    0.000291526       0.40396739    0.000258258       0.50279173    0.000322230       -11.35%     10.34%
        0.45         0.6          0.44872594    0.000289718       0.39806552    0.000256800       0.49488091    0.000320097       -11.29%     10.29%
         0.6        0.75          0.43836661    0.000286730       0.38918362    0.000254366       0.48316312    0.000316572       -11.22%     10.22%
        0.75         0.9          0.42431401    0.000284221       0.37704871    0.000252392       0.46734905    0.000313544       -11.14%     10.14%
         0.9        1.05          0.40182732    0.000277414       0.35741108    0.000246556       0.44225257    0.000305826       -11.05%     10.06%
        1.05         1.2          0.37057045    0.000268725       0.32994194    0.000239083       0.40752855    0.000295991       -10.96%      9.97%
         1.2        1.35          0.33055889    0.000257251       0.29463647    0.000229104       0.36321097    0.000283109       -10.87%      9.88%
        1.35         1.5          0.28443849    0.000243763       0.25377398    0.000217319       0.31229264    0.000268022       -10.78%      9.79%
         1.5        1.65          0.22839056    0.000225766       0.20397580    0.000201497       0.25055062    0.000247997       -10.69%      9.70%
        1.65         1.8          0.16951629    0.000203499       0.15156386    0.000181865       0.18579362    0.000223270       -10.59%      9.60%
         1.8        1.95          0.11105317    0.000178925      0.099376451    0.000160025       0.12163036    0.000196185       -10.51%      9.52%
        1.95         2.1         0.058464500    0.000148255      0.052359937    0.000132810      0.063987746    0.000162302       -10.44%      9.45%
         2.1        2.25         0.020153757    0.000131090      0.018074549    0.000118143      0.022031193    0.000142744       -10.32%      9.32%
        2.25         2.4        0.0027512004    0.000463652     0.0024725380    0.000419307     0.0030023817    0.000503461       -10.13%      9.13%
         2.4        2.55       1.5773385e-06    1.11535e-06    1.4126754e-06    9.98912e-07    1.7249697e-06    1.21974e-06       -10.44%      9.36%
        2.55         2.7                   0              0                0              0                0              0            0%         0%
         2.7        2.85                   0              0                0              0                0              0            0%         0%
        2.85           3                   0              0                0              0                0              0            0%         0%
           3        3.15                   0              0                0              0                0              0            0%         0%
        3.15         3.3                   0              0                0              0                0              0            0%         0%
         3.3        3.45                   0              0                0              0                0              0            0%         0%
        3.45         3.6                   0              0                0              0                0              0            0%         0%
         3.6        3.75                   0              0                0              0                0              0            0%         0%
        3.75         3.9                   0              0                0              0                0              0            0%         0%
         3.9        4.05                   0              0                0              0                0              0            0%         0%
        4.05         4.2                   0              0                0              0                0              0            0%         0%
         4.2        4.35                   0              0                0              0                0              0            0%         0%
        4.35         4.5                   0              0                0              0                0              0            0%         0%
         4.5        4.65                   0              0                0              0                0              0            0%         0%
        4.65         4.8                   0              0                0              0                0              0            0%         0%
         4.8        4.95                   0              0                0              0                0              0            0%         0%
        4.95         5.1                   0              0                0              0                0              0            0%         0%
         5.1        5.25                   0              0                0              0                0              0            0%         0%
        5.25         5.4                   0              0                0              0                0              0            0%         0%
         5.4        5.55                   0              0                0              0                0              0            0%         0%
        5.55         5.7                   0              0                0              0                0              0            0%         0%
         5.7        5.85                   0              0                0              0                0              0            0%         0%
        5.85           6                   0              0                0              0                0              0            0%         0%
           6        6.15                   0              0                0              0                0              0            0%         0%
        6.15         6.3                   0              0                0              0                0              0            0%         0%
         6.3        6.45                   0              0                0              0                0              0            0%         0%
        6.45         6.6                   0              0                0              0                0              0            0%         0%
         6.6        6.75                   0              0                0              0                0              0            0%         0%
        6.75         6.9                   0              0                0              0                0              0            0%         0%
         6.9        7.05                   0              0                0              0                0              0            0%         0%
        7.05         7.2                   0              0                0              0                0              0            0%         0%
         7.2        7.35                   0              0                0              0                0              0            0%         0%
        7.35         7.5                   0              0                0              0                0              0            0%         0%
         7.5        7.65                   0              0                0              0                0              0            0%         0%
        7.65         7.8                   0              0                0              0                0              0            0%         0%
         7.8        7.95                   0              0                0              0                0              0            0%         0%
        7.95         8.1                   0              0                0              0                0              0            0%         0%
         8.1        8.25                   0              0                0              0                0              0            0%         0%
        8.25         8.4                   0              0                0              0                0              0            0%         0%
         8.4        8.55                   0              0                0              0                0              0            0%         0%
        8.55         8.7                   0              0                0              0                0              0            0%         0%
         8.7        8.85                   0              0                0              0                0              0            0%         0%
        8.85           9                   0              0                0              0                0              0            0%         0%
