#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0         0.1       6.3537414e-07    3.43716e-07    5.6656499e-07    3.07023e-07    6.9775710e-07    3.76925e-07       -10.83%      9.82%
         0.1         0.2       7.6149429e-06    9.61678e-07    6.7109715e-06    8.45771e-07    8.4456074e-06    1.07038e-06       -11.87%     10.91%
         0.2         0.3       7.7130310e-05    3.71155e-06    6.8105151e-05    3.27900e-06    8.5418939e-05    4.11623e-06       -11.70%     10.75%
         0.3         0.4       0.00030212773    7.78154e-06    0.00026787152    6.89564e-06    0.00033344108    8.59854e-06       -11.34%     10.36%
         0.4         0.5       0.00075135432    1.26417e-05    0.00066615455    1.12135e-05    0.00082920737    1.39580e-05       -11.34%     10.36%
         0.5         0.6        0.0017388171    1.96395e-05     0.0015417638    1.74049e-05     0.0019189066    2.16990e-05       -11.33%     10.36%
         0.6         0.7        0.0033864819    2.80835e-05     0.0030016088    2.48715e-05     0.0037383321    3.10524e-05       -11.36%     10.39%
         0.7         0.8        0.0060223304    3.82950e-05     0.0053336688    3.38889e-05     0.0066525338    4.23791e-05       -11.44%     10.46%
         0.8         0.9        0.0099224092    4.97174e-05     0.0087908333    4.40129e-05      0.010957360    5.49943e-05       -11.40%     10.43%
         0.9           1         0.015239938    6.23102e-05      0.013505923    5.51828e-05      0.016825414    6.88984e-05       -11.38%     10.40%
           1         1.1         0.022640676    7.74633e-05      0.020064773    6.86126e-05      0.024995882    8.56446e-05       -11.38%     10.40%
         1.1         1.2         0.032658404    9.37391e-05      0.028935495    8.29817e-05      0.036063023    0.000103696       -11.40%     10.42%
         1.2         1.3         0.044625808    0.000110187      0.039553091    9.75678e-05      0.049262642    0.000121861       -11.37%     10.39%
         1.3         1.4         0.059790787    0.000128693      0.053022674    0.000114073      0.065972870    0.000142181       -11.32%     10.34%
         1.4         1.5         0.078409745    0.000147571      0.069530729    0.000130781      0.086519972    0.000163077       -11.32%     10.34%
         1.5         1.6         0.099323299    0.000166618      0.088116352    0.000147739       0.10955343    0.000184043       -11.28%     10.30%
         1.6         1.7          0.12342872    0.000185104       0.10954565    0.000164176       0.13609481    0.000204412       -11.25%     10.26%
         1.7         1.8          0.14968496    0.000205013       0.13289407    0.000181921       0.16499582    0.000226305       -11.22%     10.23%
         1.8         1.9          0.17775470    0.000223824       0.15788506    0.000198713       0.19586175    0.000246962       -11.18%     10.19%
         1.9           2          0.20572971    0.000241853       0.18280568    0.000214815       0.22660852    0.000266749       -11.14%     10.15%
           2         2.1          0.23389863    0.000259300       0.20787053    0.000230351       0.25759874    0.000285961       -11.13%     10.13%
         2.1         2.2          0.26416103    0.000277133       0.23482305    0.000246296       0.29086529    0.000305511       -11.11%     10.11%
         2.2         2.3          0.30284400    0.000298051       0.26923888    0.000264930       0.33342782    0.000328526       -11.10%     10.10%
         2.3         2.4          0.34606067    0.000318777       0.30769338    0.000283331       0.38097249    0.000351401       -11.09%     10.09%
         2.4         2.5          0.39123701    0.000340401       0.34788672    0.000302637       0.43067936    0.000375139       -11.08%     10.08%
         2.5         2.6          0.43462290    0.000360188       0.38645963    0.000320221       0.47844454    0.000396954       -11.08%     10.08%
         2.6         2.7          0.47438653    0.000499551       0.42183730    0.000446674       0.52219592    0.000547853       -11.08%     10.08%
         2.7         2.8          0.51201150    0.000676780       0.45528925    0.000610088       0.56361914    0.000737023       -11.08%     10.08%
         2.8         2.9          0.54274879    0.000405634       0.48260437    0.000360586       0.59746920    0.000447073       -11.08%     10.08%
         2.9           3          0.56649739    0.000415268       0.50372825    0.000369160       0.62360405    0.000457682       -11.08%     10.08%
           3         3.1          0.58531179    0.000421757       0.52046409    0.000374880       0.64430668    0.000464890       -11.08%     10.08%
         3.1         3.2          0.49648864    0.000480671       0.44151900    0.000428506       0.54648733    0.000528500       -11.07%     10.07%
         3.2         3.3          0.27216040    0.000300701       0.24207149    0.000267338       0.29951253    0.000331384       -11.06%     10.05%
         3.3         3.4          0.17567111    0.000247339       0.15628912    0.000219957       0.19328018    0.000272500       -11.03%     10.02%
         3.4         3.5          0.11921072    0.000209518       0.10609464    0.000186451       0.13111885    0.000230677       -11.00%      9.99%
         3.5         3.6         0.081526345    0.000176762      0.072560848    0.000157258      0.089663595    0.000194672       -11.00%      9.98%
         3.6         3.7         0.055886365    0.000154104      0.049764306    0.000137305      0.061438059    0.000169479       -10.95%      9.93%
         3.7         3.8         0.038273997    0.000129285      0.034087061    0.000115129      0.042069192    0.000142253       -10.94%      9.92%
         3.8         3.9         0.025807393    0.000106919      0.022985933    9.51359e-05      0.028364090    0.000117758       -10.93%      9.91%
         3.9           4         0.017278263    8.80505e-05      0.015394883    7.84281e-05      0.018983670    9.68707e-05       -10.90%      9.87%
           4         4.1         0.010990385    7.31615e-05     0.0098017380    6.52529e-05      0.012065025    8.03799e-05       -10.82%      9.78%
         4.1         4.2        0.0070556150    5.76854e-05     0.0062958837    5.14867e-05     0.0077418600    6.33283e-05       -10.77%      9.73%
         4.2         4.3        0.0044015398    4.66594e-05     0.0039244723    4.15500e-05     0.0048328607    5.13496e-05       -10.84%      9.80%
         4.3         4.4        0.0028146747    3.92584e-05     0.0025139642    3.50217e-05     0.0030857955    4.31239e-05       -10.68%      9.63%
         4.4         4.5        0.0015176424    3.07226e-05     0.0013559670    2.74701e-05     0.0016633315    3.36720e-05       -10.65%      9.60%
         4.5         4.6       0.00089328106    2.40379e-05    0.00079845528    2.15148e-05    0.00097867353    2.63225e-05       -10.62%      9.56%
         4.6         4.7       0.00046926517    1.52379e-05    0.00041973105    1.36351e-05    0.00051381451    1.66898e-05       -10.56%      9.49%
         4.7         4.8       0.00024363892    1.17992e-05    0.00021834477    1.05852e-05    0.00026631984    1.28910e-05       -10.38%      9.31%
         4.8         4.9       0.00011581240    8.37714e-06    0.00010374366    7.51924e-06    0.00012663626    9.14818e-06       -10.42%      9.35%
         4.9           5       5.2103096e-05    5.82387e-06    4.6470143e-05    5.21415e-06    5.7186223e-05    6.37825e-06       -10.81%      9.76%
           5         5.1       1.4120320e-05    2.36726e-06    1.2696555e-05    2.12743e-06    1.5389733e-05    2.58125e-06       -10.08%      8.99%
         5.1         5.2       3.5415080e-06    1.30528e-06    3.1853768e-06    1.17386e-06    3.8590801e-06    1.42258e-06       -10.06%      8.97%
