#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5       0.00046538847    1.86432e-06    0.00041378557    1.65696e-06    0.00051229050    2.05483e-06       -11.09%     10.08%
           5          10        0.0016048079    3.46471e-06     0.0014266044    3.07899e-06     0.0017668386    3.81904e-06       -11.10%     10.10%
          10          15        0.0034076306    5.08343e-06     0.0030259989    4.51097e-06     0.0037551852    5.61081e-06       -11.20%     10.20%
          15          20        0.0059541517    6.63142e-06     0.0052856285    5.88240e-06     0.0065633574    7.32210e-06       -11.23%     10.23%
          20          25        0.0093462740    8.05370e-06     0.0082965152    7.14216e-06      0.010303117    8.89484e-06       -11.23%     10.24%
          25          30         0.013470205    1.14245e-05      0.011956766    1.01872e-05      0.014849990    1.25588e-05       -11.24%     10.24%
          30          35         0.017894791    1.04360e-05      0.015884670    9.25884e-06      0.019727662    1.15218e-05       -11.23%     10.24%
          35          40         0.021095974    1.20794e-05      0.018729404    1.07318e-05      0.023253711    1.33202e-05       -11.22%     10.23%
          40          45         0.019986821    1.05776e-05      0.017758006    9.39759e-06      0.022017000    1.16636e-05       -11.15%     10.16%
          45          50         0.018130591    9.95516e-06      0.016121776    8.85353e-06      0.019958436    1.09678e-05       -11.08%     10.08%
          50          55         0.014382805    8.82569e-06      0.012807135    7.86172e-06      0.015813838    9.70989e-06       -10.96%      9.95%
          55          60        0.0079626581    6.59535e-06     0.0071114534    5.89440e-06     0.0087323611    7.23554e-06       -10.69%      9.67%
          60          65        0.0039205991    4.72419e-06     0.0035113292    4.23540e-06     0.0042891304    5.16860e-06       -10.44%      9.40%
          65          70        0.0017295422    1.13492e-05     0.0015517589    1.02922e-05     0.0018892105    1.22936e-05       -10.28%      9.23%
          70          75       0.00051623780    3.95486e-06    0.00046394246    3.58082e-06    0.00056308602    4.29025e-06       -10.13%      9.07%
          75          80       5.4576680e-05    7.06400e-07    4.9143829e-05    6.37602e-07    5.9428641e-05    7.68289e-07        -9.95%      8.89%
          80          85                   0              0                0              0                0              0            0%         0%
          85          90                   0              0                0              0                0              0            0%         0%
          90          95                   0              0                0              0                0              0            0%         0%
          95         100                   0              0                0              0                0              0            0%         0%
         100         105                   0              0                0              0                0              0            0%         0%
         105         110                   0              0                0              0                0              0            0%         0%
         110         115                   0              0                0              0                0              0            0%         0%
         115         120                   0              0                0              0                0              0            0%         0%
         120         125                   0              0                0              0                0              0            0%         0%
         125         130                   0              0                0              0                0              0            0%         0%
         130         135                   0              0                0              0                0              0            0%         0%
         135         140                   0              0                0              0                0              0            0%         0%
         140         145                   0              0                0              0                0              0            0%         0%
         145         150                   0              0                0              0                0              0            0%         0%
         150         155                   0              0                0              0                0              0            0%         0%
         155         160                   0              0                0              0                0              0            0%         0%
         160         165                   0              0                0              0                0              0            0%         0%
         165         170                   0              0                0              0                0              0            0%         0%
         170         175                   0              0                0              0                0              0            0%         0%
         175         180                   0              0                0              0                0              0            0%         0%
         180         185                   0              0                0              0                0              0            0%         0%
         185         190                   0              0                0              0                0              0            0%         0%
         190         195                   0              0                0              0                0              0            0%         0%
         195         200                   0              0                0              0                0              0            0%         0%
         200         205                   0              0                0              0                0              0            0%         0%
         205         210                   0              0                0              0                0              0            0%         0%
         210         215                   0              0                0              0                0              0            0%         0%
         215         220                   0              0                0              0                0              0            0%         0%
         220         225                   0              0                0              0                0              0            0%         0%
         225         230                   0              0                0              0                0              0            0%         0%
         230         235                   0              0                0              0                0              0            0%         0%
         235         240                   0              0                0              0                0              0            0%         0%
         240         245                   0              0                0              0                0              0            0%         0%
         245         250                   0              0                0              0                0              0            0%         0%
         250         255                   0              0                0              0                0              0            0%         0%
         255         260                   0              0                0              0                0              0            0%         0%
         260         265                   0              0                0              0                0              0            0%         0%
         265         270                   0              0                0              0                0              0            0%         0%
         270         275                   0              0                0              0                0              0            0%         0%
         275         280                   0              0                0              0                0              0            0%         0%
         280         285                   0              0                0              0                0              0            0%         0%
