#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0        0.15          0.60050967    0.000950728       0.58160922    0.000872611       0.61329095     0.00102235        -3.15%      2.13%
        0.15         0.3          0.60210946     0.00126342       0.58318463     0.00113963       0.61512998     0.00134077        -3.14%      2.16%
         0.3        0.45          0.59328676     0.00119604       0.57488373     0.00108176       0.60596924     0.00127080        -3.10%      2.14%
        0.45         0.6          0.58283807     0.00106002       0.56496352    0.000969777       0.59510020     0.00114777        -3.07%      2.10%
         0.6        0.75          0.57216439     0.00116184       0.55443989     0.00105263       0.58455749     0.00123653        -3.10%      2.17%
        0.75         0.9          0.55613585     0.00107855       0.53882989    0.000990603       0.56824953     0.00117265        -3.11%      2.18%
         0.9        1.05          0.52870350     0.00106891       0.51259030    0.000994928       0.54052889     0.00115661        -3.05%      2.24%
        1.05         1.2          0.48907348     0.00100830       0.47395007    0.000926834       0.49994858     0.00109115        -3.09%      2.22%
         1.2        1.35          0.44265716    0.000951682       0.42891282    0.000878810       0.45300910     0.00103340        -3.10%      2.34%
        1.35         1.5          0.38326062    0.000939923       0.37148218    0.000860080       0.39251969     0.00101460        -3.07%      2.42%
         1.5        1.65          0.31117931    0.000840307       0.30186305    0.000774557       0.31898027    0.000913666        -2.99%      2.51%
        1.65         1.8          0.23438847    0.000777673       0.22743212    0.000715908       0.24061520    0.000849304        -2.97%      2.66%
         1.8        1.95          0.15686250    0.000694205       0.15207532    0.000644410       0.16124554    0.000753731        -3.05%      2.79%
        1.95         2.1         0.084000838    0.000568624      0.081532339    0.000528295      0.086570642    0.000622771        -2.94%      3.06%
         2.1        2.25         0.030314607    0.000397723      0.029425565    0.000370542      0.031372731    0.000433691        -2.93%      3.49%
        2.25         2.4        0.0038037387    0.000490893     0.0035723859    0.000444923     0.0039970551    0.000532263        -6.08%      5.08%
         2.4        2.55       2.3810969e-06    1.27326e-06    2.2010437e-06    1.16312e-06    2.5318962e-06    1.37000e-06        -7.56%      6.33%
        2.55         2.7                   0              0                0              0                0              0            0%         0%
         2.7        2.85                   0              0                0              0                0              0            0%         0%
        2.85           3                   0              0                0              0                0              0            0%         0%
           3        3.15                   0              0                0              0                0              0            0%         0%
        3.15         3.3                   0              0                0              0                0              0            0%         0%
         3.3        3.45                   0              0                0              0                0              0            0%         0%
        3.45         3.6                   0              0                0              0                0              0            0%         0%
         3.6        3.75                   0              0                0              0                0              0            0%         0%
        3.75         3.9                   0              0                0              0                0              0            0%         0%
         3.9        4.05                   0              0                0              0                0              0            0%         0%
        4.05         4.2                   0              0                0              0                0              0            0%         0%
         4.2        4.35                   0              0                0              0                0              0            0%         0%
        4.35         4.5                   0              0                0              0                0              0            0%         0%
         4.5        4.65                   0              0                0              0                0              0            0%         0%
        4.65         4.8                   0              0                0              0                0              0            0%         0%
         4.8        4.95                   0              0                0              0                0              0            0%         0%
        4.95         5.1                   0              0                0              0                0              0            0%         0%
         5.1        5.25                   0              0                0              0                0              0            0%         0%
        5.25         5.4                   0              0                0              0                0              0            0%         0%
         5.4        5.55                   0              0                0              0                0              0            0%         0%
        5.55         5.7                   0              0                0              0                0              0            0%         0%
         5.7        5.85                   0              0                0              0                0              0            0%         0%
        5.85           6                   0              0                0              0                0              0            0%         0%
           6        6.15                   0              0                0              0                0              0            0%         0%
        6.15         6.3                   0              0                0              0                0              0            0%         0%
         6.3        6.45                   0              0                0              0                0              0            0%         0%
        6.45         6.6                   0              0                0              0                0              0            0%         0%
         6.6        6.75                   0              0                0              0                0              0            0%         0%
        6.75         6.9                   0              0                0              0                0              0            0%         0%
         6.9        7.05                   0              0                0              0                0              0            0%         0%
        7.05         7.2                   0              0                0              0                0              0            0%         0%
         7.2        7.35                   0              0                0              0                0              0            0%         0%
        7.35         7.5                   0              0                0              0                0              0            0%         0%
         7.5        7.65                   0              0                0              0                0              0            0%         0%
        7.65         7.8                   0              0                0              0                0              0            0%         0%
         7.8        7.95                   0              0                0              0                0              0            0%         0%
        7.95         8.1                   0              0                0              0                0              0            0%         0%
         8.1        8.25                   0              0                0              0                0              0            0%         0%
        8.25         8.4                   0              0                0              0                0              0            0%         0%
         8.4        8.55                   0              0                0              0                0              0            0%         0%
        8.55         8.7                   0              0                0              0                0              0            0%         0%
         8.7        8.85                   0              0                0              0                0              0            0%         0%
        8.85           9                   0              0                0              0                0              0            0%         0%
