#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           2                   0              0                0              0                0              0            0%         0%
           2           4                   0              0                0              0                0              0            0%         0%
           4           6                   0              0                0              0                0              0            0%         0%
           6           8                   0              0                0              0                0              0            0%         0%
           8          10                   0              0                0              0                0              0            0%         0%
          10          12                   0              0                0              0                0              0            0%         0%
          12          14                   0              0                0              0                0              0            0%         0%
          14          16                   0              0                0              0                0              0            0%         0%
          16          18                   0              0                0              0                0              0            0%         0%
          18          20                   0              0                0              0                0              0            0%         0%
          20          22                   0              0                0              0                0              0            0%         0%
          22          24                   0              0                0              0                0              0            0%         0%
          24          26                   0              0                0              0                0              0            0%         0%
          26          28                   0              0                0              0                0              0            0%         0%
          28          30                   0              0                0              0                0              0            0%         0%
          30          32                   0              0                0              0                0              0            0%         0%
          32          34                   0              0                0              0                0              0            0%         0%
          34          36                   0              0                0              0                0              0            0%         0%
          36          38                   0              0                0              0                0              0            0%         0%
          38          40                   0              0                0              0                0              0            0%         0%
          40          42        0.0099559750    5.76585e-05     0.0096097765    5.33681e-05      0.010193052    6.19075e-05        -3.48%      2.38%
          42          44        0.0086900620    3.81064e-05     0.0083809243    3.52695e-05     0.0089049176    4.10258e-05        -3.56%      2.47%
          44          46        0.0078170109    3.45466e-05     0.0075294679    3.20747e-05     0.0080200086    3.70931e-05        -3.68%      2.60%
          46          48        0.0070248033    3.17891e-05     0.0067595542    2.95051e-05     0.0072127524    3.41191e-05        -3.78%      2.68%
          48          50        0.0063373132    2.88427e-05     0.0060847427    2.65665e-05     0.0065197905    3.11561e-05        -3.99%      2.88%
          50          52        0.0058150972    3.66348e-05     0.0055809285    3.34387e-05     0.0059846814    3.96916e-05        -4.03%      2.92%
          52          54        0.0052366821    3.08407e-05     0.0050288540    2.77153e-05     0.0053855428    3.39304e-05        -3.97%      2.84%
          54          56        0.0048170608    2.50630e-05     0.0046257289    2.34175e-05     0.0049534422    2.67883e-05        -3.97%      2.83%
          56          58        0.0045257435    2.23269e-05     0.0043380040    2.03503e-05     0.0046609856    2.43592e-05        -4.15%      2.99%
          58          60        0.0042480828    2.52279e-05     0.0040683230    2.27869e-05     0.0043777271    2.76330e-05        -4.23%      3.05%
          60          62        0.0039553250    3.24428e-05     0.0037908123    2.90603e-05     0.0040724102    3.56775e-05        -4.16%      2.96%
          62          64        0.0037270341    2.18268e-05     0.0035720920    1.97672e-05     0.0038364767    2.39078e-05        -4.16%      2.94%
          64          66        0.0035433364    2.29749e-05     0.0033928917    2.05360e-05     0.0036495790    2.53852e-05        -4.25%      3.00%
          66          68        0.0034229128    2.36661e-05     0.0032759867    2.11393e-05     0.0035271789    2.61527e-05        -4.29%      3.05%
          68          70        0.0034224732    3.64856e-05     0.0032772517    3.22062e-05     0.0035244157    4.05304e-05        -4.24%      2.98%
          70          72        0.0035477947    1.85215e-05     0.0033956392    1.66629e-05     0.0036544378    2.04349e-05        -4.29%      3.01%
          72          74        0.0037995878    1.89284e-05     0.0036322351    1.70138e-05     0.0039186538    2.08779e-05        -4.40%      3.13%
          74          76        0.0041727931    3.21590e-05     0.0039838414    2.87576e-05     0.0043100192    3.54637e-05        -4.53%      3.29%
          76          78        0.0045191591    2.65196e-05     0.0043102035    2.36217e-05     0.0046719349    2.93363e-05        -4.62%      3.38%
          78          80        0.0052481860    3.65810e-05     0.0049971628    3.23653e-05     0.0054350968    4.05982e-05        -4.78%      3.56%
          80          82        0.0062969270    2.74344e-05     0.0059983271    2.46549e-05     0.0065197046    3.01987e-05        -4.74%      3.54%
          82          84        0.0081326277    3.48422e-05     0.0077445397    3.13257e-05     0.0084245195    3.83153e-05        -4.77%      3.59%
          84          86         0.011670339    5.84167e-05      0.011142392    5.18313e-05      0.012062877    6.47091e-05        -4.52%      3.36%
          86          88         0.020700547    5.20564e-05      0.019847470    4.70339e-05      0.021313945    5.70552e-05        -4.12%      2.96%
          88          90         0.054919281    8.15258e-05      0.053067044    7.40452e-05      0.056150824    8.90390e-05        -3.37%      2.24%
          90          92          0.14805519    0.000138809       0.14437031    0.000127760       0.15159905    0.000146800        -2.49%      2.39%
          92          94         0.062699438    8.94938e-05      0.061285532    8.18622e-05      0.064230496    9.46290e-05        -2.26%      2.44%
          94          96         0.018416724    5.02704e-05      0.017983349    4.58203e-05      0.018852723    5.29707e-05        -2.35%      2.37%
          96          98        0.0085322909    3.75732e-05     0.0083307999    3.43981e-05     0.0087285703    3.95693e-05        -2.36%      2.30%
          98         100        0.0051586025    2.60450e-05     0.0050395032    2.38563e-05     0.0052846366    2.76157e-05        -2.31%      2.44%
         100         102        0.0034698048    2.02931e-05     0.0033853676    1.86383e-05     0.0035520611    2.14888e-05        -2.43%      2.37%
         102         104        0.0024985072    1.82481e-05     0.0024448271    1.68247e-05     0.0025568842    1.95087e-05        -2.15%      2.34%
         104         106        0.0019414281    1.53102e-05     0.0018980614    1.40662e-05     0.0019861256    1.63324e-05        -2.23%      2.30%
         106         108        0.0015465803    1.25682e-05     0.0015120062    1.15322e-05     0.0015828462    1.32002e-05        -2.24%      2.34%
         108         110        0.0012409691    1.11687e-05     0.0012130886    1.02867e-05     0.0012698495    1.18378e-05        -2.25%      2.33%
         110         112        0.0010552467    9.80093e-06     0.0010310502    9.09046e-06     0.0010800663    1.03386e-05        -2.29%      2.35%
         112         114       0.00084168130    1.11222e-05    0.00082453892    1.05123e-05    0.00086147876    1.16806e-05        -2.04%      2.35%
         114         116       0.00071049892    8.03363e-06    0.00069613561    7.43711e-06    0.00072659213    8.43132e-06        -2.02%      2.27%
         116         118       0.00061445929    7.53035e-06    0.00060139139    6.93575e-06    0.00063034020    7.93363e-06        -2.13%      2.58%
         118         120       0.00050121742    6.96310e-06    0.00049012767    6.42331e-06    0.00051387308    7.40553e-06        -2.21%      2.52%
         120         122                   0              0                0              0                0              0            0%         0%
         122         124                   0              0                0              0                0              0            0%         0%
         124         126                   0              0                0              0                0              0            0%         0%
         126         128                   0              0                0              0                0              0            0%         0%
         128         130                   0              0                0              0                0              0            0%         0%
         130         132                   0              0                0              0                0              0            0%         0%
         132         134                   0              0                0              0                0              0            0%         0%
         134         136                   0              0                0              0                0              0            0%         0%
         136         138                   0              0                0              0                0              0            0%         0%
         138         140                   0              0                0              0                0              0            0%         0%
         140         142                   0              0                0              0                0              0            0%         0%
         142         144                   0              0                0              0                0              0            0%         0%
         144         146                   0              0                0              0                0              0            0%         0%
         146         148                   0              0                0              0                0              0            0%         0%
         148         150                   0              0                0              0                0              0            0%         0%
         150         152                   0              0                0              0                0              0            0%         0%
         152         154                   0              0                0              0                0              0            0%         0%
         154         156                   0              0                0              0                0              0            0%         0%
         156         158                   0              0                0              0                0              0            0%         0%
         158         160                   0              0                0              0                0              0            0%         0%
         160         162                   0              0                0              0                0              0            0%         0%
         162         164                   0              0                0              0                0              0            0%         0%
         164         166                   0              0                0              0                0              0            0%         0%
         166         168                   0              0                0              0                0              0            0%         0%
         168         170                   0              0                0              0                0              0            0%         0%
         170         172                   0              0                0              0                0              0            0%         0%
         172         174                   0              0                0              0                0              0            0%         0%
         174         176                   0              0                0              0                0              0            0%         0%
         176         178                   0              0                0              0                0              0            0%         0%
         178         180                   0              0                0              0                0              0            0%         0%
         180         182                   0              0                0              0                0              0            0%         0%
         182         184                   0              0                0              0                0              0            0%         0%
         184         186                   0              0                0              0                0              0            0%         0%
         186         188                   0              0                0              0                0              0            0%         0%
         188         190                   0              0                0              0                0              0            0%         0%
         190         192                   0              0                0              0                0              0            0%         0%
         192         194                   0              0                0              0                0              0            0%         0%
         194         196                   0              0                0              0                0              0            0%         0%
         196         198                   0              0                0              0                0              0            0%         0%
         198         200                   0              0                0              0                0              0            0%         0%
