#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5       0.00098898017    1.56110e-05    0.00094984211    1.42462e-05     0.0010377891    1.73265e-05        -3.96%      4.94%
           5          10        0.0029270847    3.22338e-05     0.0028265957    3.01224e-05     0.0030524042    3.49158e-05        -3.43%      4.28%
          10          15        0.0053756940    3.56980e-05     0.0052251394    3.33200e-05     0.0055557155    3.92590e-05        -2.80%      3.35%
          15          20        0.0087051629    4.37335e-05     0.0084621167    4.05902e-05     0.0089546824    4.83512e-05        -2.79%      2.87%
          20          25         0.012629196    5.43019e-05      0.012302671    5.05577e-05      0.012918475    5.99561e-05        -2.59%      2.29%
          25          30         0.016848526    6.28466e-05      0.016441025    5.84704e-05      0.017130752    6.90017e-05        -2.42%      1.68%
          30          35         0.020839360    6.34132e-05      0.020379555    5.88245e-05      0.021070642    6.99318e-05        -2.21%      1.11%
          35          40         0.023305300    6.64412e-05      0.022853628    6.17246e-05      0.023588704    6.49997e-05        -1.94%      1.22%
          40          45         0.023204583    6.52117e-05      0.022691250    6.02419e-05      0.023475640    7.22594e-05        -2.21%      1.17%
          45          50         0.021173132    6.58708e-05      0.020694265    6.12294e-05      0.021439535    7.25065e-05        -2.26%      1.26%
          50          55         0.017110358    5.61298e-05      0.016723684    5.22724e-05      0.017355583    6.23349e-05        -2.26%      1.43%
          55          60         0.012229058    4.54578e-05      0.011828519    4.22934e-05      0.012671343    5.05212e-05        -3.28%      3.62%
          60          65        0.0081275152    3.87209e-05     0.0077677173    3.53340e-05     0.0085762179    4.29749e-05        -4.43%      5.52%
          65          70        0.0053246526    3.58649e-05     0.0050119318    3.29991e-05     0.0057146457    3.94950e-05        -5.87%      7.32%
          70          75        0.0041443993    3.60310e-05     0.0038195338    3.27502e-05     0.0045495380    4.01354e-05        -7.84%      9.78%
          75          80        0.0088981244    0.000153857     0.0080492003    0.000138877     0.0099568147    0.000172540        -9.54%     11.90%
          80          85        0.0011376517    6.28686e-06     0.0010449963    5.90099e-06     0.0012532019    6.78795e-06        -8.14%     10.16%
          85          90       0.00080447116    5.23567e-06    0.00073800029    4.90119e-06    0.00088736674    5.66884e-06        -8.26%     10.30%
          90          95       0.00056543252    4.31463e-06    0.00051522123    3.99849e-06    0.00062805085    4.71988e-06        -8.88%     11.07%
          95         100       0.00041340667    3.79112e-06    0.00037515001    3.49560e-06    0.00046111641    4.16802e-06        -9.25%     11.54%
         100         105       0.00031713342    3.09257e-06    0.00028713692    2.82757e-06    0.00035454195    3.42777e-06        -9.46%     11.80%
         105         110       0.00024622967    3.53232e-06    0.00022244334    3.19570e-06    0.00027589350    3.95379e-06        -9.66%     12.05%
         110         115       0.00019539508    2.47541e-06    0.00017664604    2.26152e-06    0.00021877693    2.74574e-06        -9.60%     11.97%
         115         120       0.00014944965    2.08655e-06    0.00013483134    1.88479e-06    0.00016768010    2.33880e-06        -9.78%     12.20%
         120         125       0.00012711442    2.83784e-06    0.00011471659    2.56335e-06    0.00014257571    3.18100e-06        -9.75%     12.16%
         125         130       0.00010848424    2.23184e-06    9.7905055e-05    2.01723e-06    0.00012167750    2.50030e-06        -9.75%     12.16%
         130         135       8.7313083e-05    1.48924e-06    7.8744868e-05    1.34454e-06    9.7998474e-05    1.67005e-06        -9.81%     12.24%
         135         140       6.7652021e-05    1.19853e-06    6.0995893e-05    1.08147e-06    7.5952855e-05    1.34472e-06        -9.84%     12.27%
         140         145       5.9113359e-05    1.71616e-06    5.3342917e-05    1.56485e-06    6.6290014e-05    1.92294e-06        -9.76%     12.14%
         145         150       5.1681498e-05    1.47198e-06    4.6365757e-05    1.32312e-06    5.7987748e-05    1.64814e-06       -10.29%     12.20%
         150         155       4.2009916e-05    1.03990e-06    3.7707913e-05    9.37031e-07    4.7152341e-05    1.16567e-06       -10.24%     12.24%
         155         160       3.3211093e-05    8.05976e-07    2.9701870e-05    7.23095e-07    3.7307378e-05    9.05476e-07       -10.57%     12.33%
         160         165       3.1044768e-05    1.35854e-06    2.7731761e-05    1.22647e-06    3.4876927e-05    1.51155e-06       -10.67%     12.34%
         165         170       2.5785948e-05    8.92169e-07    2.2902131e-05    7.91145e-07    2.9175901e-05    1.01369e-06       -11.18%     13.15%
         170         175       2.4385936e-05    1.40115e-06    2.1638654e-05    1.22501e-06    2.7624645e-05    1.61757e-06       -11.27%     13.28%
         175         180       1.9354202e-05    7.47393e-07    1.7190643e-05    6.66809e-07    2.1901364e-05    8.44939e-07       -11.18%     13.16%
         180         185       1.5722975e-05    5.31124e-07    1.3895538e-05    4.69773e-07    1.7882595e-05    6.03813e-07       -11.62%     13.74%
         185         190       1.1986861e-05    6.07096e-07    1.0536602e-05    5.37216e-07    1.3709085e-05    6.89248e-07       -12.10%     14.37%
         190         195       1.1529336e-05    5.56915e-07    1.0173552e-05    4.91540e-07    1.3137593e-05    6.34618e-07       -11.76%     13.95%
         195         200       1.0096768e-05    4.39046e-07    8.8730274e-06    3.83523e-07    1.1560199e-05    5.06387e-07       -12.12%     14.49%
         200         205       1.0598754e-05    1.28988e-06    9.3222541e-06    1.14148e-06    1.2115592e-05    1.46194e-06       -12.04%     14.31%
         205         210       9.9324491e-06    8.40842e-07    8.7188136e-06    7.42821e-07    1.1370599e-05    9.52614e-07       -12.22%     14.48%
         210         215       6.6057715e-06    3.12477e-07    5.7854582e-06    2.74430e-07    7.5925535e-06    3.58096e-07       -12.42%     14.94%
         215         220       7.7490575e-06    5.69994e-07    6.7955205e-06    4.99177e-07    8.8947153e-06    6.54265e-07       -12.31%     14.78%
         220         225       5.9052908e-06    3.62495e-07    5.1524830e-06    3.15447e-07    6.8204754e-06    4.20077e-07       -12.75%     15.50%
         225         230       5.1634267e-06    4.85496e-07    4.4843147e-06    4.16421e-07    5.9987653e-06    5.72905e-07       -13.15%     16.18%
         230         235       1.0206035e-05    3.97827e-06    8.9031092e-06    3.47859e-06    1.1768186e-05    4.56833e-06       -12.77%     15.31%
         235         240       3.9636926e-06    4.58612e-07    3.4535958e-06    3.99789e-07    4.5819697e-06    5.28943e-07       -12.87%     15.60%
         240         245       3.5965201e-06    4.15199e-07    3.1124139e-06    3.53666e-07    4.1931595e-06    4.92378e-07       -13.46%     16.59%
         245         250       3.0144422e-06    3.23127e-07    2.6082589e-06    2.75416e-07    3.5125734e-06    3.82895e-07       -13.47%     16.52%
         250         255       3.1059024e-06    2.73046e-07    2.6899027e-06    2.39391e-07    3.6175959e-06    3.14110e-07       -13.39%     16.47%
         255         260       3.1815437e-06    3.59255e-07    2.7433585e-06    3.10766e-07    3.7245283e-06    4.19498e-07       -13.77%     17.07%
         260         265       2.1109552e-06    2.55201e-07    1.8225098e-06    2.20007e-07    2.4671594e-06    2.99045e-07       -13.66%     16.87%
         265         270       2.6999545e-06    3.96076e-07    2.3188342e-06    3.39532e-07    3.1717801e-06    4.65378e-07       -14.12%     17.48%
         270         275       1.7465730e-06    1.64101e-07    1.4947913e-06    1.39363e-07    2.0632459e-06    1.96044e-07       -14.42%     18.13%
         275         280       1.7872169e-06    1.74993e-07    1.5412619e-06    1.52134e-07    2.0927239e-06    2.03137e-07       -13.76%     17.09%
         280         285       2.2647152e-06    3.30216e-07    1.9110027e-06    2.75484e-07    2.7177988e-06    4.01665e-07       -15.62%     20.01%
