#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5          0.71058017     0.00251273       0.68739589     0.00224811       0.72981721     0.00270111        -3.26%      2.71%
           5          10          0.68546982     0.00158140       0.66199891     0.00140039       0.70861082     0.00166608        -3.42%      3.38%
          10          15          0.35138290     0.00240943       0.33920122     0.00199071       0.36331463     0.00268584        -3.47%      3.40%
          15          20          0.24866572     0.00107977       0.24045402    0.000911130       0.25603182     0.00118612        -3.30%      2.96%
          20          25          0.19271667    0.000807194       0.18583571    0.000692805       0.19821543    0.000877244        -3.57%      2.85%
          25          30          0.15339056    0.000617415       0.14824767    0.000536669       0.15739942    0.000654402        -3.35%      2.61%
          30          35          0.14393837    0.000573162       0.13921006    0.000503533       0.14723060    0.000606090        -3.28%      2.29%
          35          40          0.16730430    0.000665065       0.16177125    0.000583880       0.17041343    0.000703309        -3.31%      1.86%
          40          45          0.19817248    0.000744413       0.19207075    0.000656150       0.20154926    0.000778461        -3.08%      1.70%
          45          50          0.24022417    0.000827325       0.23299612    0.000728742       0.24406515    0.000865893        -3.01%      1.60%
          50          55          0.28891039     0.00100802       0.28063497    0.000884623       0.29344623     0.00106372        -2.86%      1.57%
          55          60          0.34252434     0.00110642       0.33293877    0.000973238       0.34787581     0.00116483        -2.80%      1.56%
          60          65          0.39200705     0.00140181       0.38167552     0.00123267       0.39820310     0.00146826        -2.64%      1.58%
          65          70          0.42549601     0.00224232       0.41500607     0.00200156       0.43265759     0.00244514        -2.47%      1.68%
          70          75          0.41232432     0.00157459       0.40237394     0.00139353       0.42069058     0.00164884        -2.41%      2.03%
          75          80          0.30017053     0.00142500       0.29196117     0.00126597       0.30922020     0.00151026        -2.73%      3.01%
          80          85          0.23476121    0.000803499       0.22721962    0.000738741       0.24340107    0.000854279        -3.21%      3.68%
          85          90          0.94078805     0.00148154       0.91601440     0.00143124       0.97168318     0.00154889        -2.63%      3.28%
          90          95           2.7563362     0.00283988        2.6740931     0.00273246        2.8589011     0.00298310        -2.98%      3.72%
          95         100          0.26337285    0.000893226       0.25576273    0.000850279       0.27286339    0.000949826        -2.89%      3.60%
         100         105         0.088588352    0.000457938      0.086120837    0.000433060      0.091665581    0.000490496        -2.79%      3.47%
         105         110         0.047706114    0.000353515      0.046339925    0.000335627      0.049409884    0.000377024        -2.86%      3.57%
         110         115         0.030073382    0.000280314      0.029250771    0.000270311      0.031099257    0.000293683        -2.74%      3.41%
         115         120         0.022996165    0.000472608      0.022302452    0.000430703      0.023861291    0.000525445        -3.02%      3.76%
         120         125         0.017571118    0.000157293      0.017114552    0.000151791      0.018140498    0.000164651        -2.60%      3.24%
         125         130         0.013655119    0.000146008      0.013281855    0.000139355      0.014120615    0.000154801        -2.73%      3.41%
         130         135         0.011150069    0.000131453      0.010863445    0.000124492      0.011507518    0.000140577        -2.57%      3.21%
         135         140        0.0094926102    0.000112287     0.0092518284    0.000108538     0.0097928882    0.000117310        -2.54%      3.16%
         140         145        0.0083732610    0.000108707     0.0081561143    0.000106441     0.0086440639    0.000111788        -2.59%      3.23%
         145         150        0.0072062746    9.36239e-05     0.0070089295    9.02083e-05     0.0074523830    9.81845e-05        -2.74%      3.42%
         150         155        0.0064879989    9.32765e-05     0.0063171385    8.85897e-05     0.0067011563    9.61829e-05        -2.63%      3.29%
         155         160        0.0058326869    8.58790e-05     0.0056826180    8.38898e-05     0.0060198373    8.85758e-05        -2.57%      3.21%
         160         165        0.0051159557    8.36555e-05     0.0049885767    7.91933e-05     0.0052782845    8.73884e-05        -2.49%      3.17%
         165         170        0.0045804293    5.87074e-05     0.0044641292    5.64560e-05     0.0047304645    6.33291e-05        -2.54%      3.28%
         170         175        0.0042164566    8.17521e-05     0.0041170867    7.87787e-05     0.0043403805    8.57226e-05        -2.36%      2.94%
         175         180        0.0037124279    7.05853e-05     0.0036195151    6.60436e-05     0.0038310774    7.90714e-05        -2.50%      3.20%
         180         185        0.0034047306    4.55545e-05     0.0033202041    4.40186e-05     0.0035197288    4.72987e-05        -2.48%      3.38%
         185         190        0.0031792385    0.000130846     0.0030885150    0.000119677     0.0032923795    0.000144979        -2.85%      3.56%
         190         195        0.0029004625    5.62509e-05     0.0028344283    5.39200e-05     0.0029840121    5.79980e-05        -2.28%      2.88%
         195         200        0.0026769342    5.32744e-05     0.0026026256    5.08562e-05     0.0027696042    5.64710e-05        -2.78%      3.46%
         200         205        0.0023888434    4.57219e-05     0.0023264178    4.41114e-05     0.0024813456    4.76294e-05        -2.61%      3.87%
         205         210        0.0021922649    4.08093e-05     0.0021368314    3.92286e-05     0.0022777050    4.29363e-05        -2.53%      3.90%
         210         215        0.0022412251    4.48894e-05     0.0021820403    4.21640e-05     0.0023190174    4.75063e-05        -2.64%      3.47%
         215         220        0.0019529420    3.49701e-05     0.0019020337    3.47845e-05     0.0020306020    3.54832e-05        -2.61%      3.98%
         220         225        0.0019846383    4.27488e-05     0.0019319775    4.15199e-05     0.0020585133    4.36407e-05        -2.65%      3.72%
         225         230        0.0017344245    4.97112e-05     0.0016849017    4.80045e-05     0.0018075330    5.20530e-05        -2.86%      4.22%
         230         235        0.0015699215    3.92132e-05     0.0015338316    3.82396e-05     0.0016195817    3.97557e-05        -2.30%      3.16%
         235         240        0.0014761357    4.62915e-05     0.0014350663    4.39828e-05     0.0015384004    4.88549e-05        -2.78%      4.22%
         240         245        0.0014172126    2.98484e-05     0.0013849879    2.89031e-05     0.0014632064    3.10224e-05        -2.27%      3.25%
         245         250        0.0013861715    3.15889e-05     0.0013512792    3.03491e-05     0.0014410827    3.36163e-05        -2.52%      3.96%
         250         255        0.0012501624    3.04513e-05     0.0012158526    2.91140e-05     0.0013004181    3.23910e-05        -2.74%      4.02%
         255         260        0.0011060228    4.80949e-05     0.0010765123    4.49762e-05     0.0011537249    5.17638e-05        -2.67%      4.31%
         260         265        0.0010995890    2.62839e-05     0.0010732969    2.54468e-05     0.0011405482    2.74482e-05        -2.39%      3.72%
         265         270        0.0010676151    2.89332e-05     0.0010405130    2.79702e-05     0.0011079889    3.01814e-05        -2.54%      3.78%
         270         275       0.00097435162    2.49211e-05    0.00094728916    2.35140e-05     0.0010156001    2.70288e-05        -2.78%      4.23%
         275         280       0.00084374834    2.60867e-05    0.00082419566    2.50124e-05    0.00087566564    2.73725e-05        -2.32%      3.78%
         280         285       0.00092366081    2.47168e-05    0.00089656779    2.33067e-05    0.00096391979    2.73268e-05        -2.93%      4.36%
         285         290       0.00069696529    7.74018e-05    0.00067690408    7.97592e-05    0.00072832641    7.44034e-05        -2.88%      4.50%
         290         295       0.00083799538    3.56839e-05    0.00081573277    3.52944e-05    0.00087164458    3.62856e-05        -2.66%      4.02%
         295         300       0.00078445335    3.28475e-05    0.00076293913    3.25452e-05    0.00081574530    3.33326e-05        -2.74%      3.99%
         300         305       0.00070905628    3.22124e-05    0.00069451759    3.14572e-05    0.00072945478    3.28638e-05        -2.05%      2.88%
         305         310       0.00064143524    2.69573e-05    0.00062681562    2.60274e-05    0.00065966732    2.82018e-05        -2.28%      2.84%
         310         315       0.00066287373    2.85696e-05    0.00064558936    2.73994e-05    0.00068930672    3.01512e-05        -2.61%      3.99%
         315         320       0.00058872721    2.17516e-05    0.00057396010    2.14928e-05    0.00061157483    2.21142e-05        -2.51%      3.88%
         320         325       0.00059473150    3.33685e-05    0.00057606996    3.16778e-05    0.00062258804    3.53212e-05        -3.14%      4.68%
         325         330       0.00054999562    1.82054e-05    0.00053795873    1.79134e-05    0.00056770546    1.92719e-05        -2.19%      3.22%
         330         335       0.00049642906    1.85461e-05    0.00048497159    1.80274e-05    0.00051451934    1.92765e-05        -2.31%      3.64%
         335         340       0.00054937429    1.87451e-05    0.00053442383    1.82767e-05    0.00057177978    1.94559e-05        -2.72%      4.08%
         340         345       0.00040940491    3.15977e-05    0.00039924275    4.09354e-05    0.00042895561    2.00100e-05        -2.48%      4.78%
         345         350       0.00045910304    2.87353e-05    0.00045135167    2.80989e-05    0.00047080936    2.96866e-05        -1.69%      2.55%
         350         355       0.00039246478    2.28482e-05    0.00038183634    2.25423e-05    0.00040937716    2.33287e-05        -2.71%      4.31%
         355         360       0.00043771253    1.74556e-05    0.00042277656    1.63775e-05    0.00045903029    1.88771e-05        -3.41%      4.87%
         360         365       0.00045539630    1.82041e-05    0.00044524970    1.76240e-05    0.00047119454    1.95293e-05        -2.23%      3.47%
         365         370       0.00047860978    7.01845e-05    0.00046742211    6.82399e-05    0.00049455808    7.19501e-05        -2.34%      3.33%
         370         375       0.00022815982    6.80822e-05    0.00021988905    6.80339e-05    0.00023953898    6.96746e-05        -3.62%      4.99%
         375         380       0.00034203121    2.52571e-05    0.00033382417    2.49309e-05    0.00035422686    2.53433e-05        -2.40%      3.57%
         380         385       0.00034840789    1.38595e-05    0.00034158320    1.34789e-05    0.00035820329    1.47426e-05        -1.96%      2.81%
         385         390       0.00027554612    2.34955e-05    0.00026646422    2.22106e-05    0.00029036518    2.54287e-05        -3.30%      5.38%
         390         395       0.00035590614    2.59467e-05    0.00034755051    2.56062e-05    0.00036825655    2.61553e-05        -2.35%      3.47%
         395         400       0.00047715873    0.000112677    0.00046471486    0.000108300    0.00049352353    0.000116992        -2.61%      3.43%
         400         405       0.00027296128    1.30308e-05    0.00026652405    1.27254e-05    0.00028316780    1.34973e-05        -2.36%      3.74%
         405         410       0.00028090556    1.29458e-05    0.00027292892    1.23325e-05    0.00029328159    1.38018e-05        -2.84%      4.41%
         410         415       0.00029917359    1.38005e-05    0.00029248215    1.32211e-05    0.00030897293    1.46204e-05        -2.24%      3.28%
         415         420       0.00021561312    2.10382e-05    0.00020991596    1.93629e-05    0.00022482482    2.30983e-05        -2.64%      4.27%
         420         425       0.00023640276    1.27446e-05    0.00023103421    1.24272e-05    0.00024417029    1.35974e-05        -2.27%      3.29%
         425         430       0.00026905575    1.39167e-05    0.00026236633    1.33367e-05    0.00027921778    1.48073e-05        -2.49%      3.78%
         430         435       0.00025358113    1.82688e-05    0.00024529944    1.71198e-05    0.00026527305    1.96316e-05        -3.27%      4.61%
         435         440       0.00025676087    1.33232e-05    0.00024768072    1.23791e-05    0.00026970841    1.46881e-05        -3.54%      5.04%
         440         445       0.00020657748    1.72136e-05    0.00019788989    1.64352e-05    0.00021901467    1.81998e-05        -4.21%      6.02%
         445         450       0.00018800618    1.58576e-05    0.00018321535    1.51462e-05    0.00019527309    1.66949e-05        -2.55%      3.87%
         450         455       0.00019779146    1.63288e-05    0.00019340031    1.55663e-05    0.00020424415    1.72340e-05        -2.22%      3.26%
         455         460       0.00017313550    1.42013e-05    0.00016885661    1.39495e-05    0.00017993311    1.45105e-05        -2.47%      3.93%
         460         465       0.00019868496    1.11778e-05    0.00019400741    1.10575e-05    0.00020535176    1.13209e-05        -2.35%      3.36%
         465         470       0.00015559330    1.72051e-05    0.00014960587    1.67628e-05    0.00016452513    1.77003e-05        -3.85%      5.74%
         470         475       0.00018458953    1.41990e-05    0.00018008598    1.39147e-05    0.00019128124    1.47287e-05        -2.44%      3.63%
         475         480       0.00015671348    8.33400e-06    0.00015253457    8.14705e-06    0.00016296268    8.82636e-06        -2.67%      3.99%
         480         485       0.00014189711    1.29557e-05    0.00013610155    1.26483e-05    0.00015003686    1.33461e-05        -4.08%      5.74%
         485         490       0.00013809713    1.03726e-05    0.00013584333    1.02041e-05    0.00014184643    1.11753e-05        -1.63%      2.71%
         490         495       0.00013852327    1.21612e-05    0.00013555885    1.18449e-05    0.00014302221    1.25122e-05        -2.14%      3.25%
         495         500       0.00012159999    1.14763e-05    0.00011683175    1.06996e-05    0.00012904499    1.25327e-05        -3.92%      6.12%
         500         505       0.00013651849    1.19918e-05    0.00013162235    1.12741e-05    0.00014392201    1.30967e-05        -3.59%      5.42%
         505         510       0.00014636134    1.05764e-05    0.00014266896    1.01203e-05    0.00015217296    1.12073e-05        -2.52%      3.97%
         510         515       0.00012402645    1.03375e-05    0.00012124686    1.01949e-05    0.00012852073    1.08995e-05        -2.24%      3.62%
         515         520       0.00014467690    1.07873e-05    0.00013848100    9.65579e-06    0.00015347326    1.23318e-05        -4.28%      6.08%
         520         525       0.00012107977    1.18669e-05    0.00011806725    1.14247e-05    0.00012560776    1.24312e-05        -2.49%      3.74%
         525         530       0.00013547655    1.00235e-05    0.00012945297    9.24131e-06    0.00014353856    1.11021e-05        -4.45%      5.95%
         530         535       0.00011401880    8.79107e-06    0.00011095135    8.20855e-06    0.00011875473    9.59691e-06        -2.69%      4.15%
         535         540       0.00016517586    3.24581e-05    0.00015942142    3.05517e-05    0.00017254457    3.45405e-05        -3.48%      4.46%
         540         545       0.00011486930    6.18445e-06    0.00011107771    5.86048e-06    0.00012022892    6.63286e-06        -3.30%      4.67%
         545         550       0.00012763656    9.33568e-06    0.00012539853    9.05087e-06    0.00013136124    1.05348e-05        -1.75%      2.92%
         550         555       7.8216598e-05    9.58087e-06    7.6457870e-05    9.47651e-06    8.0565895e-05    9.97828e-06        -2.25%      3.00%
         555         560       0.00010316316    7.41769e-06    0.00010014517    6.85730e-06    0.00010757056    8.19076e-06        -2.93%      4.27%
         560         565       8.4858309e-05    8.88372e-06    8.2546448e-05    8.39108e-06    8.8472025e-05    9.53790e-06        -2.72%      4.26%
         565         570       8.8153365e-05    5.71082e-06    8.5430967e-05    5.21206e-06    9.2346605e-05    6.42671e-06        -3.09%      4.76%
         570         575       9.1900929e-05    1.25038e-05    9.0400856e-05    1.19872e-05    9.4276266e-05    1.31493e-05        -1.63%      2.58%
         575         580       7.9405214e-05    1.13387e-05    7.8166305e-05    1.09387e-05    8.1283182e-05    1.18457e-05        -1.56%      2.37%
         580         585       8.2778265e-05    1.05211e-05    7.8355283e-05    1.01675e-05    8.8949583e-05    1.10062e-05        -5.34%      7.46%
         585         590       7.0205432e-05    8.89274e-06    6.9062616e-05    8.50376e-06    7.2242806e-05    9.36071e-06        -1.63%      2.90%
         590         595       9.0934221e-05    8.16945e-06    8.8516675e-05    7.23086e-06    9.4375330e-05    9.50042e-06        -2.66%      3.78%
         595         600       9.1238670e-05    1.42659e-05    8.5754751e-05    1.24994e-05    9.8445828e-05    1.65246e-05        -6.01%      7.90%
         600         605       7.6936090e-05    8.05641e-06    7.3846311e-05    7.73589e-06    8.0997752e-05    8.45129e-06        -4.02%      5.28%
         605         610       7.3830526e-05    5.49882e-06    7.1755576e-05    5.06817e-06    7.7181197e-05    6.16632e-06        -2.81%      4.54%
         610         615       7.1901549e-05    7.04837e-06    6.9264501e-05    6.73551e-06    7.5465106e-05    7.44103e-06        -3.67%      4.96%
         615         620       6.1225950e-05    6.45473e-06    6.0062518e-05    6.38957e-06    6.2938449e-05    6.76056e-06        -1.90%      2.80%
         620         625       7.4387348e-05    5.48411e-06    7.1665603e-05    5.19667e-06    7.7927296e-05    5.87755e-06        -3.66%      4.76%
         625         630       6.1998458e-05    5.89606e-06    6.0885786e-05    5.73635e-06    6.3386066e-05    6.11160e-06        -1.79%      2.24%
         630         635       5.4375252e-05    7.30585e-06    5.2491137e-05    6.56494e-06    5.6919796e-05    8.30853e-06        -3.47%      4.68%
         635         640       4.9185574e-05    8.92607e-06    4.6926450e-05    8.59240e-06    5.2729056e-05    9.41281e-06        -4.59%      7.20%
         640         645       7.1453918e-05    7.17322e-06    6.9446132e-05    6.71611e-06    7.3917732e-05    7.79539e-06        -2.81%      3.45%
         645         650       6.8420739e-05    6.76962e-06    6.5850495e-05    6.35062e-06    7.1883423e-05    7.43825e-06        -3.76%      5.06%
         650         655       4.9152825e-05    4.87965e-06    4.8051660e-05    4.60142e-06    5.0735200e-05    5.26657e-06        -2.24%      3.22%
         655         660       5.4423472e-05    6.79631e-06    5.3322173e-05    6.45158e-06    5.5992677e-05    7.24761e-06        -2.02%      2.88%
         660         665       2.9835951e-05    7.65889e-06    2.8967607e-05    7.59503e-06    3.1331736e-05    8.04676e-06        -2.91%      5.01%
         665         670       5.5185920e-05    5.08274e-06    5.3537205e-05    4.79053e-06    5.7266692e-05    5.47485e-06        -2.99%      3.77%
         670         675       5.6263889e-05    4.49730e-06    5.3784766e-05    4.15427e-06    5.9581084e-05    4.96388e-06        -4.41%      5.90%
         675         680       4.4060293e-05    5.17614e-06    4.2769847e-05    4.85875e-06    4.5867802e-05    5.57256e-06        -2.93%      4.10%
         680         685       5.2167782e-05    1.16565e-05    5.1923036e-05    1.15936e-05    5.2651181e-05    1.13661e-05        -0.47%      0.93%
         685         690       3.0269315e-05    5.32192e-06    2.9729068e-05    5.59891e-06    3.1576724e-05    5.12008e-06        -1.78%      4.32%
         690         695       4.3663584e-05    6.00094e-06    4.1781501e-05    5.16686e-06    4.6491522e-05    7.26706e-06        -4.31%      6.48%
         695         700       5.1604289e-05    5.13199e-06    4.9301739e-05    4.59001e-06    5.4768153e-05    5.92740e-06        -4.46%      6.13%
         700         705       3.8765386e-05    5.01536e-06    3.8191667e-05    4.78183e-06    3.9677026e-05    6.06322e-06        -1.48%      2.35%
         705         710       2.3160136e-05    9.43750e-06    2.1833094e-05    8.80091e-06    2.5388381e-05    1.02340e-05        -5.73%      9.62%
         710         715       4.2307391e-05    5.87622e-06    4.2018048e-05    5.83386e-06    4.2841433e-05    5.62674e-06        -0.68%      1.26%
         715         720       4.9374939e-05    6.83913e-06    4.7252111e-05    6.28773e-06    5.2213890e-05    7.52910e-06        -4.30%      5.75%
         720         725       4.0804758e-05    4.67951e-06    3.9911107e-05    4.40646e-06    4.1959066e-05    5.01398e-06        -2.19%      2.83%
         725         730       2.6111127e-05    1.98144e-05    2.5090968e-05    1.93049e-05    2.7801012e-05    2.02970e-05        -3.91%      6.47%
         730         735       2.2362624e-05    8.26038e-06    2.0504936e-05    9.69943e-06    2.4126806e-05    7.74147e-06        -8.31%      7.89%
         735         740       3.5492459e-05    4.02692e-06    3.3130117e-05    3.52077e-06    3.8768295e-05    4.81222e-06        -6.66%      9.23%
         740         745       3.7704897e-05    3.96688e-06    3.6401801e-05    3.73429e-06    3.9554215e-05    4.26827e-06        -3.46%      4.90%
         745         750       2.6711550e-05    4.01619e-06    2.6364879e-05    4.60992e-06    2.7367285e-05    3.73087e-06        -1.30%      2.45%
         750         755       4.0370566e-05    4.45207e-06    3.9225086e-05    4.10642e-06    4.1764730e-05    4.99065e-06        -2.84%      3.45%
         755         760       4.2778085e-05    8.07087e-06    4.2302789e-05    7.87895e-06    4.3374676e-05    8.26903e-06        -1.11%      1.39%
         760         765       3.0975815e-05    5.64548e-06    2.9065030e-05    5.30193e-06    3.3538691e-05    6.13233e-06        -6.17%      8.27%
         765         770       3.9666515e-05    4.31425e-06    3.6995449e-05    3.92493e-06    4.3157211e-05    4.87198e-06        -6.73%      8.80%
         770         775       3.6791008e-05    4.62989e-06    3.5053029e-05    4.15967e-06    3.9190841e-05    5.27408e-06        -4.72%      6.52%
         775         780       3.2578843e-05    4.41882e-06    3.1821141e-05    4.02030e-06    3.3763246e-05    4.89758e-06        -2.33%      3.64%
         780         785       8.2267971e-06    1.08848e-05    7.7148910e-06    1.14489e-05    9.0621678e-06    1.03488e-05        -6.22%     10.15%
         785         790       2.6244598e-05    1.43720e-05    2.3887410e-05    1.59338e-05    2.8258179e-05    1.31677e-05        -8.98%      7.67%
         790         795       2.7742306e-05    3.82089e-06    2.6486814e-05    3.46324e-06    2.9500335e-05    4.32414e-06        -4.53%      6.34%
         795         800       2.3931971e-05    4.75084e-06    2.2932527e-05    4.41123e-06    2.5303409e-05    5.20090e-06        -4.18%      5.73%
         800         805       3.0123251e-05    4.76471e-06    2.9649167e-05    4.36235e-06    3.0772557e-05    5.19640e-06        -1.57%      2.16%
         805         810       2.1863404e-05    4.03150e-06    2.1344632e-05    3.76783e-06    2.2556961e-05    4.39217e-06        -2.37%      3.17%
         810         815       2.8227161e-05    3.28504e-06    2.7321907e-05    3.11260e-06    2.9284655e-05    3.49873e-06        -3.21%      3.75%
         815         820       3.9602742e-05    1.05996e-05    3.8231550e-05    1.01392e-05    4.1350205e-05    1.10900e-05        -3.46%      4.41%
         820         825       2.4602152e-05    5.46947e-06    2.3391455e-05    5.05531e-06    2.6123844e-05    5.96496e-06        -4.92%      6.19%
         825         830       2.0422350e-05    3.25716e-06    1.9229099e-05    3.11198e-06    2.1918311e-05    3.43294e-06        -5.84%      7.33%
