#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5                   0              0                0              0                0              0            0%         0%
           5          10         0.016288215     0.00103565      0.015415927    0.000832345      0.016967336     0.00114986        -5.36%      4.17%
          10          15          0.11893527     0.00281998       0.11251419     0.00234161       0.12272181     0.00330020        -5.40%      3.18%
          15          20          0.25124027     0.00188784       0.23906260     0.00163106       0.25873932     0.00214185        -4.85%      2.98%
          20          25          0.41461862     0.00186402       0.39999728     0.00164725       0.42175966     0.00208063        -3.53%      1.72%
          25          30          0.63942127     0.00239854       0.62012843     0.00212470       0.64745919     0.00261198        -3.02%      1.26%
          30          35          0.87081831     0.00279203       0.84588995     0.00247058       0.88238639     0.00303275        -2.86%      1.33%
          35          40           1.0251929     0.00358268        1.0020347     0.00318788        1.0349839     0.00366407        -2.26%      0.96%
          40          45          0.91061908     0.00342271       0.89186798     0.00373214       0.92565489     0.00318211        -2.06%      1.65%
          45          50          0.88032034     0.00248247       0.84354651     0.00228118       0.91831667     0.00273722        -4.18%      4.32%
          50          55          0.70657694     0.00210875       0.68435933     0.00199075       0.73304012     0.00232449        -3.14%      3.75%
          55          60          0.59687320     0.00202925       0.57808723     0.00186177       0.62030112     0.00224181        -3.15%      3.93%
          60          65          0.50069139     0.00191364       0.48387181     0.00175223       0.52166704     0.00211810        -3.36%      4.19%
          65          70          0.41223642     0.00203629       0.39792730     0.00185718       0.43008129     0.00226229        -3.47%      4.33%
          70          75          0.34692374     0.00188136       0.33395990     0.00171624       0.36309090     0.00208977        -3.74%      4.66%
          75          80          0.28304721     0.00149178       0.27213475     0.00136751       0.29665609     0.00164937        -3.86%      4.81%
          80          85          0.24120764     0.00140387       0.23142835     0.00128439       0.25340335     0.00155508        -4.05%      5.06%
          85          90          0.20048103     0.00133503       0.19225404     0.00122051       0.21074087     0.00147988        -4.10%      5.12%
          90          95          0.17221107     0.00119286       0.16479392     0.00109041       0.18146096     0.00132241        -4.31%      5.37%
          95         100          0.14515772     0.00112363       0.13879022     0.00102672       0.15309861     0.00124613        -4.39%      5.47%
         100         105          0.12162489     0.00104053       0.11626332    0.000951935       0.12831128     0.00115265        -4.41%      5.50%
         105         110          0.10808789    0.000922863       0.10297043    0.000845820       0.11446985     0.00102054        -4.73%      5.90%
         110         115         0.090617436    0.000819177      0.086354439    0.000748502      0.095933803    0.000908517        -4.70%      5.87%
         115         120         0.079092199    0.000781143      0.075267798    0.000717033      0.083861596    0.000862550        -4.84%      6.03%
         120         125         0.068357615    0.000703840      0.065011840    0.000644201      0.072596381    0.000766294        -4.89%      6.20%
         125         130         0.060810691    0.000663870      0.057616389    0.000611573      0.064863246    0.000726212        -5.25%      6.66%
         130         135         0.050551519    0.000622865      0.047865963    0.000572637      0.053995994    0.000683596        -5.31%      6.81%
