#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5                   0              0                0              0                0              0            0%         0%
           5          10          0.13609984     0.00267585       0.12834363     0.00220486       0.14124025     0.00299804        -5.70%      3.78%
          10          15          0.65300598     0.00212305       0.62723740     0.00186110       0.67106658     0.00235855        -3.95%      2.77%
          15          20           1.2300271     0.00251478        1.1964962     0.00223192        1.2452984     0.00279105        -2.73%      1.24%
          20          25           1.3620570     0.00265976        1.3243860     0.00237314        1.3834428     0.00295318        -2.77%      1.57%
          25          30           1.0929612     0.00324460        1.0593946     0.00287211        1.1213663     0.00362371        -3.07%      2.60%
          30          35          0.81511034     0.00256130       0.78719875     0.00227655       0.84437150     0.00286143        -3.42%      3.59%
          35          40          0.66721182     0.00200296       0.64965546     0.00188994       0.68878254     0.00223677        -2.63%      3.23%
          40          45          0.68761379     0.00182465       0.67269708     0.00165701       0.70621636     0.00203531        -2.17%      2.71%
          45          50          0.63703289     0.00181854       0.61863448     0.00164907       0.65997748     0.00203120        -2.89%      3.60%
          50          55          0.52319696     0.00177938       0.50698474     0.00161151       0.54341517     0.00198977        -3.10%      3.86%
          55          60          0.41285072     0.00170180       0.40024141     0.00154029       0.42857575     0.00190411        -3.05%      3.81%
          60          65          0.33034060     0.00151673       0.31986716     0.00137264       0.34340198     0.00169720        -3.17%      3.95%
          65          70          0.25782476     0.00135576       0.24971086     0.00122746       0.26794357     0.00151652        -3.15%      3.92%
          70          75          0.20505216     0.00120376       0.19853173     0.00108935       0.21318376     0.00134705        -3.18%      3.97%
          75          80          0.16470227     0.00111933       0.15938128     0.00101314       0.17133806     0.00125233        -3.23%      4.03%
          80          85          0.13360445     0.00102591       0.12921260    0.000927867       0.13927414     0.00112514        -3.29%      4.24%
          85          90          0.10597152    0.000939718       0.10259559    0.000849495       0.11062765     0.00103751        -3.19%      4.39%
          90          95         0.088454838    0.000815206      0.085562637    0.000737294      0.092502397    0.000898487        -3.27%      4.58%
          95         100         0.071996501    0.000773295      0.069635221    0.000704991      0.075338206    0.000854266        -3.28%      4.64%
