#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5                   0              0                0              0                0              0            0%         0%
           5          10       0.00016931527    2.50789e-05    0.00014990545    2.20710e-05    0.00019014821    2.81765e-05       -11.46%     12.30%
          10          15       0.00074681920    3.69397e-05    0.00066318973    3.24014e-05    0.00083852206    4.14964e-05       -11.20%     12.28%
          15          20        0.0017403954    5.26666e-05     0.0015527052    4.62861e-05     0.0019541988    5.91592e-05       -10.78%     12.28%
          20          25        0.0028247231    6.29999e-05     0.0025178961    5.53549e-05     0.0031697171    7.07380e-05       -10.86%     12.21%
          25          30        0.0074137224     0.00115661     0.0066954916    0.000975548     0.0082034687     0.00129267        -9.69%     10.65%
          30          35         0.021229755     0.00252904      0.018929079     0.00208113      0.023134210     0.00298123       -10.84%      8.97%
          35          40         0.029244756    0.000841234      0.026791032    0.000721555      0.031030686    0.000923301        -8.39%      6.11%
          40          45         0.036975435    0.000608590      0.034483698    0.000535742      0.038791337    0.000660229        -6.74%      4.91%
          45          50         0.041672154    0.000556167      0.039075448    0.000493587      0.043456072    0.000601216        -6.23%      4.28%
          50          55         0.045292825    0.000568650      0.042684008    0.000513491      0.047167374    0.000609125        -5.76%      4.14%
          55          60         0.046786954    0.000620644      0.044292304    0.000566874      0.048651208    0.000666205        -5.33%      3.98%
          60          65         0.048052896    0.000503492      0.045630556    0.000459262      0.049930451    0.000538166        -5.04%      3.91%
          65          70         0.053534625    0.000631239      0.050991833    0.000588061      0.055575954    0.000669275        -4.75%      3.81%
          70          75         0.062987578    0.000703352      0.060345684    0.000647885      0.065267126    0.000751037        -4.19%      3.62%
          75          80         0.090821134    0.000760171      0.087574531    0.000710834      0.093487286    0.000802459        -3.57%      2.94%
          80          85          0.18003146     0.00112396       0.17412600     0.00106000       0.18451013     0.00118393        -3.28%      2.49%
          85          90          0.88516216     0.00342301       0.85762606     0.00319038       0.90252121     0.00367019        -3.11%      1.96%
          90          95           2.4379371     0.00408630        2.3639861     0.00388086        2.4855188     0.00428268        -3.03%      1.95%
          95         100          0.26292320     0.00103834       0.25504707    0.000964236       0.26858760     0.00111179        -3.00%      2.15%
         100         105          0.11504517    0.000596925       0.11162260    0.000558609       0.11787170    0.000635597        -2.97%      2.46%
         105         110          0.11358034    0.000626344       0.11025783    0.000593127       0.11609000    0.000670287        -2.93%      2.21%
         110         115          0.12526237    0.000721095       0.12201096    0.000687190       0.12784152    0.000768185        -2.60%      2.06%
         115         120          0.12875277    0.000684411       0.12518724    0.000650859       0.13167122    0.000732306        -2.77%      2.27%
         120         125          0.12622059    0.000716375       0.12240004    0.000685688       0.12953577    0.000762217        -3.03%      2.63%
         125         130          0.11599173    0.000688076       0.11269080    0.000662778       0.11922758    0.000725885        -2.85%      2.79%
         130         135          0.10950128    0.000945680       0.10632496    0.000879580       0.11291937     0.00103574        -2.90%      3.12%
         135         140         0.097058519    0.000620420      0.094342249    0.000591183       0.10012726    0.000663269        -2.80%      3.16%
         140         145         0.088875112    0.000540499      0.086542737    0.000516047      0.091783809    0.000571963        -2.62%      3.27%
         145         150         0.080853841    0.000657187      0.078586249    0.000620158      0.083681747    0.000704659        -2.80%      3.50%
         150         155         0.077536674    0.000597248      0.075247938    0.000570775      0.080390949    0.000631168        -2.95%      3.68%
         155         160         0.071286681    0.000526042      0.069219407    0.000500062      0.073864771    0.000559410        -2.90%      3.62%
         160         165         0.066869064    0.000516220      0.064852991    0.000493326      0.069383301    0.000545631        -3.01%      3.76%
         165         170         0.066383704    0.000530346      0.064381168    0.000507312      0.068881060    0.000559966        -3.02%      3.76%
         170         175         0.066887703    0.000510763      0.064861080    0.000488467      0.069415097    0.000539343        -3.03%      3.78%
         175         180         0.075123918    0.000561212      0.072918077    0.000529448      0.077874815    0.000601913        -2.94%      3.66%
         180         185          0.10888334    0.000617653       0.10614363    0.000590256       0.11230002    0.000652912        -2.52%      3.14%
         185         190          0.15487729    0.000708975       0.15144377    0.000685777       0.15915922    0.000738812        -2.22%      2.76%
         190         195          0.17827918    0.000808034       0.17427299    0.000779575       0.18327528    0.000844667        -2.25%      2.80%
         195         200          0.18303201    0.000828610       0.17882775    0.000799488       0.18827513    0.000866050        -2.30%      2.86%
         200         205          0.17935334    0.000804345       0.17514974    0.000778235       0.18459564    0.000837805        -2.34%      2.92%
         205         210          0.17630374    0.000754479       0.17196255    0.000726186       0.18171762    0.000790834        -2.46%      3.07%
         210         215          0.16488893    0.000744712       0.16080570    0.000719324       0.16998111    0.000777230        -2.48%      3.09%
         215         220          0.15753084    0.000776990       0.15352372    0.000749607       0.16252810    0.000812031        -2.54%      3.17%
         220         225          0.14755864    0.000829647       0.14374048    0.000802261       0.15232025    0.000864577        -2.59%      3.23%
         225         230          0.13930906    0.000709235       0.13561667    0.000683737       0.14391382    0.000741834        -2.65%      3.31%
         230         235          0.13061817    0.000735305       0.12710954    0.000705566       0.13499378    0.000773437        -2.69%      3.35%
         235         240          0.12046485    0.000898044       0.11717543    0.000854072       0.12456707    0.000954400        -2.73%      3.41%
         240         245          0.11407500    0.000655934       0.11089439    0.000630285       0.11804152    0.000688732        -2.79%      3.48%
         245         250          0.10573254    0.000650714       0.10275718    0.000625148       0.10944310    0.000683391        -2.81%      3.51%
         250         255         0.098608696    0.000661572      0.095780219    0.000635915       0.10213608    0.000694311        -2.87%      3.58%
         255         260         0.093059334    0.000621635      0.090394848    0.000597998      0.096382207    0.000651785        -2.86%      3.57%
         260         265         0.088348973    0.000625204      0.085708440    0.000600827      0.091641972    0.000656264        -2.99%      3.73%
