#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5          0.13604596     0.00253189       0.12999300     0.00212410       0.13992473     0.00294867        -4.45%      2.85%
           5          10          0.34216326     0.00200218       0.32806447     0.00182128       0.35323257     0.00220173        -4.12%      3.24%
          10          15          0.53833597     0.00244190       0.51991085     0.00224561       0.55236977     0.00268105        -3.42%      2.61%
          15          20          0.76216989     0.00292685       0.74235398     0.00270515       0.77390970     0.00319563        -2.60%      1.54%
          20          25          0.94648548     0.00316056       0.92410292     0.00292679       0.95813703     0.00344530        -2.36%      1.23%
          25          30           1.0381628     0.00330205        1.0169073     0.00306509        1.0484882     0.00328991        -2.05%      0.99%
          30          35           1.0205113     0.00368988        1.0023730     0.00339511        1.0302431     0.00367435        -1.78%      0.95%
          35          40          0.84156335     0.00305805       0.82017789     0.00284478       0.85945330     0.00334760        -2.54%      2.13%
          40          45          0.63727638     0.00260967       0.61224322     0.00249380       0.66738723     0.00286795        -3.93%      4.72%
          45          50          0.48874520     0.00213081       0.47187844     0.00195937       0.50977969     0.00234741        -3.45%      4.30%
          50          55          0.40832666     0.00190385       0.39275988     0.00174908       0.42773993     0.00209914        -3.81%      4.75%
          55          60          0.34875631     0.00178912       0.33562354     0.00164152       0.36513415     0.00197524        -3.77%      4.70%
          60          65          0.30628869     0.00172379       0.29558634     0.00158102       0.31963555     0.00190385        -3.49%      4.36%
          65          70          0.28124272     0.00169626       0.27184858     0.00155458       0.29295812     0.00187493        -3.34%      4.17%
          70          75          0.25420150     0.00164333       0.24647940     0.00150458       0.26383171     0.00181829        -3.04%      3.79%
          75          80          0.23355610     0.00156125       0.22672396     0.00142917       0.24207644     0.00172782        -2.93%      3.65%
          80          85          0.20414358     0.00147956       0.19844246     0.00135427       0.21125343     0.00163759        -2.79%      3.48%
          85          90          0.16652715     0.00133233       0.16186666     0.00122050       0.17233923     0.00147348        -2.80%      3.49%
          90          95          0.13252982     0.00114213       0.12720391     0.00104787       0.13917174     0.00126097        -4.02%      5.01%
          95         100          0.10105158    0.000969756      0.096184292    0.000888511       0.10712156     0.00107194        -4.82%      6.01%
         100         105         0.078383004    0.000930352      0.074231357    0.000854824      0.083560508     0.00102530        -5.30%      6.61%
         105         110         0.063470967    0.000825629      0.059880300    0.000755901      0.067948876    0.000913139        -5.66%      7.06%
