#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10           19.106524      0.0144590        16.049364      0.0122098        22.119888      0.0167316       -16.00%     15.77%
          10          20           7.0857735      0.0110880        6.2624072     0.00983923        7.8379159      0.0122372       -11.62%     10.61%
          20          30           2.3400627     0.00659690        2.1041067     0.00594277        2.5512723     0.00719336       -10.08%      9.03%
          30          40          0.74308851     0.00339291       0.69295758     0.00318580       0.78488889     0.00356698        -6.75%      5.63%
          40          50          0.47419269     0.00285582       0.44627303     0.00270056       0.49682977     0.00298286        -5.89%      4.77%
          50          60          0.33892864     0.00254428       0.32036127     0.00241474       0.35377765     0.00264945        -5.48%      4.38%
          60          70          0.22705675     0.00211324       0.21508695     0.00200542       0.23655624     0.00220049        -5.27%      4.18%
          70          80          0.14893179     0.00172699       0.14127495     0.00163873       0.15498853     0.00179861        -5.14%      4.07%
          80          90         0.066694799     0.00116256      0.063698246     0.00110880      0.069009290     0.00120578        -4.49%      3.47%
          90         100         0.015106093    0.000434563      0.014754343    0.000422216      0.015332212    0.000443811        -2.33%      1.50%
         100         110        0.0068121906    0.000245208     0.0067765905    0.000244988     0.0068121906    0.000245208        -0.52%   0.00000%
         110         120        0.0036598399    0.000150079     0.0036421090    0.000149281     0.0036598399    0.000150079        -0.48%   0.00000%
         120         130        0.0025963356    0.000129211     0.0025638754    0.000127830     0.0026172929    0.000130152        -1.25%      0.81%
         130         140        0.0017254665    0.000100620     0.0016955313    9.86859e-05     0.0017489614    0.000102283        -1.73%      1.36%
         140         150        0.0011233954    9.14863e-05     0.0010951909    8.79842e-05     0.0011495891    9.51990e-05        -2.51%      2.33%
         150         160       0.00077760962    5.81364e-05    0.00076127714    5.69496e-05    0.00079151971    5.91830e-05        -2.10%      1.79%
         160         170       0.00079891037    7.47077e-05    0.00077414853    7.24032e-05    0.00082311240    7.70754e-05        -3.10%      3.03%
         170         180       0.00048886726    4.62105e-05    0.00046998024    4.43720e-05    0.00050814401    4.81516e-05        -3.86%      3.94%
         180         190       0.00035641111    3.49122e-05    0.00034415372    3.37828e-05    0.00036850804    3.60331e-05        -3.44%      3.39%
         190         200       0.00029546090    4.58491e-05    0.00028132946    4.30939e-05    0.00031047674    4.89099e-05        -4.78%      5.08%
         200         210       0.00025704614    3.29010e-05    0.00024583008    3.14655e-05    0.00026881367    3.44400e-05        -4.36%      4.58%
         210         220       0.00014031394    1.67378e-05    0.00013452873    1.60445e-05    0.00014626873    1.74606e-05        -4.12%      4.24%
         220         230       0.00014155222    2.71736e-05    0.00013580062    2.64171e-05    0.00014753288    2.79483e-05        -4.06%      4.23%
         230         240       9.7348950e-05    1.19547e-05    9.3154276e-05    1.14866e-05    0.00010174347    1.24496e-05        -4.31%      4.51%
         240         250       9.6049224e-05    2.18508e-05    8.9444240e-05    1.98664e-05    0.00010361265    2.42270e-05        -6.88%      7.87%
         250         260       0.00011198755    2.49775e-05    0.00010581037    2.35130e-05    0.00011869486    2.65816e-05        -5.52%      5.99%
         260         270       4.8969551e-05    1.50223e-05    4.6389372e-05    1.42936e-05    5.1750747e-05    1.57906e-05        -5.27%      5.68%
         270         280       3.3319981e-05    8.71656e-06    3.1131808e-05    8.10426e-06    3.5794331e-05    9.41082e-06        -6.57%      7.43%
         280         290       4.9547629e-05    1.88946e-05    4.7478415e-05    1.81599e-05    5.1728111e-05    1.96474e-05        -4.18%      4.40%
         290         300       1.8364988e-05    4.01701e-06    1.7092338e-05    3.78665e-06    1.9807878e-05    4.26974e-06        -6.93%      7.86%
         300         310       2.0245540e-05    4.49395e-06    1.8873211e-05    4.21324e-06    2.1795427e-05    4.80550e-06        -6.78%      7.66%
         310         320       6.3516060e-06    1.96136e-06    5.8358564e-06    1.81362e-06    6.9474261e-06    2.13325e-06        -8.12%      9.38%
         320         330       1.7983759e-05    4.56425e-06    1.6807467e-05    4.28758e-06    1.9300215e-05    4.87045e-06        -6.54%      7.32%
