#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           23.415947     0.00666633        19.394280     0.00553194        27.441235     0.00782723       -17.17%     17.19%
           5          10           10.460464     0.00485085        8.9227500     0.00415112        11.943231     0.00553799       -14.70%     14.17%
          10          15           5.1571292     0.00354273        4.5012186     0.00309666        5.7686408     0.00396644       -12.72%     11.86%
          15          20           3.7100568     0.00304115        3.2723045     0.00268096        4.1118657     0.00337981       -11.80%     10.83%
          20          25           3.2324200     0.00282639        2.8673603     0.00250503        3.5648767     0.00312719       -11.29%     10.29%
          25          30           3.0693556     0.00271478        2.7320955     0.00241690        3.3751147     0.00299279       -10.99%      9.96%
          30          35           2.9961364     0.00261652        2.6727058     0.00233874        3.2884923     0.00287463       -10.79%      9.76%
          35          40           2.8876363     0.00253387        2.5796338     0.00227028        3.1654886     0.00277822       -10.67%      9.62%
          40          45           2.4149807     0.00243574        2.1650045     0.00218557        2.6394280     0.00266702       -10.35%      9.29%
          45          50           1.0727748     0.00163801       0.98134525     0.00150192        1.1522693     0.00176007        -8.52%      7.41%
          50          55          0.63194570     0.00128039       0.58597105     0.00119019       0.67076418     0.00135889        -7.28%      6.14%
          55          60          0.44976228     0.00109085       0.41963790     0.00102026       0.47478737     0.00115186        -6.70%      5.56%
          60          65          0.33702543    0.000935673       0.31594692    0.000878755       0.35430169    0.000983971        -6.25%      5.13%
          65          70          0.25838246    0.000811635       0.24306124    0.000764273       0.27080521    0.000851453        -5.93%      4.81%
          70          75          0.20075968    0.000710151       0.18956910    0.000671778       0.20972746    0.000742113        -5.57%      4.47%
          75          80          0.15843076    0.000623939       0.14997042    0.000591426       0.16515317    0.000650817        -5.34%      4.24%
          80          85          0.12625275    0.000546963       0.11989119    0.000519955       0.13124779    0.000569116        -5.04%      3.96%
          85          90          0.10134219    0.000480310      0.096487127    0.000457597       0.10511175    0.000498742        -4.79%      3.72%
          90          95         0.080632720    0.000420669      0.076963793    0.000402143      0.083450313    0.000435469        -4.55%      3.49%
