#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10           19.136185     0.00383641        16.073968     0.00322911        22.154439     0.00445312       -16.00%     15.77%
          10          20           7.0882869     0.00296655        6.2638180     0.00261781        7.8415195     0.00329324       -11.63%     10.63%
          20          30           2.3410467     0.00175805        2.1042883     0.00157384        2.5530627     0.00192932       -10.11%      9.06%
          30          40          0.74753455    0.000910016       0.69681115    0.000851362       0.78987306    0.000960566        -6.79%      5.66%
          40          50          0.47573668    0.000762900       0.44792203    0.000719507       0.49826515    0.000799425        -5.85%      4.74%
          50          60          0.33109294    0.000664293       0.31289889    0.000627258       0.34564852    0.000695510        -5.50%      4.40%
          60          70          0.23355366    0.000574552       0.22119828    0.000543179       0.24336791    0.000600793        -5.29%      4.20%
          70          80          0.14836480    0.000465632       0.14077538    0.000440187       0.15436017    0.000486963        -5.12%      4.04%
          80          90         0.068607153    0.000314882      0.065435983    0.000298607      0.071069057    0.000328479        -4.62%      3.59%
          90         100         0.015071014    0.000117821      0.014729839    0.000114962      0.015288140    0.000120052        -2.26%      1.44%
         100         110        0.0070256363    6.97745e-05     0.0069743793    6.93794e-05     0.0070311807    6.98984e-05        -0.73%      0.08%
         110         120        0.0040451509    4.97334e-05     0.0040178451    4.92646e-05     0.0040504396    5.00556e-05        -0.68%      0.13%
         120         130        0.0025731106    3.63634e-05     0.0025419671    3.59743e-05     0.0025925554    3.66431e-05        -1.21%      0.76%
         130         140        0.0018100960    3.18640e-05     0.0017772718    3.10801e-05     0.0018367092    3.26503e-05        -1.81%      1.47%
         140         150        0.0012605110    2.61359e-05     0.0012300738    2.52831e-05     0.0012881568    2.70434e-05        -2.41%      2.19%
         150         160       0.00086938217    1.84381e-05    0.00084632872    1.79378e-05    0.00089087816    1.89417e-05        -2.65%      2.47%
         160         170       0.00067540881    1.87038e-05    0.00065309492    1.79144e-05    0.00069750539    1.95583e-05        -3.30%      3.27%
         170         180       0.00049029230    1.54566e-05    0.00047201910    1.47234e-05    0.00050892861    1.62705e-05        -3.73%      3.80%
