#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           19.963637      0.0754964        19.281445      0.0659778        20.370883      0.0779909        -3.42%      2.04%
           5          10           11.202200       0.109604        10.623701      0.0971651        11.500813       0.120955        -5.16%      2.67%
          10          15           5.9817803      0.0936833        5.6815074      0.0831672        6.1700612       0.103251        -5.02%      3.15%
          15          20           4.4114869      0.0583929        4.2054750      0.0520181        4.5450869      0.0642188        -4.67%      3.03%
          20          25           3.6368070      0.0880414        3.4959576      0.0780874        3.7211033      0.0970987        -3.87%      2.32%
          25          30           3.6688048      0.0858041        3.5135418      0.0762234        3.7707778      0.0945060        -4.23%      2.78%
          30          35           3.4151139      0.0547298        3.2853631      0.0487856        3.4957952      0.0601171        -3.80%      2.36%
          35          40           2.9525404      0.0506833        2.8641183      0.0452189        2.9993252      0.0556288        -2.99%      1.58%
          40          45           2.1759022      0.0353866        2.1323932      0.0318980        2.1938012      0.0352192        -2.00%      0.82%
          45          50           1.5903923      0.0235509        1.5246229      0.0217877        1.6641218      0.0260427        -4.14%      4.64%
          50          55          0.96713229      0.0174731       0.92968919      0.0161565        1.0135786      0.0191400        -3.87%      4.80%
          55          60          0.65141178      0.0141720       0.62690008      0.0130753       0.68181732      0.0155573        -3.76%      4.67%
          60          65          0.51440303      0.0122177       0.49490395      0.0111955       0.53859066      0.0135005        -3.79%      4.70%
          65          70          0.41975534      0.0165925       0.40288450      0.0152155       0.44068277      0.0183217        -4.02%      4.99%
          70          75          0.30835710      0.0184333       0.29513532      0.0172587       0.32475805      0.0199393        -4.29%      5.32%
          75          80          0.23997183      0.0102478       0.23002606     0.00952398       0.25230907      0.0111689        -4.14%      5.14%
          80          85          0.19201186     0.00953569       0.18410982     0.00866487       0.20181394      0.0106196        -4.12%      5.10%
          85          90          0.15180523     0.00927466       0.14587950     0.00842221       0.15915581      0.0103351        -3.90%      4.84%
          90          95          0.11751134     0.00698886       0.11316714     0.00635844       0.12290011     0.00777450        -3.70%      4.59%
          95         100          0.10107124     0.00520970      0.096725797     0.00474469       0.10646154     0.00578979        -4.30%      5.33%
         100         105         0.089036713     0.00421581      0.085111546     0.00387280      0.093905685     0.00464730        -4.41%      5.47%
         105         110         0.078685427     0.00372986      0.074830425     0.00342320      0.083467364     0.00411527        -4.90%      6.08%
         110         115         0.065234537     0.00547196      0.062504450     0.00502266      0.068621073     0.00603672        -4.19%      5.19%
         115         120         0.037080724     0.00563935      0.035893318     0.00521297      0.038723024     0.00611884        -3.20%      4.43%
         120         125         0.044563876     0.00522334      0.042113849     0.00488879      0.047583113     0.00560377        -5.50%      6.78%
         125         130         0.040409362     0.00407840      0.038407955     0.00370175      0.042892007     0.00454672        -4.95%      6.14%
         130         135         0.028607790     0.00301130      0.027070450     0.00277833      0.030616429     0.00327627        -5.37%      7.02%
         135         140         0.034751220     0.00318636      0.032696055     0.00289496      0.037300549     0.00354904        -5.91%      7.34%
         140         145         0.022634936     0.00289199      0.021662687     0.00264099      0.023883439     0.00318392        -4.30%      5.52%
         145         150         0.015690223     0.00254513      0.014908039     0.00236201      0.016718819     0.00275333        -4.99%      6.56%
         150         155         0.017197900     0.00184045      0.016077937     0.00167452      0.018612720     0.00203671        -6.51%      8.23%
         155         160         0.014254560     0.00216128      0.013506384     0.00195564      0.015247053     0.00240187        -5.25%      6.96%
         160         165         0.019643563     0.00379359      0.018354739     0.00348862      0.021198958     0.00423301        -6.56%      7.92%
         165         170         0.010013477     0.00353300     0.0094167955     0.00326078      0.010797633     0.00383672        -5.96%      7.83%
         170         175         0.010382046     0.00109889     0.0097605436    0.000993722      0.011170949     0.00122694        -5.99%      7.60%
         175         180         0.013729348     0.00192083      0.012640212     0.00174492      0.015083725     0.00212755        -7.93%      9.86%
         180         185        0.0067350973     0.00208789     0.0062940850     0.00190566     0.0073097064     0.00229931        -6.55%      8.53%
         185         190        0.0061329353     0.00111669     0.0058110004     0.00102980     0.0065731247     0.00122036        -5.25%      7.18%
         190         195        0.0095316171     0.00176324     0.0087549952     0.00157871      0.010493458     0.00198578        -8.15%     10.09%
         195         200        0.0046437291     0.00175572     0.0043229654     0.00157948     0.0050707807     0.00196986        -6.91%      9.20%
         200         205        0.0047734270     0.00132054     0.0044458162     0.00116698     0.0052055685     0.00150982        -6.86%      9.05%
         205         210        0.0051410295     0.00145482     0.0048744199     0.00128590     0.0054690676     0.00162166        -5.19%      6.38%
         210         215        0.0047973143    0.000972704     0.0044247820    0.000870104     0.0052660603     0.00109624        -7.77%      9.77%
         215         220        0.0033366460    0.000875259     0.0031400331    0.000780251     0.0036160598    0.000991009        -5.89%      8.37%
         220         225        0.0023928854     0.00109403     0.0023020944    0.000974116     0.0025325368     0.00123903        -3.79%      5.84%
         225         230        0.0018890148     0.00203481     0.0018116517     0.00181323     0.0019955579     0.00229881        -4.10%      5.64%
         230         235        0.0051346396     0.00221049     0.0046215684     0.00197780     0.0057711730     0.00248740        -9.99%     12.40%
         235         240        0.0042659156    0.000766589     0.0038829630    0.000688647     0.0047408601    0.000859064        -8.98%     11.13%
         240         245        0.0027618777    0.000399876     0.0026179864    0.000360375     0.0029336739    0.000450135        -5.21%      6.22%
         245         250        0.0015751953    0.000635493     0.0015208721    0.000561622     0.0016521353    0.000725878        -3.45%      4.88%
         250         255        0.0036263972    0.000776643     0.0033071793    0.000690826     0.0040193748    0.000880402        -8.80%     10.84%
         255         260        0.0018332764    0.000597167     0.0016853532    0.000531722     0.0020263534    0.000675922        -8.07%     10.53%
         260         265        0.0019674875    0.000416302     0.0018413942    0.000366300     0.0021320192    0.000479478        -6.41%      8.36%
         265         270        0.0019766982    0.000743727     0.0018652059    0.000682633     0.0021187234    0.000819515        -5.64%      7.18%
         270         275       0.00049483065    0.000758198    0.00045363639    0.000846757    0.00054077797    0.000777144        -8.32%      9.29%
         275         280        0.0038413860    0.000876626     0.0034118208    0.000773693     0.0043733205     0.00100253       -11.18%     13.85%
         280         285        0.0013511598    0.000294425     0.0012409769    0.000261494     0.0014921157    0.000335385        -8.15%     10.43%
         285         290        0.0019764034    0.000199433     0.0017730621    0.000177248     0.0022394522    0.000229331       -10.29%     13.31%
         290         295      -0.00022918313    0.000668976   -0.00027157483    0.000654881   -0.00016019257    0.000682000        18.50%    -30.10%
