#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           2                   0              0                0              0                0              0            0%         0%
           2           4                   0              0                0              0                0              0            0%         0%
           4           6           39.742108      0.0716282        37.797651      0.0646984        40.952407      0.0771920        -4.89%      3.05%
           6           8           19.032419      0.0408501        18.063182      0.0376553        19.610580      0.0431948        -5.09%      3.04%
           8          10           10.811885      0.0352124        10.252543      0.0327481        11.139447      0.0369390        -5.17%      3.03%
          10          12           6.8850535      0.0292100        6.5349505      0.0276700        7.0841580      0.0301832        -5.08%      2.89%
          12          14           4.6925567      0.0272996        4.4521553      0.0255503        4.8283805      0.0284661        -5.12%      2.89%
          14          16           3.4380362      0.0179778        3.2613460      0.0165635        3.5366239      0.0189747        -5.14%      2.87%
          16          18           2.5696811      0.0183171        2.4418118      0.0170774        2.6386402      0.0191369        -4.98%      2.68%
          18          20           1.9818412      0.0195144        1.8809492      0.0179806        2.0371380      0.0206588        -5.09%      2.79%
          20          22           1.7480301      0.0682973        1.6585791      0.0612283        1.7983518      0.0736165        -5.12%      2.88%
          22          24           1.2129522      0.0673476        1.1576515      0.0601821        1.2424391      0.0728396        -4.56%      2.43%
          24          26           1.1716736      0.0109577        1.1154395      0.0103680        1.2036167      0.0113949        -4.80%      2.73%
          26          28           1.0135041      0.0111070       0.96534066      0.0104575        1.0406025      0.0115886        -4.75%      2.67%
          28          30          0.95709086      0.0104725       0.91408055     0.00996174       0.98108712      0.0108395        -4.49%      2.51%
          30          32          0.88478507      0.0183246       0.84288823      0.0177049       0.90967626      0.0186460        -4.74%      2.81%
          32          34          0.86306411      0.0108817       0.82299690      0.0103231       0.88702223      0.0112856        -4.64%      2.78%
          34          36          0.79160021      0.0182052       0.75602646      0.0175611       0.81221193      0.0185618        -4.49%      2.60%
          36          38          0.84016994      0.0109617       0.80452999      0.0103367       0.86020106      0.0114457        -4.24%      2.38%
          38          40          0.80879117      0.0114927       0.77251376      0.0107581       0.83083836      0.0120688        -4.49%      2.73%
          40          42          0.88584708      0.0234672       0.84708315      0.0225541       0.90914263      0.0239999        -4.38%      2.63%
          42          44          0.86283778      0.0213056       0.82343985      0.0204710       0.88724688      0.0218138        -4.57%      2.83%
          44          46          0.90652741      0.0133670       0.86577896      0.0127567       0.93135989      0.0137852        -4.50%      2.74%
          46          48          0.98819874      0.0318359       0.95002700      0.0337111        1.0101743      0.0301683        -3.86%      2.22%
          48          50           1.0023567      0.0164725       0.96022868      0.0159698        1.0270735      0.0167650        -4.20%      2.47%
          50          52           1.1837569      0.0741029        1.1309933      0.0705858        1.2157928      0.0762516        -4.46%      2.71%
          52          54           1.1470507      0.0147272        1.0951312      0.0140511        1.1794865      0.0152255        -4.53%      2.83%
          54          56           1.0847992      0.0735041        1.0362508      0.0699045        1.1149299      0.0757679        -4.48%      2.78%
          56          58           1.2769625      0.0161076        1.2191619      0.0153832        1.3128600      0.0166309        -4.53%      2.81%
          58          60           1.3503075      0.0178600        1.2899957      0.0170094        1.3882903      0.0185014        -4.47%      2.81%
          60          62           1.4493038      0.0182026        1.3847960      0.0171790        1.4886729      0.0190239        -4.45%      2.72%
          62          64           1.4678253      0.0207224        1.4072819      0.0196673        1.5037434      0.0215139        -4.12%      2.45%
          64          66           1.6739087      0.0307976        1.5979060      0.0286990        1.7207261      0.0324493        -4.54%      2.80%
          66          68           1.6599885      0.0354752        1.5906043      0.0331867        1.7024113      0.0372738        -4.18%      2.56%
          68          70           1.7410184      0.0281305        1.6665079      0.0270057        1.7866078      0.0288650        -4.28%      2.62%
          70          72           1.9197422      0.0519497        1.8376039      0.0498410        1.9700510      0.0532142        -4.28%      2.62%
          72          74           1.8819623      0.0590357        1.8029282      0.0566933        1.9299292      0.0604361        -4.20%      2.55%
          74          76           1.9920644      0.0266928        1.9085968      0.0252718        2.0424234      0.0277371        -4.19%      2.53%
          76          78           1.9765764      0.0349170        1.9026905      0.0329773        2.0187452      0.0363012        -3.74%      2.13%
          78          80           1.9305154      0.0347092        1.8597939      0.0329253        1.9711317      0.0359253        -3.66%      2.10%
          80          82           1.9507374      0.0246327        1.8846264      0.0238213        1.9874829      0.0251428        -3.39%      1.88%
          82          84           1.8581954      0.0275934        1.8026498      0.0267226        1.8905720      0.0280903        -2.99%      1.74%
          84          86           1.8908282      0.0511440        1.8458914      0.0488865        1.9277476      0.0521548        -2.38%      1.95%
          86          88           2.3211478      0.0358051        2.2667674      0.0346122        2.3767249      0.0366968        -2.34%      2.39%
          88          90           4.7913190       0.119073        4.6582423       0.114662        4.9173661       0.122233        -2.78%      2.63%
          90          92           8.6697832       0.157120        8.4447092       0.150715        8.9029201       0.161382        -2.60%      2.69%
          92          94           3.4355447      0.0840668        3.3477122      0.0799347        3.5264190      0.0863138        -2.56%      2.65%
          94          96           1.2566037      0.0333781        1.2219455      0.0323075        1.2887532      0.0342617        -2.76%      2.56%
          96          98          0.54432839      0.0186018       0.53123862      0.0181853       0.55890112      0.0191427        -2.40%      2.68%
          98         100          0.34048751      0.0157908       0.33140115      0.0151536       0.34941029      0.0162291        -2.67%      2.62%
         100         102          0.24208632      0.0168659       0.23560762      0.0161418       0.24869886      0.0173372        -2.68%      2.73%
         102         104          0.15921864     0.00986186       0.15571716     0.00936862       0.16319339      0.0101144        -2.20%      2.50%
         104         106          0.16775159      0.0212524       0.16349486      0.0198613       0.17205810      0.0218064        -2.54%      2.57%
         106         108          0.11562106      0.0103394       0.11282918      0.0101044       0.11843270      0.0105965        -2.41%      2.43%
         108         110          0.10172547     0.00311755      0.098978452     0.00302991       0.10424330     0.00321439        -2.70%      2.48%
         110         112         0.085321745     0.00793807      0.082476784     0.00779812      0.087420067     0.00803274        -3.33%      2.46%
         112         114         0.063046724     0.00634874      0.061441473     0.00610920      0.064628998     0.00651922        -2.55%      2.51%
         114         116         0.074154416     0.00744129      0.072200861     0.00724080      0.075970975     0.00763023        -2.63%      2.45%
         116         118         0.071766129     0.00605452      0.070312362     0.00592383      0.073569452     0.00621766        -2.03%      2.51%
         118         120         0.038298098     0.00901270      0.037526502     0.00914567      0.039125612     0.00920882        -2.01%      2.16%
         120         122         0.044918595     0.00502243      0.043272923     0.00501034      0.046214512     0.00501979        -3.66%      2.89%
         122         124         0.025532492      0.0136051      0.024933103      0.0141589      0.026355699      0.0130198        -2.35%      3.22%
         124         126         0.047402678     0.00567250      0.046332371     0.00555434      0.048570983     0.00581873        -2.26%      2.46%
         126         128         0.033584731     0.00181587      0.032888599     0.00177668      0.034435098     0.00187322        -2.07%      2.53%
         128         130         0.027926716     0.00548842      0.027119221     0.00533246      0.028559518     0.00561508        -2.89%      2.27%
         130         132         0.033619254     0.00174544      0.032771989     0.00170099      0.034422405     0.00179412        -2.52%      2.39%
         132         134         0.025435282     0.00179054      0.024856715     0.00175279      0.026059551     0.00184271        -2.27%      2.45%
         134         136         0.024205332     0.00175248      0.023730757     0.00171529      0.024794017     0.00179908        -1.96%      2.43%
         136         138         0.014179377     0.00723766      0.013903282     0.00689770      0.014491417     0.00739728        -1.95%      2.20%
         138         140         0.024922364     0.00168702      0.024298262     0.00162156      0.025562224     0.00173852        -2.50%      2.57%
         140         142         0.016612164     0.00455332      0.016282662     0.00446240      0.017020895     0.00466620        -1.98%      2.46%
         142         144         0.019900538     0.00181713      0.019417763     0.00175027      0.020415124     0.00186945        -2.43%      2.59%
         144         146         0.022385830     0.00183069      0.021906512     0.00182241      0.022873544     0.00187861        -2.14%      2.18%
         146         148         0.015892486     0.00261934      0.015485733     0.00260117      0.016326197     0.00269210        -2.56%      2.73%
         148         150         0.021625572     0.00402826      0.021233355     0.00395382      0.022112097     0.00412082        -1.81%      2.25%
         150         152         0.015231983     0.00110860      0.014923704     0.00108254      0.015614388     0.00114146        -2.02%      2.51%
         152         154        0.0081602361     0.00384282     0.0078533580     0.00384578     0.0084111950     0.00382300        -3.76%      3.08%
         154         156         0.016522763     0.00157232      0.016160238     0.00153445      0.016972456     0.00161976        -2.19%      2.72%
         156         158         0.015067982     0.00154022      0.014637707     0.00148556      0.015434698     0.00158806        -2.86%      2.43%
         158         160         0.012854069     0.00161685      0.012542676     0.00155657      0.013122406     0.00165611        -2.42%      2.09%
         160         162         0.010596162     0.00170845      0.010374357     0.00165486      0.010868756     0.00175335        -2.09%      2.57%
         162         164         0.011427060     0.00142273      0.011093119     0.00141100      0.011681755     0.00143464        -2.92%      2.23%
         164         166         0.015056871     0.00127976      0.014780414     0.00125379      0.015399803     0.00131237        -1.84%      2.28%
         166         168         0.012913694     0.00119227      0.012644113     0.00116256      0.013248096     0.00122970        -2.09%      2.59%
         168         170         0.012388621    0.000649123      0.012150656    0.000645274      0.012670471    0.000669105        -1.92%      2.28%
