#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           20.023637      0.0379304        19.134570      0.0335470        20.676705      0.0400045        -4.44%      3.26%
           5          10           11.036598      0.0408108        10.429823      0.0362815        11.377515      0.0450509        -5.50%      3.09%
          10          15           5.9637101      0.0828707        5.6570267      0.0735756        6.1613024      0.0913370        -5.14%      3.31%
          15          20           4.5472230      0.0858928        4.3243477      0.0761049        4.6968725      0.0948465        -4.90%      3.29%
          20          25           3.8275766      0.0529247        3.6512526      0.0477450        3.9460004      0.0575878        -4.61%      3.09%
          25          30           3.3849185      0.0528827        3.2498830      0.0479814        3.4701534      0.0572294        -3.99%      2.52%
          30          35           3.3592462      0.0594611        3.2214659      0.0545314        3.4497630      0.0636800        -4.10%      2.69%
          35          40           3.0348486       0.111771        2.9169790       0.106096        3.1109613       0.115920        -3.88%      2.51%
          40          45           2.0554704      0.0954875        1.9938922      0.0913790        2.0925855      0.0975298        -3.00%      1.81%
          45          50           1.5059857      0.0234885        1.4387064      0.0217807        1.5710258      0.0258609        -4.47%      4.32%
          50          55          0.93504267      0.0149060       0.89923039      0.0143423       0.97794028      0.0162226        -3.83%      4.59%
          55          60          0.68596227      0.0116498       0.66028997      0.0107110       0.71780746      0.0128243        -3.74%      4.64%
          60          65          0.48631320      0.0109381       0.46840265      0.0101000       0.50853034      0.0119886        -3.68%      4.57%
          65          70          0.39675987      0.0111789       0.38119688      0.0102699       0.41606498      0.0123152        -3.92%      4.87%
          70          75          0.28663421      0.0123290       0.27710523      0.0114797       0.29845443      0.0133982        -3.32%      4.12%
          75          80          0.24936002      0.0119222       0.23907716      0.0109299       0.26211540      0.0131610        -4.12%      5.12%
          80          85          0.18373809      0.0135941       0.17625640      0.0126348       0.19301875      0.0147975        -4.07%      5.05%
          85          90          0.14310949     0.00791854       0.13760560     0.00728801       0.14993679     0.00870742        -3.85%      4.77%
          90          95          0.11162260     0.00621537       0.10757175     0.00566526       0.11664749     0.00690052        -3.63%      4.50%
          95         100         0.094290241     0.00595753      0.090751304     0.00543560      0.098680115     0.00660785        -3.75%      4.66%
         100         105         0.092602914     0.00476829      0.088438973     0.00435599      0.097768074     0.00528201        -4.50%      5.58%
         105         110         0.068708967     0.00480369      0.065801248     0.00438374      0.072315846     0.00532680        -4.23%      5.25%
         110         115         0.055498094     0.00466009      0.053257140     0.00425276      0.058277884     0.00516756        -4.04%      5.01%
         115         120         0.048278404     0.00298160      0.046159337     0.00272998      0.050906999     0.00329548        -4.39%      5.44%
         120         125         0.041932411     0.00460409      0.040279691     0.00419151      0.044049564     0.00508505        -3.94%      5.05%
         125         130         0.029985900     0.00450770      0.028875106     0.00411194      0.031363785     0.00500075        -3.70%      4.60%
         130         135         0.035397317     0.00350832      0.033369856     0.00321666      0.037886254     0.00384770        -5.73%      7.03%
         135         140         0.027796024     0.00270627      0.026440366     0.00251007      0.029446779     0.00292711        -4.88%      5.94%
         140         145         0.028028488     0.00330828      0.026776295     0.00309348      0.029568673     0.00357184        -4.47%      5.50%
         145         150         0.020028773     0.00221349      0.018973925     0.00203480      0.021335859     0.00241779        -5.27%      6.53%
         150         155         0.021072955     0.00254150      0.019959991     0.00233238      0.022425050     0.00278231        -5.28%      6.42%
         155         160         0.017729030     0.00179782      0.016792255     0.00164787      0.018889717     0.00197434        -5.28%      6.55%
         160         165         0.014413223     0.00392584      0.013624944     0.00370362      0.015389737     0.00419384        -5.47%      6.78%
         165         170        0.0069091374     0.00242417     0.0064741734     0.00232564     0.0074523234     0.00254364        -6.30%      7.86%
         170         175        0.0065818325     0.00187947     0.0063218412     0.00167654     0.0069149188     0.00212800        -3.95%      5.06%
         175         180        0.0074316505     0.00255082     0.0071073228     0.00223957     0.0078573230     0.00293575        -4.36%      5.73%
         180         185        0.0091580512     0.00167171     0.0085936973     0.00147721     0.0098619824     0.00191569        -6.16%      7.69%
         185         190        0.0052354194     0.00157773     0.0048766181     0.00143824     0.0056891760     0.00175319        -6.85%      8.67%
         190         195        0.0087339455     0.00163764     0.0081097016     0.00148640     0.0094878010     0.00182215        -7.15%      8.63%
         195         200        0.0028270434    0.000787963     0.0026530887    0.000719815     0.0030574907    0.000874070        -6.15%      8.15%
         200         205        0.0053490241    0.000959801     0.0049976781    0.000871263     0.0057806590     0.00106560        -6.57%      8.07%
         205         210        0.0065613924    0.000787365     0.0060991789    0.000713987     0.0071285601    0.000875253        -7.04%      8.64%
