#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           21.888206      0.0235642        18.137175      0.0196326        25.748352      0.0276814       -17.14%     17.64%
           5          10           9.7704888      0.0170686        8.3479041      0.0146923        11.180825      0.0194478       -14.56%     14.43%
          10          15           4.7613421      0.0123451        4.1705791      0.0108827        5.3279417      0.0137535       -12.41%     11.90%
          15          20           3.4301689      0.0106234        3.0385230     0.00945666        3.8003938      0.0117334       -11.42%     10.79%
          20          25           2.9799201     0.00984979        2.6557669     0.00882278        3.2840770      0.0108215       -10.88%     10.21%
          25          30           2.8330997     0.00952277        2.5338464     0.00856633        3.1127459      0.0104249       -10.56%      9.87%
          30          35           2.7634740     0.00914070        2.4770251     0.00824915        3.0303944     0.00997835       -10.37%      9.66%
          35          40           2.6863135     0.00892629        2.4122302     0.00808384        2.9411897     0.00971672       -10.20%      9.49%
          40          45           2.2441267     0.00855696        2.0231466     0.00775889        2.4485704     0.00930319        -9.85%      9.11%
          45          50           1.0308606     0.00583455       0.94866760     0.00541234        1.1045838     0.00621825        -7.97%      7.15%
          50          55          0.61365413     0.00458815       0.57285179     0.00430688       0.64922498     0.00483560        -6.65%      5.80%
          55          60          0.42797416     0.00381955       0.40193287     0.00361117       0.45035556     0.00400060        -6.08%      5.23%
          60          65          0.32200023     0.00330418       0.30386072     0.00313089       0.33737270     0.00345199        -5.63%      4.77%
          65          70          0.24318651     0.00285406       0.23019512     0.00271705       0.25410301     0.00296981        -5.34%      4.49%
          70          75          0.19823804     0.00256769       0.18817957     0.00244889       0.20661501     0.00266743        -5.07%      4.23%
          75          80          0.15664897     0.00227702       0.14929214     0.00217659       0.16269465     0.00236036        -4.70%      3.86%
          80          85          0.12501282     0.00203982       0.11947261     0.00196388       0.12952491     0.00210221        -4.43%      3.61%
          85          90         0.096300730     0.00167233      0.092235902     0.00160946      0.099576750     0.00172342        -4.22%      3.40%
          90          95         0.081561807     0.00157519      0.078312659     0.00151948      0.084146798     0.00161968        -3.98%      3.17%
          95         100         0.065491867     0.00138967      0.063048558     0.00134021      0.067418276     0.00142934        -3.73%      2.94%
         100         105         0.055184996     0.00126408      0.053306811     0.00122701      0.056636539     0.00129284        -3.40%      2.63%
         105         110         0.045386000     0.00113481      0.043903723     0.00110187      0.046523221     0.00116047        -3.27%      2.51%
         110         115         0.038030436     0.00101599      0.036959400    0.000992076      0.038827313     0.00103434        -2.82%      2.10%
         115         120         0.031965358    0.000940042      0.031057119    0.000920541      0.032638580    0.000953929        -2.84%      2.11%
         120         125         0.026884930    0.000803121      0.026233471    0.000784058      0.027346302    0.000817136        -2.42%      1.72%
         125         130         0.023571946    0.000788514      0.023012531    0.000770202      0.023963990    0.000801676        -2.37%      1.66%
         130         135         0.019695579    0.000809432      0.019262842    0.000800214      0.019992179    0.000814495        -2.20%      1.51%
         135         140         0.016792022    0.000651762      0.016406025    0.000638690      0.017059768    0.000661189        -2.30%      1.59%
         140         145         0.014304330    0.000577003      0.014061655    0.000566535      0.014453545    0.000583902        -1.70%      1.04%
         145         150         0.011417800    0.000458983      0.011230890    0.000451813      0.011530644    0.000463477        -1.64%      0.99%
         150         155         0.010389238    0.000442094      0.010253691    0.000436448      0.010459706    0.000445220        -1.30%      0.68%
         155         160         0.010263039    0.000553600      0.010180471    0.000549517      0.010287636    0.000554905        -0.80%      0.24%
         160         165        0.0080426671    0.000459354     0.0079914074    0.000459103     0.0080502912    0.000457680        -0.64%      0.09%
         165         170        0.0067105439    0.000370061     0.0066637878    0.000367899     0.0067197775    0.000370341        -0.70%      0.14%
         170         175        0.0067872674    0.000376407     0.0067429262    0.000373009     0.0067933005    0.000377672        -0.65%      0.09%
         175         180        0.0058895589    0.000339340     0.0058737156    0.000339525     0.0058895589    0.000339340        -0.27%   0.00000%
         180         185        0.0054095407    0.000329370     0.0053784849    0.000326653     0.0054103560    0.000330220        -0.57%      0.02%
         185         190        0.0043981753    0.000273052     0.0043743970    0.000270739     0.0044005978    0.000274364        -0.54%      0.06%
         190         195        0.0041417811    0.000295749     0.0041219076    0.000293450     0.0041417811    0.000295749        -0.48%   0.00000%
         195         200        0.0038167034    0.000265492     0.0037973783    0.000265150     0.0038171656    0.000264532        -0.51%      0.01%
         200         205        0.0029569390    0.000210102     0.0029378556    0.000209737     0.0029626252    0.000209447        -0.65%      0.19%
         205         210        0.0031203655    0.000256976     0.0030929183    0.000255036     0.0031343773    0.000258015        -0.88%      0.45%
         210         215        0.0023756317    0.000206903     0.0023410718    0.000203941     0.0024020676    0.000209248        -1.45%      1.11%
         215         220        0.0019122199    0.000174754     0.0018893365    0.000173032     0.0019277070    0.000175856        -1.20%      0.81%
         220         225        0.0023925929    0.000275315     0.0023697432    0.000271592     0.0024049663    0.000278011        -0.96%      0.52%
         225         230        0.0019750969    0.000177804     0.0019375757    0.000174244     0.0020072740    0.000180991        -1.90%      1.63%
         230         235        0.0018145946    0.000203904     0.0017952911    0.000202759     0.0018262119    0.000204062        -1.06%      0.64%
         235         240        0.0014094840    0.000126469     0.0013839154    0.000124221     0.0014312733    0.000128476        -1.81%      1.55%
         240         245        0.0015831291    0.000161641     0.0015557147    0.000159354     0.0016054851    0.000163378        -1.73%      1.41%
         245         250        0.0015842313    0.000151814     0.0015578578    0.000149367     0.0016055418    0.000153834        -1.66%      1.35%
         250         255        0.0013976186    0.000136746     0.0013680806    0.000133744     0.0014237646    0.000139496        -2.11%      1.87%
         255         260       0.00091832280    0.000112147    0.00090186757    0.000109885    0.00093195263    0.000114206        -1.79%      1.48%
         260         265        0.0011817381    0.000154794     0.0011590456    0.000152257     0.0012010600    0.000156862        -1.92%      1.64%
         265         270       0.00087841380    0.000126074    0.00085370344    0.000121873    0.00090203580    0.000130276        -2.81%      2.69%
