#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           12.716873      0.0191654        10.168354      0.0154107        15.413043      0.0231527       -20.04%     21.20%
           5          10           8.1213817      0.0151732        6.7485905      0.0127008        9.5143442      0.0176910       -16.90%     17.15%
          10          15           4.6920249      0.0122774        4.0701716      0.0107455        5.2930320      0.0137559       -13.25%     12.81%
          15          20           5.3526151      0.0137073        4.7029143      0.0121141        5.9696842      0.0152205       -12.14%     11.53%
          20          25           5.8124297      0.0140277        5.1254114      0.0124269        6.4620456      0.0155436       -11.82%     11.18%
          25          30           5.1053667      0.0126086        4.5182984      0.0112069        5.6584689      0.0139332       -11.50%     10.83%
          30          35           4.3770451      0.0108381        3.8980017     0.00970798        4.8255919      0.0119021       -10.94%     10.25%
          35          40           3.6450487     0.00920272        3.2778362     0.00836303        3.9851948     0.00998258       -10.07%      9.33%
          40          45           2.5966094     0.00846425        2.3684375     0.00779799        2.8038480     0.00907071        -8.79%      7.98%
          45          50           1.1265469     0.00645754        1.0489346     0.00604426        1.1944410     0.00682262        -6.89%      6.03%
          50          55          0.75266784     0.00533187       0.70826804     0.00504059       0.79052339     0.00558301        -5.90%      5.03%
          55          60          0.56993877     0.00456048       0.53773620     0.00432336       0.59717176     0.00476287        -5.65%      4.78%
          60          65          0.43304032     0.00390278       0.41053502     0.00372100       0.45182073     0.00405603        -5.20%      4.34%
          65          70          0.33399542     0.00334882       0.31749531     0.00319836       0.34764090     0.00347415        -4.94%      4.09%
          70          75          0.26818110     0.00300255       0.25571765     0.00287490       0.27838268     0.00310783        -4.65%      3.80%
          75          80          0.20889033     0.00259274       0.19964628     0.00248740       0.21638701     0.00267887        -4.43%      3.59%
          80          85          0.16176409     0.00219920       0.15509976     0.00211531       0.16709321     0.00226691        -4.12%      3.29%
          85          90          0.12737731     0.00195933       0.12267974     0.00190274       0.13106234     0.00200330        -3.69%      2.89%
          90          95          0.10671248     0.00177166       0.10295936     0.00171346       0.10961638     0.00181715        -3.52%      2.72%
          95         100         0.086408858     0.00160051      0.083559586     0.00155333      0.088586390     0.00163688        -3.30%      2.52%
         100         105         0.071275325     0.00137062      0.069163668     0.00133457      0.072851203     0.00139792        -2.96%      2.21%
         105         110         0.060893004     0.00128115      0.059208399     0.00125013      0.062127775     0.00130446        -2.77%      2.03%
         110         115         0.046830653     0.00108648      0.045654491     0.00106051      0.047667882     0.00110534        -2.51%      1.79%
         115         120         0.042762322     0.00109574      0.041862186     0.00107915      0.043367697     0.00110626        -2.10%      1.42%
         120         125         0.035057685    0.000924431      0.034366902    0.000907962      0.035508362    0.000935372        -1.97%      1.29%
         125         130         0.030746844    0.000870032      0.030153835    0.000851894      0.031131068    0.000882627        -1.93%      1.25%
         130         135         0.024780381    0.000742323      0.024359423    0.000729857      0.025038358    0.000750418        -1.70%      1.04%
         135         140         0.021607035    0.000723606      0.021264884    0.000712704      0.021808193    0.000730247        -1.58%      0.93%
         140         145         0.019169964    0.000633860      0.018959593    0.000626880      0.019264557    0.000637288        -1.10%      0.49%
         145         150         0.015697088    0.000626680      0.015527349    0.000620943      0.015771524    0.000629023        -1.08%      0.47%
         150         155         0.014636811    0.000571113      0.014528141    0.000565041      0.014663567    0.000574053        -0.74%      0.18%
         155         160         0.013367803    0.000572789      0.013326527    0.000575025      0.013367803    0.000572789        -0.31%   0.00000%
         160         165         0.010577674    0.000449387      0.010541907    0.000448065      0.010577674    0.000449387        -0.34%   0.00000%
         165         170        0.0097438922    0.000419821     0.0097079368    0.000417690     0.0097438922    0.000419821        -0.37%   0.00000%
         170         175        0.0090920322    0.000451422     0.0090574838    0.000449671     0.0090920322    0.000451422        -0.38%   0.00000%
         175         180        0.0078976352    0.000393647     0.0078591034    0.000392040     0.0078978956    0.000393629        -0.49%     0.003%
         180         185        0.0065979204    0.000361599     0.0065476666    0.000358571     0.0066186017    0.000363362        -0.76%      0.31%
         185         190        0.0062738634    0.000338829     0.0062034411    0.000335220     0.0063187572    0.000341244        -1.12%      0.72%
         190         195        0.0060667962    0.000405241     0.0060289519    0.000404297     0.0060759687    0.000404166        -0.62%      0.15%
         195         200        0.0044285099    0.000278550     0.0043788915    0.000276602     0.0044607928    0.000279376        -1.12%      0.73%
         200         205        0.0047992128    0.000345757     0.0047347736    0.000342565     0.0048465191    0.000347731        -1.34%      0.99%
         205         210        0.0040309621    0.000283090     0.0039590789    0.000279078     0.0040917719    0.000286395        -1.78%      1.51%
         210         215        0.0035919977    0.000293806     0.0035310452    0.000288281     0.0036418914    0.000298730        -1.70%      1.39%
         215         220        0.0032400663    0.000240316     0.0031777948    0.000236302     0.0032928816    0.000243677        -1.92%      1.63%
         220         225        0.0032749969    0.000255755     0.0032128248    0.000249674     0.0033286242    0.000261726        -1.90%      1.64%
         225         230        0.0027163481    0.000219207     0.0026653060    0.000215243     0.0027594756    0.000222570        -1.88%      1.59%
         230         235        0.0020055004    0.000171078     0.0019694664    0.000168628     0.0020353473    0.000172941        -1.80%      1.49%
         235         240        0.0018313628    0.000180717     0.0017859544    0.000176354     0.0018737674    0.000184776        -2.48%      2.32%
         240         245        0.0018385491    0.000161084     0.0017903597    0.000157302     0.0018839767    0.000164603        -2.62%      2.47%
         245         250        0.0018612267    0.000171951     0.0018083723    0.000168106     0.0019121547    0.000175524        -2.84%      2.74%
         250         255        0.0016948102    0.000175718     0.0016463054    0.000169923     0.0017416643    0.000181722        -2.86%      2.76%
