#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5                   0              0                0              0                0              0            0%         0%
           5          10          0.36728124     0.00109585       0.28428173    0.000851528       0.45848200     0.00136671       -22.60%     24.83%
          10          15           4.4341020     0.00369104        3.4781445     0.00290497        5.4659178     0.00454552       -21.56%     23.27%
          15          20           4.6580317     0.00382587        3.7095248     0.00305332        5.6615143     0.00464745       -20.36%     21.54%
          20          25           3.4160456     0.00330367        2.7567927     0.00266905        4.1020013     0.00396665       -19.30%     20.08%
          25          30           2.4177152     0.00279000        1.9744216     0.00227974        2.8726685     0.00331540       -18.34%     18.82%
          30          35           1.7237268     0.00234660        1.4223468     0.00193681        2.0295272     0.00276374       -17.48%     17.74%
          35          40           1.2588955     0.00200131        1.0485609     0.00166706        1.4702244     0.00233829       -16.71%     16.79%
          40          45          0.94026014     0.00172884       0.78953384     0.00145175        1.0904234     0.00200591       -16.03%     15.97%
          45          50          0.71897265     0.00151052       0.60817463     0.00127772       0.82850782     0.00174167       -15.41%     15.23%
          50          55          0.56173309     0.00133341       0.47834859     0.00113534       0.64358910     0.00152884       -14.84%     14.57%
          55          60          0.45092716     0.00119467       0.38628707     0.00102355       0.51398273     0.00136243       -14.33%     13.98%
          60          65          0.37536582     0.00109094       0.32319006    0.000939351       0.42598173     0.00123888       -13.90%     13.48%
          65          70          0.32739796     0.00102037       0.28314219    0.000882623       0.37012354     0.00115432       -13.52%     13.05%
          70          75          0.31890067     0.00100575       0.27668677    0.000872227       0.35951168     0.00113577       -13.24%     12.73%
          75          80          0.37547288     0.00107195       0.32675827    0.000933445       0.42218842     0.00120635       -12.97%     12.44%
          80          85          0.69005942     0.00141523       0.60204111     0.00123475       0.77423002     0.00159074       -12.76%     12.20%
          85          90           4.1622106     0.00357784        3.6465177     0.00313467        4.6529512     0.00400729       -12.39%     11.79%
          90          95           14.112263     0.00682745        12.398183     0.00600080        15.737926     0.00762463       -12.15%     11.52%
          95         100           1.8189909     0.00245174        1.6072461     0.00216573        2.0183574     0.00272528       -11.64%     10.96%
         100         105           1.2254996     0.00196755        1.0890585     0.00174839        1.3529878     0.00217465       -11.13%     10.40%
         105         110           1.0148965     0.00180469       0.90540634     0.00160990        1.1166667     0.00198763       -10.79%     10.03%
         110         115          0.84049253     0.00164156       0.75231350     0.00146890       0.92207825     0.00180299       -10.49%      9.71%
         115         120          0.69731668     0.00149097       0.62617132     0.00133834       0.76285380     0.00163296       -10.20%      9.40%
         120         125          0.58460491     0.00137943       0.52649609     0.00124191       0.63790932     0.00150678        -9.94%      9.12%
         125         130          0.49402700     0.00126809       0.44616813     0.00114481       0.53774507     0.00138177        -9.69%      8.85%
         130         135          0.41850354     0.00117965       0.37889997     0.00106667       0.45454801     0.00128396        -9.46%      8.61%
         135         140          0.36073985     0.00109633       0.32743680    0.000994664       0.39093217     0.00118947        -9.23%      8.37%
         140         145          0.31013637     0.00101010       0.28222120    0.000918680       0.33534395     0.00109348        -9.00%      8.13%
         145         150          0.26897714    0.000951633       0.24534438    0.000867540       0.29023462     0.00102804        -8.79%      7.90%
         150         155          0.23677384    0.000900848       0.21639834    0.000822868       0.25504684    0.000971563        -8.61%      7.72%
         155         160          0.20744831    0.000843779       0.19003605    0.000772285       0.22300200    0.000908437        -8.39%      7.50%
         160         165          0.18478227    0.000793776       0.16963939    0.000728280       0.19825841    0.000852725        -8.19%      7.29%
         165         170          0.16790691    0.000747292       0.15443430    0.000686832       0.17985703    0.000801584        -8.02%      7.12%
         170         175          0.15599114    0.000724458       0.14371618    0.000665708       0.16684964    0.000777760        -7.87%      6.96%
         175         180          0.15428852    0.000721790       0.14242286    0.000665891       0.16474583    0.000771712        -7.69%      6.78%
         180         185          0.19702914    0.000795743       0.18204322    0.000734861       0.21021726    0.000850253        -7.61%      6.69%
         185         190          0.27933537    0.000957601       0.25832719    0.000884501       0.29779840     0.00102352        -7.52%      6.61%
         190         195          0.31372042     0.00101927       0.29068652    0.000943384       0.33388953     0.00108740        -7.34%      6.43%
