#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10           24.960076      0.0387274        21.502354      0.0308491        28.394493      0.0473599       -13.85%     13.76%
          10          20           1.1089782      0.0108649        1.0036273     0.00991778        1.2063500      0.0117578        -9.50%      8.78%
          20          30          0.40155766     0.00627576       0.36628392     0.00596328       0.43382200     0.00655372        -8.78%      8.03%
          30          40          0.16919040     0.00260042       0.15555378     0.00241245       0.18152800     0.00277487        -8.06%      7.29%
          40          50         0.058433596     0.00189493      0.054927289     0.00179123      0.061462271     0.00198334        -6.00%      5.18%
          50          60         0.025687092     0.00136390      0.024521761     0.00131768      0.026644855     0.00139919        -4.54%      3.73%
          60          70         0.014494151    0.000656352      0.013941536    0.000634050      0.014936057    0.000673962        -3.81%      3.05%
          70          80        0.0091079714    0.000670635     0.0087878872    0.000636557     0.0093581958    0.000699255        -3.51%      2.75%
          80          90        0.0050002743    0.000263304     0.0048732067    0.000258278     0.0050926294    0.000266641        -2.54%      1.85%
          90         100        0.0032207234    0.000229674     0.0031388618    0.000222699     0.0032793349    0.000234931        -2.54%      1.82%
         100         110        0.0021327033    0.000184991     0.0021006534    0.000184264     0.0021516466    0.000184806        -1.50%      0.89%
         110         120        0.0014705358    0.000172917     0.0014441629    0.000168747     0.0014870487    0.000175778        -1.79%      1.12%
         120         130        0.0011870565    0.000120540     0.0011701102    0.000116619     0.0011964364    0.000123525        -1.43%      0.79%
         130         140       0.00075198348    6.64435e-05    0.00074889310    6.57108e-05    0.00075198348    6.64435e-05        -0.41%   0.00000%
         140         150       0.00067019439    5.88567e-05    0.00066735261    5.84534e-05    0.00067019439    5.88567e-05        -0.42%   0.00000%
         150         160       0.00043192090    7.10428e-05    0.00042370873    6.83129e-05    0.00043907160    7.38387e-05        -1.90%      1.66%
         160         170       0.00024825998    2.46461e-05    0.00024674568    2.46964e-05    0.00024871954    2.44749e-05        -0.61%      0.19%
         170         180       0.00029264774    5.31008e-05    0.00029098752    5.30934e-05    0.00029298414    5.28714e-05        -0.57%      0.11%
         180         190       0.00017042641    2.35485e-05    0.00016754624    2.31810e-05    0.00017284973    2.38648e-05        -1.69%      1.42%
         190         200       0.00022692892    3.31694e-05    0.00022194241    3.22930e-05    0.00023147188    3.40150e-05        -2.20%      2.00%
         200         210       3.4699020e-05    1.28950e-05    3.3556155e-05    1.24257e-05    3.5845407e-05    1.33660e-05        -3.29%      3.30%
         210         220       0.00010325649    2.07045e-05    9.9188189e-05    1.97812e-05    0.00010745034    2.16749e-05        -3.94%      4.06%
         220         230       8.7176340e-05    1.67044e-05    8.5585950e-05    1.64716e-05    8.8549514e-05    1.68828e-05        -1.82%      1.58%
         230         240       0.00011353899    1.90305e-05    0.00011062463    1.86541e-05    0.00011630242    1.93766e-05        -2.57%      2.43%
         240         250       0.00013985681    5.30546e-05    0.00013710068    5.22750e-05    0.00014217192    5.36052e-05        -1.97%      1.66%
         250         260       4.6079628e-05    1.29883e-05    4.4666222e-05    1.25646e-05    4.7472226e-05    1.34014e-05        -3.07%      3.02%
         260         270       2.0307768e-05    3.96662e-06    1.9441870e-05    3.75699e-06    2.1241040e-05    4.21127e-06        -4.26%      4.60%
         270         280       3.8160884e-05    6.52395e-06    3.6642730e-05    6.25732e-06    3.9729919e-05    6.80103e-06        -3.98%      4.11%
         280         290       5.2263075e-05    1.60215e-05    5.0250768e-05    1.53438e-05    5.4311690e-05    1.67222e-05        -3.85%      3.92%
         290         300       2.7283906e-05    1.20141e-05    2.6739121e-05    1.18829e-05    2.7758608e-05    1.20962e-05        -2.00%      1.74%
         300         310       1.5898288e-05    5.19927e-06    1.5142927e-05    4.90736e-06    1.6699608e-05    5.51568e-06        -4.75%      5.04%
         310         320       1.9209241e-05    6.42539e-06    1.7973729e-05    5.91043e-06    2.0588619e-05    7.01228e-06        -6.43%      7.18%
         320         330       6.3093147e-06    1.19935e-06    6.0797809e-06    1.16251e-06    6.5428958e-06    1.23646e-06        -3.64%      3.70%
         330         340       4.0691374e-05    1.37974e-05    3.8865605e-05    1.31540e-05    4.2635569e-05    1.44945e-05        -4.49%      4.78%
         340         350       5.3222074e-06    1.29241e-06    5.0629007e-06    1.23054e-06    5.5992164e-06    1.35928e-06        -4.87%      5.20%
         350         360       4.2376472e-06    2.15650e-06    3.8638938e-06    1.95268e-06    4.6609168e-06    2.38790e-06        -8.82%      9.99%
         360         370       2.1076463e-08    9.14382e-09    1.9226749e-08    8.34360e-09    2.3254031e-08    1.00792e-08        -8.78%     10.33%
         370         380       8.9395263e-06    4.40766e-06    8.4966763e-06    4.21050e-06    9.4106990e-06    4.61263e-06        -4.95%      5.27%
         380         390       6.6127880e-06    1.81519e-06    6.2837011e-06    1.72847e-06    6.9647028e-06    1.90829e-06        -4.98%      5.32%
         390         400       3.6341280e-06    1.13532e-06    3.4906947e-06    1.09559e-06    3.7822969e-06    1.17559e-06        -3.95%      4.08%
         400         410       1.8540031e-05    1.14860e-05    1.7947200e-05    1.11594e-05    1.9114239e-05    1.17908e-05        -3.20%      3.10%
         410         420       1.0393597e-06    2.71522e-07    9.5575750e-07    2.51330e-07    1.1379815e-06    2.95405e-07        -8.04%      9.49%
         420         430       1.0359486e-05    4.53204e-06    9.6843438e-06    4.32543e-06    1.1141041e-05    4.76202e-06        -6.52%      7.54%
         430         440       8.7754304e-06    5.30432e-06    7.9481442e-06    4.78503e-06    9.7554426e-06    5.92207e-06        -9.43%     11.17%
         440         450       9.3861160e-07    2.40970e-07    8.7288344e-07    2.25230e-07    1.0138127e-06    2.58988e-07        -7.00%      8.01%
         450         460       2.1653648e-06    7.74856e-07    2.0135081e-06    7.18127e-07    2.3363192e-06    8.39075e-07        -7.01%      7.89%
         460         470       2.1167755e-06    1.10377e-06    1.9285813e-06    9.93714e-07    2.3386846e-06    1.23556e-06        -8.89%     10.48%
         470         480       4.2758001e-07    1.22464e-07    3.9904777e-07    1.13674e-07    4.5955886e-07    1.32432e-07        -6.67%      7.48%
         480         490       3.1666489e-06    1.62786e-06    2.9987586e-06    1.54399e-06    3.3474820e-06    1.71752e-06        -5.30%      5.71%
         490         500       1.4561541e-06    5.54570e-07    1.3021580e-06    4.92771e-07    1.6427495e-06    6.30465e-07       -10.58%     12.81%
