#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           20.250680      0.0712178        16.825444      0.0549993        23.770567      0.0888547       -16.91%     17.38%
           5          10           9.3130880      0.0134807        7.9708608      0.0115969        10.643414      0.0153791       -14.41%     14.28%
          10          15           4.6804225      0.0129078        4.1008766      0.0114063        5.2370948      0.0143597       -12.38%     11.89%
          15          20           3.3775492      0.0118760        2.9926462      0.0105665        3.7420085      0.0131334       -11.40%     10.79%
          20          25           2.9406564      0.0133124        2.6204939      0.0118285        3.2416832      0.0147290       -10.89%     10.24%
          25          30           2.7171765      0.0163896        2.4313298      0.0146659        2.9846608      0.0180033       -10.52%      9.84%
          30          35           2.5908904      0.0156554        2.3228674      0.0141141        2.8411707      0.0170894       -10.34%      9.66%
          35          40           2.4128523      0.0124804        2.1674260      0.0112727        2.6414706      0.0136151       -10.17%      9.48%
          40          45           1.9297170      0.0110178        1.7417457     0.00994981        2.1038602      0.0120155        -9.74%      9.02%
          45          50          0.90880515     0.00876118       0.83809622     0.00817003       0.97222996     0.00930911        -7.78%      6.98%
          50          55          0.53677740     0.00519597       0.50044252     0.00489630       0.56863383     0.00545709        -6.77%      5.93%
          55          60          0.39685653     0.00592678       0.37268317     0.00559095       0.41769259     0.00621401        -6.09%      5.25%
          60          65          0.28828061     0.00570750       0.27136354     0.00553001       0.30276078     0.00585280        -5.87%      5.02%
          65          70          0.22535902     0.00371218       0.21311812     0.00351439       0.23570514     0.00388034        -5.43%      4.59%
          70          75          0.17268642     0.00250371       0.16380904     0.00238908       0.18012748     0.00259965        -5.14%      4.31%
          75          80          0.14247568     0.00236579       0.13541621     0.00225503       0.14835652     0.00245845        -4.95%      4.13%
          80          85          0.11404626     0.00385226       0.10893059     0.00364175       0.11823683     0.00402961        -4.49%      3.67%
          85          90         0.088704919     0.00246587      0.085080688     0.00235423      0.091616753     0.00256234        -4.09%      3.28%
          90          95         0.069341317     0.00131157      0.066561217     0.00125999      0.071570253     0.00135350        -4.01%      3.21%
          95         100         0.051194901     0.00394120      0.049343183     0.00374277      0.052654859     0.00410643        -3.62%      2.85%
         100         105         0.049563278     0.00123530      0.047680579     0.00118389      0.051061130     0.00128195        -3.80%      3.02%
         105         110         0.038920328     0.00221835      0.037687629     0.00214456      0.039860009     0.00227712        -3.17%      2.41%
         110         115         0.030461176     0.00115781      0.029542025     0.00111556      0.031155598     0.00119186        -3.02%      2.28%
         115         120         0.024626634     0.00197110      0.023935409     0.00191245      0.025143010     0.00201420        -2.81%      2.10%
         120         125         0.019065885     0.00115420      0.018645202     0.00111272      0.019359321     0.00118710        -2.21%      1.54%
         125         130         0.020751226     0.00196540      0.020224177     0.00195109      0.021132008     0.00196880        -2.54%      1.83%
         130         135         0.017594236    0.000751493      0.017181237    0.000749677      0.017885470    0.000751105        -2.35%      1.66%
         135         140         0.011762949     0.00141065      0.011529213     0.00138287      0.011921368     0.00142847        -1.99%      1.35%
         140         145         0.011218889    0.000643286      0.011016855    0.000637837      0.011348342    0.000645270        -1.80%      1.15%
         145         150         0.010648633    0.000595592      0.010459974    0.000583446      0.010770256    0.000603794        -1.77%      1.14%
         150         155        0.0083209412    0.000530511     0.0082291498    0.000519862     0.0083647522    0.000537758        -1.10%      0.53%
         155         160        0.0083456945    0.000414505     0.0082827721    0.000409206     0.0083626699    0.000417503        -0.75%      0.20%
         160         165        0.0083597087    0.000531424     0.0083045975    0.000538836     0.0083704199    0.000522617        -0.66%      0.13%
         165         170        0.0061085035    0.000484763     0.0060444380    0.000483876     0.0061363977    0.000483696        -1.05%      0.46%
         170         175        0.0039142695    0.000661859     0.0038774880    0.000666598     0.0039297622    0.000654460        -0.94%      0.40%
         175         180        0.0052101781    0.000510236     0.0051684911    0.000508971     0.0052233910    0.000509086        -0.80%      0.25%
         180         185        0.0034417251    0.000630283     0.0034225567    0.000632750     0.0034458963    0.000624111        -0.56%      0.12%
         185         190        0.0040843349    0.000653362     0.0040436714    0.000650282     0.0041003755    0.000653652         -1.0%      0.39%
         190         195        0.0038224551    0.000407111     0.0037968762    0.000411259     0.0038311192    0.000400410        -0.67%      0.23%
         195         200        0.0028066141    0.000524206     0.0027794474    0.000528348     0.0028242416    0.000516850        -0.97%      0.63%
         200         205        0.0022682738    0.000448926     0.0022426864    0.000447847     0.0022856465    0.000447762        -1.13%      0.77%
         205         210        0.0028880574    0.000264185     0.0028516837    0.000262382     0.0029139438    0.000264889        -1.26%      0.90%
         210         215        0.0028521666    0.000266030     0.0028207786    0.000263685     0.0028731470    0.000267259        -1.10%      0.74%
         215         220        0.0020888714    0.000260709     0.0020637022    0.000258447     0.0021068323    0.000261780        -1.20%      0.86%
         220         225        0.0012972904    0.000318398     0.0012806718    0.000314610     0.0013096492    0.000320861        -1.28%      0.95%
         225         230        0.0017363717    0.000127837     0.0017138605    0.000125174     0.0017528813    0.000130340        -1.30%      0.95%
         230         235        0.0018710574    0.000126272     0.0018424417    0.000122753     0.0018941791    0.000129771        -1.53%      1.24%
         235         240       0.00082032160    0.000309831    0.00079828580    0.000311369    0.00084135287    0.000306439        -2.69%      2.56%
         240         245        0.0013144467    0.000140456     0.0012953930    0.000136889     0.0013295105    0.000143826        -1.45%      1.15%
