#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           1.4612065      0.0780889      0.077377532      0.0968125        2.4556443      0.0608310       -94.70%     68.06%
           5          10           6.9990532      0.0405809        6.6657985      0.0480082        7.1273264      0.0373558        -4.76%      1.83%
          10          15           4.4525927      0.0327236        4.2735816      0.0288008        4.5323350      0.0365305        -4.02%      1.79%
          15          20           3.6688644      0.0428158        3.5314771      0.0381220        3.7476438      0.0472452        -3.74%      2.15%
          20          25           3.9287383      0.0743397        3.8034171      0.0659029        4.0000461      0.0823309        -3.19%      1.82%
          25          30           4.1507978      0.0819746        4.0708943      0.0727790        4.2024519      0.0841168        -1.93%      1.24%
          30          35           4.7820003      0.0888110        4.7045876      0.0792005        4.8349287      0.0896797        -1.62%      1.11%
          35          40           5.5591369       0.106583        5.4741743      0.0948408        5.6072347       0.117645        -1.53%      0.87%
          40          45           4.6817777      0.0818279        4.6093224      0.0903128        4.7462801      0.0804931        -1.55%      1.38%
          45          50           3.8222423      0.0387318        3.6782591      0.0355951        3.9981542      0.0426036        -3.77%      4.60%
          50          55           2.4497376      0.0256626        2.3460200      0.0236286        2.5764548      0.0281779        -4.23%      5.17%
          55          60           1.7235880      0.0207497        1.6528862      0.0190896        1.8099682      0.0228009        -4.10%      5.01%
          60          65           1.3481861      0.0201001        1.2893928      0.0185101        1.4200169      0.0220667        -4.36%      5.33%
          65          70           1.0655586      0.0189493        1.0197921      0.0173382        1.1214740      0.0209297        -4.30%      5.25%
          70          75          0.80140312      0.0172529       0.76909552      0.0158863       0.84087501      0.0189430        -4.03%      4.93%
          75          80          0.62210794      0.0170563       0.59602749      0.0157022       0.65397179      0.0187304        -4.19%      5.12%
          80          85          0.54087422      0.0155499       0.51745893      0.0143179       0.56948190      0.0170733        -4.33%      5.29%
          85          90          0.41280611      0.0350578       0.39582682      0.0319612       0.43355060      0.0388506        -4.11%      5.03%
          90          95          0.37798201      0.0352211       0.35917722      0.0320959       0.40095682      0.0390474        -4.98%      6.08%
          95         100          0.27492711      0.0133635       0.26268664      0.0122600       0.28988193      0.0147234        -4.45%      5.44%
         100         105          0.25351089      0.0124702       0.24190232      0.0113813       0.26769369      0.0138053        -4.58%      5.59%
         105         110          0.21932293      0.0125649       0.20890100      0.0115009       0.23205596      0.0138731        -4.75%      5.81%
         110         115          0.17775563      0.0116461       0.16879816      0.0106533       0.18869943      0.0128661        -5.04%      6.16%
         115         120          0.13985813      0.0107245       0.13249411     0.00998032       0.14902164      0.0115591        -5.27%      6.55%
         120         125          0.12536515     0.00857348       0.11837945     0.00796881       0.13398252     0.00925926        -5.57%      6.87%
         125         130          0.11974820     0.00958412       0.11351819     0.00874481       0.12735973      0.0106130        -5.20%      6.36%
         130         135         0.093297789     0.00891913      0.088182350     0.00828914      0.099649278     0.00961886        -5.48%      6.81%
         135         140         0.084420284      0.0141392      0.079475690      0.0129801      0.090529182      0.0154547        -5.86%      7.24%
         140         145         0.061150389      0.0139158      0.057848956      0.0127580      0.065257577      0.0152315        -5.40%      6.72%
         145         150         0.060613815     0.00549073      0.057186128     0.00507639      0.064904771     0.00596044        -5.65%      7.08%
         150         155         0.064072661     0.00502502      0.060097458     0.00463211      0.068927505     0.00547279        -6.20%      7.58%
         155         160         0.034818165     0.00900623      0.033494811     0.00798996      0.036501708      0.0102231        -3.80%      4.84%
