#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           17.217894      0.0371653        16.218301      0.0424563        17.645580      0.0339426        -5.81%      2.48%
           5          10           10.220845      0.0542371        9.9939634      0.0477443        10.303123      0.0551172        -2.22%      0.81%
          10          15           5.5531845      0.0502378        5.4049481      0.0448141        5.6383906      0.0557737        -2.67%      1.53%
          15          20           4.2355769      0.0416933        4.1196159      0.0373369        4.3255016      0.0462859        -2.74%      2.12%
          20          25           3.5415471      0.0599857        3.4655696      0.0533489        3.6032354      0.0666182        -2.15%      1.74%
          25          30           3.2114225      0.0646055        3.1533930      0.0576866        3.2533391      0.0717527        -1.81%      1.31%
          30          35           3.1439735      0.0540065        3.0888139      0.0485197        3.1845148      0.0599768        -1.75%      1.29%
          35          40           3.0308801      0.0677563        2.9827490      0.0613847        3.0691134      0.0752553        -1.59%      1.26%
          40          45           2.4235554      0.0598162        2.3873206      0.0545364        2.4422472      0.0664343        -1.50%      0.77%
          45          50           1.5640330      0.0233930        1.5157895      0.0212846        1.6229746      0.0259705        -3.08%      3.77%
          50          55           1.0283467      0.0160244       0.99023379      0.0145831        1.0749112      0.0177867        -3.71%      4.53%
          55          60          0.68643615      0.0140775       0.66326512      0.0128106       0.71474540      0.0156266        -3.38%      4.12%
          60          65          0.55428404      0.0149644       0.53324378      0.0136137       0.57999003      0.0166154        -3.80%      4.64%
          65          70          0.38250903      0.0141585       0.37036814      0.0128797       0.39734218      0.0157217        -3.17%      3.88%
          70          75          0.33325453      0.0122857       0.32074182      0.0111761       0.34854197      0.0136420        -3.75%      4.59%
          75          80          0.25472838      0.0132340       0.24574104      0.0120369       0.26570869      0.0146970        -3.53%      4.31%
          80          85          0.21012051      0.0109895       0.20217239     0.00999574       0.21983116      0.0122041        -3.78%      4.62%
          85          90          0.15638798     0.00745483       0.15111742     0.00678234       0.16282732     0.00827692        -3.37%      4.12%
          90          95          0.14152813     0.00541593       0.13599996     0.00492893       0.14828217     0.00601145        -3.91%      4.77%
          95         100          0.10198946     0.00487704      0.098674502     0.00443835       0.10603952     0.00541345        -3.25%      3.97%
