#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0         0.1          0.64803017       0.184079       0.61046271       0.168337       0.69339419       0.203336        -5.80%      7.00%
         0.1         0.2           5.8942916      0.0902549        5.5538840      0.0835740        6.3101854      0.0984563        -5.78%      7.06%
         0.2         0.3           16.551950       0.435786        15.932239       0.398040        17.309084       0.482028        -3.74%      4.57%
         0.3         0.4           30.160626       0.658299        29.327559       0.601313        31.178427       0.728149        -2.76%      3.37%
         0.4         0.5           40.494201       0.995032        39.183557       0.903225        41.824497        1.10203        -3.24%      3.29%
         0.5         0.6           45.225385        1.04447        43.841929       0.946238        46.531077        1.15658        -3.06%      2.89%
         0.6         0.7           56.315526        4.56612        53.856257        4.10027        58.516857        5.07151        -4.37%      3.91%
         0.7         0.8           44.121089        4.53331        43.172157        4.06968        44.782524        5.03512        -2.15%      1.50%
         0.8         0.9           56.708676        1.64581        54.463174        1.47471        58.583389        1.82567        -3.96%      3.31%
         0.9           1           49.686072        1.86578        48.445556        1.66891        50.642456        2.07052        -2.50%      1.92%
           1         1.1           54.432861        2.73631        52.544607        2.48426        55.857893        3.03742        -3.47%      2.62%
         1.1         1.2           57.943512        2.89090        55.908305        2.62071        59.571424        3.21005        -3.51%      2.81%
         1.2         1.3           60.819537        1.95568        58.633332        1.72663        62.602997        2.17029        -3.59%      2.93%
         1.3         1.4           56.002054        1.90525        54.428115        1.68019        57.093069        2.11415        -2.81%      1.95%
         1.4         1.5           60.482855        2.08266        58.571554        1.84470        61.932479        2.31148        -3.16%      2.40%
         1.5         1.6           66.627962        1.91163        64.326620        1.69021        68.538676        2.11943        -3.45%      2.87%
         1.6         1.7           58.252506        2.21989        57.127013        1.94194        59.002106        2.46364        -1.93%      1.29%
         1.7         1.8           74.594507        2.69173        71.768269        2.32654        76.877480        2.98821        -3.79%      3.06%
         1.8         1.9           57.925139        2.36566        56.938097        2.70409        58.451730        2.26498        -1.70%      0.91%
         1.9           2           78.275695        2.68435        75.630893        2.27751        80.186668        2.98027        -3.38%      2.44%
           2         2.1           69.677884        2.76303        68.725136        3.19600        70.559220        2.60202        -1.37%      1.26%
         2.1         2.2           78.072486        2.59033        77.009323        2.25251        79.150258        2.87514        -1.36%      1.38%
         2.2         2.3           74.643751        3.24430        73.526786        3.66495        75.077601        3.14451        -1.50%      0.58%
         2.3         2.4           86.480042        3.36384        85.048694        3.82801        87.696263        3.23340        -1.66%      1.41%
         2.4         2.5           88.566760        2.92828        86.249804        3.41238        90.210238        2.73506        -2.62%      1.86%
         2.5         2.6           100.22860        2.88480        99.007049        2.47046        101.02969        2.74166        -1.22%      0.80%
         2.6         2.7           96.001706        4.59854        92.527117        5.08119        98.174858        4.29996        -3.62%      2.26%
         2.7         2.8           119.61599        5.26220        117.34481        5.91780        121.03210        5.11453        -1.90%      1.18%
         2.8         2.9           132.40226        4.95946        129.47356        5.53726        134.11889        4.84696        -2.21%      1.30%
         2.9           3           146.38065        4.21669        142.21476        4.75497        148.30577        4.08634        -2.85%      1.32%
           3         3.1           168.17784        4.71299        162.48384        5.33732        170.50916        4.54880        -3.39%      1.39%
         3.1         3.2           158.30395        4.54357        154.14665        5.14020        160.86566        4.13362        -2.63%      1.62%
         3.2         3.3           90.042151        3.50084        86.080942        3.90896        92.394535        3.18592        -4.40%      2.61%
         3.3         3.4           70.674690        2.68566        68.141937        3.00354        72.087633        2.44377        -3.58%      2.00%
         3.4         3.5           55.644968        3.51027        53.651302        3.89458        56.523978        3.20856        -3.58%      1.58%
         3.5         3.6           39.368735        3.39819        37.396261        3.77655        40.650100        3.09157        -5.01%      3.25%
         3.6         3.7           34.545834        2.50293        33.543256        2.80314        35.313608        2.27746        -2.90%      2.22%
         3.7         3.8           26.353596        2.66455        24.857162        3.02035        27.190739        2.42370        -5.68%      3.18%
         3.8         3.9           25.062189        2.41528        24.205583        2.72376        25.469757        2.19689        -3.42%      1.63%
         3.9           4           18.234701        1.74563        17.261644        1.96117        18.801992        1.58805        -5.34%      3.11%
           4         4.1           12.503365        1.94596        11.626483        2.16115        13.221091        1.76991        -7.01%      5.74%
         4.1         4.2           14.397189        2.21530        13.991306        2.46421        14.619063        2.01523        -2.82%      1.54%
         4.2         4.3           18.701745        3.88734        18.091550        3.49773        19.172091        4.31796        -3.26%      2.51%
         4.3         4.4           5.7699903        4.01541        5.0625082        4.46046        6.3490620        3.65115       -12.26%     10.04%
         4.4         4.5           8.0310231        1.54374        7.7525775        1.75164        8.2279867        1.40404        -3.47%      2.45%
         4.5         4.6           6.2980478        1.23136        5.9628313        1.38574        6.4977063        1.12006        -5.32%      3.17%
         4.6         4.7           4.3073686        1.25228        3.9588298        1.39992        4.5744111        1.13895        -8.09%      6.20%
         4.7         4.8           5.2157893        1.00141        4.9736753        1.09767        5.3546685        1.00079        -4.64%      2.66%
         4.8         4.9           3.4400688       0.928488        3.2366702        1.03113        3.6065499       0.844509        -5.91%      4.84%
         4.9           5           2.2783235       0.868755        2.0266702       0.972271        2.4840728       0.790128       -11.05%      9.03%
           5         5.1           4.5337068        1.01178        4.3969653       0.889537        4.6194787        1.12354        -3.02%      1.89%
         5.1         5.2           1.1024399       0.759751       0.86932743       0.843767        1.2932417       0.691028       -21.15%     17.31%
         5.2         5.3           2.6077104       0.562885        2.5731910       0.639586        2.6173349       0.512225        -1.32%      0.37%
         5.3         5.4           3.2971941       0.613505        3.1513852       0.539803        3.4300828       0.680909        -4.42%      4.03%
         5.4         5.5          0.52408546       0.487234       0.34675799       0.536727       0.67513328       0.434690       -33.84%     28.82%
         5.5         5.6           1.2764348       0.389369        1.2318557       0.432009        1.3188232       0.389718        -3.49%      3.32%
         5.6         5.7          0.27044749       0.280818       0.16418616       0.313859       0.35587546       0.247913       -39.29%     31.59%
