#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           15.898739      0.0653800        14.943664      0.0680155        16.293657      0.0650750        -6.01%      2.48%
           5          10           9.7611210      0.0534024        9.5608940      0.0474301        9.8268581      0.0541699        -2.05%      0.67%
          10          15           5.4322151      0.0511721        5.2908919      0.0460542        5.5155650      0.0564486        -2.60%      1.53%
          15          20           4.1775273      0.0434637        4.0648716      0.0393249        4.2662196      0.0478607        -2.70%      2.12%
          20          25           3.4887762      0.0610507        3.4136809      0.0546388        3.5495453      0.0674559        -2.15%      1.74%
          25          30           3.0797503      0.0645940        3.0254604      0.0581827        3.1199482      0.0712562        -1.76%      1.31%
          30          35           2.9318946      0.0532943        2.8806914      0.0484160        2.9697011      0.0586511        -1.75%      1.29%
          35          40           2.7226325      0.0624029        2.6807228      0.0568267        2.7569773      0.0690240        -1.54%      1.26%
          40          45           2.0739940      0.0524768        2.0458146      0.0481046        2.0899898      0.0580324        -1.36%      0.77%
          45          50           1.3767973      0.0243579        1.3343292      0.0225847        1.4286828      0.0265491        -3.08%      3.77%
          50          55          0.90736420      0.0164843       0.87373518      0.0152377       0.94845053      0.0180205        -3.71%      4.53%
          55          60          0.63191809      0.0159200       0.61058736      0.0147957       0.65797897      0.0173096        -3.38%      4.12%
          60          65          0.49558843      0.0165018       0.47677622      0.0153140       0.51857230      0.0179674        -3.80%      4.64%
          65          70          0.34658434      0.0139758       0.33558371      0.0128461       0.36002438      0.0153653        -3.17%      3.88%
          70          75          0.29456731      0.0115960       0.28350719      0.0106262       0.30808004      0.0127860        -3.75%      4.59%
          75          80          0.23310928      0.0126641       0.22488471      0.0115801       0.24315768      0.0139929        -3.53%      4.31%
          80          85          0.19556684      0.0121318       0.18816923      0.0112231       0.20460489      0.0132515        -3.78%      4.62%
          85          90          0.14111274     0.00774207       0.13635698     0.00715357       0.14692311     0.00846761        -3.37%      4.12%
          90          95          0.12174570     0.00513301       0.11699025     0.00471892       0.12755568     0.00564197        -3.91%      4.77%
          95         100         0.079764904     0.00720429      0.077172310     0.00685688      0.082932412     0.00763540        -3.25%      3.97%
         100         105         0.086397375     0.00720490      0.083054853     0.00658410      0.090481110     0.00796552        -3.87%      4.73%
         105         110         0.073171504     0.00763381      0.070063370     0.00705192      0.076968874     0.00834979        -4.25%      5.19%
         110         115         0.063229592     0.00653356      0.060256011     0.00597885      0.066862571     0.00721325        -4.70%      5.75%
         115         120         0.039431322     0.00670159      0.037844900     0.00625143      0.041495135     0.00721783        -4.02%      5.23%
         120         125         0.033281977     0.00346993      0.031821257     0.00322020      0.035145581     0.00376924        -4.39%      5.60%
         125         130         0.026258291     0.00863428      0.025518845     0.00802550      0.027304435     0.00931589        -2.82%      3.98%
