#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           2                   0              0                0              0                0              0            0%         0%
           2           4                   0              0                0              0                0              0            0%         0%
           4           6           41.481301      0.0549409        34.631677      0.0462089        48.288273      0.0637620       -16.51%     16.41%
           6           8           18.764273      0.0390055        15.815437      0.0330300        21.658928      0.0449643       -15.72%     15.43%
           8          10           10.427265      0.0287734        8.8374986      0.0244929        11.975699      0.0330014       -15.25%     14.85%
          10          12           6.5381139      0.0223859        5.5588131      0.0191135        7.4874941      0.0256005       -14.98%     14.52%
          12          14           4.4391407      0.0180834        3.7869160      0.0154828        5.0682963      0.0206247       -14.69%     14.17%
          14          16           3.1483059      0.0147518        2.6940445      0.0126627        3.5845598      0.0167851       -14.43%     13.86%
          16          18           2.3316887      0.0123866        1.9994989      0.0106509        2.6496918      0.0140711       -14.25%     13.64%
          18          20           1.7783064      0.0102825        1.5290571     0.00884973        2.0160207      0.0116699       -14.02%     13.37%
          20          22           1.3980651     0.00891263        1.2053198     0.00768754        1.5811792      0.0100951       -13.79%     13.10%
          22          24           1.1594843     0.00798393        1.0011274     0.00689226        1.3095325     0.00903519       -13.66%     12.94%
          24          26          0.96158973     0.00720852       0.83254866     0.00624675        1.0833504     0.00812948       -13.42%     12.66%
          26          28          0.84350559     0.00669186       0.73125667     0.00580304       0.94915205     0.00754076       -13.31%     12.52%
          28          30          0.75592701     0.00644004       0.65742405     0.00560767       0.84819784     0.00722972       -13.03%     12.21%
          30          32          0.67786698     0.00612692       0.59063125     0.00535144       0.75934674     0.00686004       -12.87%     12.02%
          32          34          0.66103473     0.00617701       0.57663390     0.00540236       0.73962635     0.00690431       -12.77%     11.89%
          34          36          0.59902613     0.00596388       0.52427167     0.00523645       0.66830012     0.00664302       -12.48%     11.56%
          36          38          0.59636085     0.00616592       0.52178351     0.00541305       0.66541630     0.00686709       -12.51%     11.58%
          38          40          0.58609707     0.00622023       0.51360899     0.00547301       0.65306982     0.00691541       -12.37%     11.43%
          40          42          0.61468060     0.00659385       0.53950949     0.00581396       0.68392642     0.00731503       -12.23%     11.27%
          42          44          0.64133505     0.00681964       0.56258391     0.00601029       0.71389046     0.00756950       -12.28%     11.31%
          44          46          0.65929269     0.00707997       0.57887362     0.00624111       0.73323598     0.00785434       -12.20%     11.22%
          46          48          0.67891379     0.00730131       0.59632185     0.00643936       0.75478864     0.00809698       -12.17%     11.18%
          48          50          0.72756232     0.00771311       0.63934597     0.00680396       0.80853556     0.00855121       -12.12%     11.13%
          50          52          0.76478225     0.00801771       0.67232191     0.00708277       0.84960875     0.00887842       -12.09%     11.09%
          52          54          0.81599582     0.00846276       0.71757107     0.00747401       0.90622597     0.00937196       -12.06%     11.06%
          54          56          0.87922180     0.00897726       0.77310245     0.00792691       0.97649869     0.00994381       -12.07%     11.06%
          56          58          0.92634182     0.00918557       0.81507096     0.00811956        1.0282889      0.0101657       -12.01%     11.01%
          58          60           1.0348468     0.00994914       0.90913708     0.00877970        1.1501644      0.0110256       -12.15%     11.14%
          60          62           1.0943579      0.0102882       0.96196961     0.00908434        1.2157489      0.0113952       -12.10%     11.09%
          62          64           1.1718888      0.0107680        1.0308709     0.00950876        1.3010284      0.0119248       -12.03%     11.02%
          64          66           1.2380939      0.0110701        1.0882733     0.00977253        1.3754220      0.0122639       -12.10%     11.09%
          66          68           1.3136254      0.0113783        1.1549602      0.0100473        1.4590141      0.0126022       -12.08%     11.07%
          68          70           1.4127002      0.0118600        1.2438348      0.0104849        1.5671869      0.0131223       -11.95%     10.94%
          70          72           1.4958830      0.0120111        1.3162707      0.0106062        1.6602875      0.0133020       -12.01%     10.99%
          72          74           1.5795353      0.0122599        1.3916444      0.0108423        1.7512955      0.0135601       -11.90%     10.87%
          74          76           1.6345286      0.0120393        1.4395482      0.0106432        1.8128732      0.0133214       -11.93%     10.91%
          76          78           1.7115665      0.0119086        1.5071910      0.0105155        1.8985503      0.0131893       -11.94%     10.92%
          78          80           1.7083804      0.0112371        1.5066210     0.00993695        1.8927001      0.0124310       -11.81%     10.79%
          80          82           1.6626186      0.0100427        1.4694351     0.00888942        1.8387135      0.0111007       -11.62%     10.59%
          82          84           1.5268527     0.00835344        1.3543643     0.00741860        1.6835586     0.00920992       -11.30%     10.26%
          84          86           1.3059023     0.00659589        1.1691896     0.00592608        1.4288570     0.00720482       -10.47%      9.42%
          86          88           1.3161274     0.00686425        1.2027291     0.00631119        1.4152626     0.00735465        -8.62%      7.53%
          88          90           3.1596733      0.0130605        2.9269746      0.0121765        3.3575881      0.0138208        -7.36%      6.26%
          90          92           9.3370387      0.0291881        8.6693243      0.0272740        9.9015960      0.0308245        -7.15%      6.05%
          92          94           4.1704339      0.0213186        3.8748488      0.0199249        4.4200752      0.0225148        -7.09%      5.99%
          94          96           1.2684440      0.0122316        1.1787422      0.0114143        1.3441805      0.0129376        -7.07%      5.97%
          96          98          0.56460785     0.00826073       0.52403546     0.00767948       0.59891737     0.00876369        -7.19%      6.08%
          98         100          0.36100842     0.00651244       0.33443845     0.00602721       0.38358630     0.00693869        -7.36%      6.25%
         100         102          0.24255041     0.00518155       0.22410329     0.00477336       0.25829399     0.00554146        -7.61%      6.49%
         102         104          0.17684932     0.00431806       0.16348255     0.00397650       0.18823038     0.00461816        -7.56%      6.44%
         104         106          0.14356536     0.00399229       0.13302116     0.00368855       0.15252927     0.00426153        -7.34%      6.24%
         106         108          0.11407560     0.00324541       0.10588450     0.00299822       0.12099541     0.00346221        -7.18%      6.07%
         108         110         0.089277661     0.00281498      0.082679015     0.00258671      0.094874949     0.00301586        -7.39%      6.27%
         110         112         0.080088428     0.00276686      0.074140307     0.00255247      0.085145338     0.00295613        -7.43%      6.31%
         112         114         0.066525960     0.00249520      0.061768554     0.00230945      0.070545726     0.00265783        -7.15%      6.04%
         114         116         0.057644098     0.00230126      0.053403390     0.00211582      0.061242117     0.00246461        -7.36%      6.24%
         116         118         0.049909577     0.00203253      0.046309273     0.00187532      0.052944081     0.00216950        -7.21%      6.08%
         118         120         0.046657481     0.00204569      0.043333872     0.00188771      0.049461287     0.00218416        -7.12%      6.01%
         120         122         0.040192960     0.00180088      0.037289720     0.00165147      0.042639314     0.00193165        -7.22%      6.09%
         122         124         0.034060391     0.00157289      0.031731575     0.00145459      0.036009610     0.00167564        -6.84%      5.72%
         124         126         0.032771354     0.00164193      0.030560344     0.00152848      0.034614291     0.00173956        -6.75%      5.62%
         126         128         0.034504401     0.00184488      0.032073545     0.00171578      0.036537996     0.00195503        -7.05%      5.89%
         128         130         0.032216180     0.00180977      0.030041902     0.00170176      0.034028987     0.00190336        -6.75%      5.63%
         130         132         0.029278944     0.00159582      0.027305941     0.00147766      0.030921385     0.00169783        -6.74%      5.61%
         132         134         0.027440599     0.00159587      0.025512259     0.00147200      0.029058298     0.00170319        -7.03%      5.90%
         134         136         0.022897573     0.00135070      0.021329777     0.00124370      0.024209015     0.00144398        -6.85%      5.73%
         136         138         0.024191241     0.00137565      0.022588056     0.00127439      0.025523849     0.00146262        -6.63%      5.51%
         138         140         0.021193308     0.00120142      0.019739195     0.00110320      0.022408749     0.00128652        -6.86%      5.74%
         140         142         0.019780838     0.00119202      0.018450185     0.00109733      0.020888947     0.00127382        -6.73%      5.60%
         142         144         0.020164442     0.00128659      0.018813826     0.00118348      0.021286868     0.00137569        -6.70%      5.57%
         144         146         0.015696175    0.000988919      0.014720404    0.000916508      0.016494815     0.00105059        -6.22%      5.09%
         146         148         0.015055471    0.000962172      0.014135777    0.000900386      0.015804195     0.00101390        -6.11%      4.97%
         148         150         0.013833860    0.000877733      0.012994742    0.000815054      0.014518901    0.000931040        -6.07%      4.95%
         150         152         0.013552640    0.000883117      0.012679739    0.000815818      0.014271031    0.000940501        -6.44%      5.30%
         152         154         0.013848481    0.000943934      0.012992474    0.000875477      0.014549611     0.00100223        -6.18%      5.06%
         154         156         0.012399513    0.000880011      0.011650957    0.000816553      0.013008296    0.000933542        -6.04%      4.91%
         156         158         0.012502150    0.000852235      0.011790645    0.000799096      0.013075392    0.000896376        -5.69%      4.59%
         158         160         0.012374784    0.000882033      0.011608814    0.000816896      0.013004238    0.000937929        -6.19%      5.09%
         160         162         0.010642420    0.000870735      0.010022313    0.000810065      0.011144957    0.000922107        -5.83%      4.72%
         162         164         0.010282715    0.000903513     0.0096566185    0.000842050      0.010795856    0.000956093        -6.09%      4.99%
         164         166         0.010218251    0.000830367     0.0096128564    0.000771384      0.010709661    0.000880261        -5.92%      4.81%
         166         168        0.0093255906    0.000719994     0.0087685682    0.000669411     0.0097774677    0.000762714        -5.97%      4.85%
         168         170        0.0097913236    0.000757412     0.0092227316    0.000708573      0.010251043    0.000798299        -5.81%      4.70%
