#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5                   0              0                0              0                0              0            0%         0%
           5          10          0.34361124     0.00884101       0.26627130     0.00692482       0.42599391      0.0108721       -22.51%     23.98%
          10          15           4.0323123      0.0165385        3.1758731      0.0129316        4.9291304      0.0203701       -21.24%     22.24%
          15          20           4.2960941      0.0159276        3.4385058      0.0127256        5.1781285      0.0192290       -19.96%     20.53%
          20          25           3.1788266      0.0130369        2.5789576      0.0105409        3.7864457      0.0155748       -18.87%     19.11%
          25          30           2.2465076      0.0113634        1.8442393     0.00928011        2.6486351      0.0134601       -17.91%     17.90%
          30          35           1.6370683      0.0104687        1.3571734     0.00867560        1.9137408      0.0122442       -17.10%     16.90%
          35          40           1.2005321      0.0101795        1.0046138     0.00852560        1.3921563      0.0117992       -16.32%     15.96%
          40          45          0.92647562      0.0104054       0.78147943     0.00879858        1.0669515      0.0119620       -15.65%     15.16%
          45          50          0.73196420     0.00860375       0.62260112     0.00732905       0.83692017     0.00982971       -14.94%     14.34%
          50          55          0.64348186     0.00766651       0.55102465     0.00655188       0.73142695     0.00873258       -14.37%     13.67%
          55          60          0.59009427     0.00962980       0.50946515     0.00842757       0.66604721      0.0107533       -13.66%     12.87%
          60          65          0.56655667      0.0109759       0.49075723     0.00947537       0.63753459      0.0123932       -13.38%     12.53%
          65          70          0.60925525     0.00957674       0.53122571     0.00824773       0.68169580      0.0108317       -12.81%     11.89%
          70          75          0.77397434     0.00987898       0.67706348     0.00871305       0.86346618      0.0109523       -12.52%     11.56%
          75          80           1.1433554      0.0130893        1.0015777      0.0115294        1.2739472      0.0145215       -12.40%     11.42%
          80          85           2.0667855      0.0167127        1.8119132      0.0147297        2.3012274      0.0185390       -12.33%     11.34%
          85          90           7.0133558      0.0446800        6.1555212      0.0394796        7.8015117      0.0494394       -12.23%     11.24%
          90          95           8.9013524      0.0496580        7.8176427      0.0438788        9.8976530      0.0549522       -12.17%     11.19%
          95         100           1.4406747      0.0163525        1.2745197      0.0144483        1.5920619      0.0181013       -11.53%     10.51%
         100         105           1.0744800      0.0242736       0.95366461      0.0219012        1.1839999      0.0263868       -11.24%     10.19%
         105         110          0.80190470      0.0245138       0.71353173      0.0221076       0.88173927      0.0266553       -11.02%      9.96%
         110         115          0.72662337      0.0160381       0.64975587      0.0146980       0.79562961      0.0172069       -10.58%      9.50%
         115         120          0.59434673      0.0100195       0.53191855     0.00899364       0.65027659      0.0109360       -10.50%      9.41%
         120         125          0.48926740     0.00864141       0.43941889     0.00771143       0.53372167     0.00947740       -10.19%      9.09%
         125         130          0.42825170      0.0135578       0.38541694      0.0125411       0.46626972      0.0144219       -10.00%      8.88%
         130         135          0.37088041      0.0108699       0.33508031     0.00978565       0.40249712      0.0118321        -9.65%      8.52%
         135         140          0.30202721      0.0102852       0.27360628     0.00931104       0.32701475      0.0111460        -9.41%      8.27%
         140         145          0.30471286      0.0127325       0.27627769      0.0114664       0.32964789      0.0138529        -9.33%      8.18%
         145         150          0.22974332      0.0119264       0.20918245      0.0107287       0.24765398      0.0129866        -8.95%      7.80%
         150         155          0.22411104     0.00513059       0.20438461     0.00471254       0.24126115     0.00549220        -8.80%      7.65%
         155         160          0.24147397      0.0247213       0.22017735      0.0224806       0.25997158      0.0266825        -8.82%      7.66%
         160         165          0.15527979      0.0236349       0.14235499      0.0214808       0.16636548      0.0255227        -8.32%      7.14%
         165         170          0.19568545     0.00981552       0.18010350     0.00899169       0.20897216      0.0105195        -7.96%      6.79%
         170         175          0.17243848     0.00751282       0.15879565     0.00689774       0.18406851     0.00803601        -7.91%      6.74%
         175         180          0.21551869     0.00492263       0.19835668     0.00453570       0.23013022     0.00526006        -7.96%      6.78%
         180         185          0.26867730     0.00972350       0.24819599     0.00897066       0.28597017      0.0103568        -7.62%      6.44%
         185         190          0.30405648      0.0112811       0.28080949      0.0104099       0.32370814      0.0120151        -7.65%      6.46%
         190         195          0.32173994      0.0164553       0.29777467      0.0154367       0.34190394      0.0172857        -7.45%      6.27%
         195         200          0.26659923      0.0157746       0.24756206      0.0148059       0.28248149      0.0165654        -7.14%      5.96%
         200         205          0.27113297     0.00960073       0.25185860     0.00898018       0.28721498      0.0101109        -7.11%      5.93%
         205         210          0.26284140     0.00825501       0.24448969     0.00772510       0.27811842     0.00869656        -6.98%      5.81%
         210         215          0.25947626      0.0103460       0.24173460     0.00970264       0.27416695      0.0108722        -6.84%      5.66%
         215         220          0.25323014     0.00862926       0.23618631     0.00815391       0.26731786     0.00900938        -6.73%      5.56%
         220         225          0.26053950      0.0420658       0.24251747      0.0387576       0.27545126      0.0448364        -6.92%      5.72%
         225         230          0.13628068      0.0411860       0.12878120      0.0379199       0.14228023      0.0439246        -5.50%      4.40%
         230         235          0.18493923     0.00865507       0.17350536     0.00813656       0.19423386     0.00907236        -6.18%      5.03%
         235         240          0.16644264     0.00699073       0.15589663     0.00659503       0.17506463     0.00730581        -6.34%      5.18%
         240         245          0.15624554     0.00741346       0.14645282     0.00706880       0.16421853     0.00767762        -6.27%      5.10%
         245         250          0.16481597     0.00527941       0.15522772     0.00498518       0.17253054     0.00551832        -5.82%      4.68%
         250         255          0.18191618      0.0183608       0.17150740      0.0171549       0.19023855      0.0193545        -5.72%      4.57%
         255         260         0.089247894      0.0181926      0.084687860      0.0169838      0.092818241      0.0191887        -5.11%      4.00%
         260         265          0.10702879     0.00536346       0.10102270     0.00507733       0.11182368     0.00558973        -5.61%      4.48%
         265         270          0.11284199     0.00861189       0.10679966     0.00821885       0.11761877     0.00892005        -5.35%      4.23%
         270         275         0.092670413     0.00779737      0.087887909     0.00745015      0.096416431     0.00806810        -5.16%      4.04%
         275         280          0.11043807     0.00522339       0.10481370     0.00499482       0.11484093     0.00539692        -5.09%      3.99%
         280         285         0.096793518     0.00465876      0.092038828     0.00443691       0.10048252     0.00483035        -4.91%      3.81%
         285         290         0.081007720     0.00535660      0.077166295     0.00511727      0.083970835     0.00554100        -4.74%      3.66%
         290         295         0.097709486     0.00690003      0.093137952     0.00658257       0.10121145     0.00714232        -4.68%      3.58%
         295         300         0.076081768     0.00438216      0.072540002     0.00418593      0.078798065     0.00453070        -4.66%      3.57%
         300         305         0.071503037     0.00577204      0.068176946     0.00551869      0.074054473     0.00596267        -4.65%      3.57%
         305         310         0.065011944     0.00572304      0.062277645     0.00547517      0.067058213     0.00590899        -4.21%      3.15%
         310         315         0.064391660     0.00275474      0.061494203     0.00263819      0.066597228     0.00284380        -4.50%      3.43%
         315         320         0.056651019     0.00464695      0.054261613     0.00447452      0.058442958     0.00477193        -4.22%      3.16%
         320         325         0.062558690     0.00688125      0.059841293     0.00658844      0.064627235     0.00710166        -4.34%      3.31%
