#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           2                   0              0                0              0                0              0            0%         0%
           2           4                   0              0                0              0                0              0            0%         0%
           4           6           41.329986      0.0315894        39.269381      0.0259401        42.629103      0.0362843        -4.99%      3.14%
           6           8           19.476061      0.0215436        18.472431      0.0179342        20.082413      0.0245363        -5.15%      3.11%
           8          10           11.104446      0.0156951        10.524236      0.0132027        11.447286      0.0177411        -5.23%      3.09%
          10          12           7.0178180      0.0121007        6.6572786      0.0102630        7.2266309      0.0136016        -5.14%      2.98%
          12          14           4.8041989     0.00962335        4.5538856     0.00822459        4.9474987      0.0107697        -5.21%      2.98%
          14          16           3.4420382     0.00798619        3.2641928     0.00686227        3.5428567     0.00888193        -5.17%      2.93%
          16          18           2.5682017     0.00666299        2.4362825     0.00576379        2.6409104     0.00737702        -5.14%      2.83%
          18          20           1.9765592     0.00558091        1.8759490     0.00483163        2.0325953     0.00654791        -5.09%      2.84%
          20          22           1.5679415     0.00470858        1.4900045     0.00409099        1.6112929     0.00552195        -4.97%      2.76%
          22          24           1.2980685     0.00420552        1.2309965     0.00366644        1.3380063     0.00491033        -5.17%      3.08%
          24          26           1.1006763     0.00378320        1.0443310     0.00331868        1.1345677     0.00439252        -5.12%      3.08%
          26          28          0.94412071     0.00341460       0.89797744     0.00300434       0.97108635     0.00395995        -4.89%      2.86%
          28          30          0.85192140     0.00318585       0.81186378     0.00281748       0.87512443     0.00368704        -4.70%      2.72%
          30          32          0.77528929     0.00302481       0.73779219     0.00268550       0.79790444     0.00348343        -4.84%      2.92%
          32          34          0.73568193     0.00297351       0.70090492     0.00265025       0.75667562     0.00340929        -4.73%      2.85%
          34          36          0.69823453     0.00285167       0.66625068     0.00254821       0.71728628     0.00327168        -4.58%      2.73%
          36          38          0.68457218     0.00280524       0.65390628     0.00251955       0.70266519     0.00320497        -4.48%      2.64%
          38          40          0.68970303     0.00284610       0.65693259     0.00255296       0.71038791     0.00324505        -4.75%      3.00%
          40          42          0.71096598     0.00290481       0.67640241     0.00261590       0.73342674     0.00330501        -4.86%      3.16%
          42          44          0.72798210     0.00296817       0.69390412     0.00266926       0.74965529     0.00338057        -4.68%      2.98%
          44          46          0.75992201     0.00306856       0.72493972     0.00277111       0.78186289     0.00348715        -4.60%      2.89%
          46          48          0.79038182     0.00318528       0.75392666     0.00286678       0.81322057     0.00362831        -4.61%      2.89%
          48          50          0.83928558     0.00341127       0.80069595     0.00307973       0.86333998     0.00386768        -4.60%      2.87%
          50          52          0.88457479     0.00345474       0.84531786     0.00312117       0.90850543     0.00392454        -4.44%      2.71%
          52          54          0.95058177     0.00361640       0.90592561     0.00326095       0.97939510     0.00411160        -4.70%      3.03%
          54          56           1.0098248     0.00377958       0.96206324     0.00342799        1.0406335     0.00426733        -4.73%      3.05%
          56          58           1.0886913     0.00394590        1.0391611     0.00356567        1.1198138     0.00447947        -4.55%      2.86%
          58          60           1.1756080     0.00419929        1.1195110     0.00380639        1.2123021     0.00474670        -4.77%      3.12%
          60          62           1.2566589     0.00433611        1.1980480     0.00391841        1.2940073     0.00491839        -4.66%      2.97%
          62          64           1.3375031     0.00451923        1.2755732     0.00408320        1.3769084     0.00512979        -4.63%      2.95%
          64          66           1.4264845     0.00467479        1.3630969     0.00422476        1.4654223     0.00531540        -4.44%      2.73%
          66          68           1.5372595     0.00484036        1.4657761     0.00438729        1.5831325     0.00547965        -4.65%      2.98%
          68          70           1.6410359     0.00502442        1.5660804     0.00455295        1.6886035     0.00569007        -4.57%      2.90%
          70          72           1.7345901     0.00511418        1.6547882     0.00463848        1.7855640     0.00578994        -4.60%      2.94%
          72          74           1.8166251     0.00523291        1.7333359     0.00473710        1.8696861     0.00593424        -4.58%      2.92%
          74          76           1.9100027     0.00519853        1.8250869     0.00470886        1.9627964     0.00589850        -4.45%      2.76%
          76          78           1.9719751     0.00514507        1.8854873     0.00467381        2.0256946     0.00582595        -4.39%      2.72%
          78          80           1.9783230     0.00494823        1.8904717     0.00449639        2.0336000     0.00558309        -4.44%      2.79%
          80          82           1.9350082     0.00452386        1.8493814     0.00413115        1.9896198     0.00507463        -4.43%      2.82%
          82          84           1.7754222     0.00395472        1.7013429     0.00364548        1.8221385     0.00439284        -4.17%      2.63%
          84          86           1.5632656     0.00353377        1.5026983     0.00333397        1.6026018     0.00383051        -3.87%      2.52%
          86          88           1.6551858     0.00407275        1.6052965     0.00399533        1.6944542     0.00439079        -3.01%      2.37%
          88          90           4.0311639     0.00788977        3.9300173     0.00781643        4.1368529     0.00851838        -2.51%      2.62%
          90          92           12.132732      0.0182424        11.836315      0.0182260        12.456893      0.0197279        -2.44%      2.67%
          92          94           5.3721478      0.0126231        5.2426326      0.0125853        5.5148757      0.0136048        -2.41%      2.66%
          94          96           1.6095844     0.00729039        1.5670679     0.00725608        1.6508605     0.00786277        -2.64%      2.56%
          96          98          0.75589622     0.00524032       0.73811743     0.00524510       0.77586225     0.00566667        -2.35%      2.64%
          98         100          0.45069503     0.00444413       0.43961504     0.00448773       0.46218680     0.00483747        -2.46%      2.55%
         100         102          0.30863007     0.00296050       0.30110515     0.00290063       0.31667801     0.00318316        -2.44%      2.61%
         102         104          0.22858807     0.00242401       0.22304734     0.00238278       0.23421494     0.00259886        -2.42%      2.46%
         104         106          0.17271600     0.00218129       0.16752180     0.00213865       0.17682796     0.00234740        -3.01%      2.38%
         106         108          0.13920140     0.00182859       0.13502512     0.00179319       0.14257404     0.00195915        -3.00%      2.42%
         108         110          0.11379794     0.00173299       0.11098896     0.00169391       0.11631684     0.00186460        -2.47%      2.21%
         110         112         0.099251402     0.00189259      0.097275046     0.00176148       0.10170297     0.00205967        -1.99%      2.47%
         112         114         0.087197664     0.00152206      0.085149246     0.00150073      0.089432656     0.00164252        -2.35%      2.56%
         114         116         0.074437653     0.00128404      0.072812289     0.00126432      0.076304966     0.00137502        -2.18%      2.51%
         116         118         0.068664037     0.00126894      0.067011439     0.00123349      0.070296849     0.00136328        -2.41%      2.38%
         118         120         0.059800979     0.00117182      0.057890460     0.00114231      0.061273050     0.00120904        -3.19%      2.46%
         120         122         0.053603939    0.000977237      0.052081703    0.000937724      0.054941474     0.00104002        -2.84%      2.50%
         122         124         0.047362977    0.000957571      0.045936820    0.000930459      0.048474686    0.000991992        -3.01%      2.35%
         124         126         0.043026595    0.000933195      0.041764336    0.000910291      0.044025661    0.000964488        -2.93%      2.32%
         126         128         0.039958817    0.000864677      0.039183089    0.000844501      0.040835996    0.000919536        -1.94%      2.20%
         128         130         0.037966571    0.000846238      0.037012861    0.000830680      0.038965810    0.000904781        -2.51%      2.63%
         130         132         0.034682750    0.000726369      0.033790461    0.000709852      0.035534812    0.000766984        -2.57%      2.46%
         132         134         0.031098198    0.000760877      0.030454765    0.000718199      0.031896343    0.000816055        -2.07%      2.57%
         134         136         0.028573223    0.000642147      0.027830476    0.000631234      0.029324245    0.000681596        -2.60%      2.63%
         136         138         0.026925323    0.000682439      0.026262389    0.000663703      0.027501723    0.000727569        -2.46%      2.14%
         138         140         0.024794148    0.000658871      0.024271269    0.000655553      0.025354658    0.000705844        -2.11%      2.26%
         140         142         0.022270635    0.000627387      0.021855476    0.000592247      0.022785619    0.000672823        -1.86%      2.31%
         142         144         0.022132671    0.000562102      0.021605183    0.000568083      0.022645339    0.000595863        -2.38%      2.32%
         144         146         0.020100771    0.000581157      0.019754353    0.000551386      0.020530484    0.000619855        -1.72%      2.14%
         146         148         0.018354715    0.000504718      0.017991351    0.000494628      0.018764105    0.000537377        -1.98%      2.23%
         148         150         0.019223789    0.000523105      0.018794848    0.000497320      0.019755870    0.000556695        -2.23%      2.77%
         150         152         0.017780823    0.000470071      0.017409721    0.000450272      0.018241157    0.000496069        -2.09%      2.59%
         152         154         0.017133636    0.000467761      0.016769161    0.000446146      0.017585749    0.000496013        -2.13%      2.64%
         154         156         0.016750211    0.000440814      0.016299632    0.000423289      0.017179743    0.000464008        -2.69%      2.56%
         156         158         0.015620580    0.000467596      0.015141631    0.000458333      0.016032705    0.000481214        -3.07%      2.64%
         158         160         0.013718774    0.000397870      0.013474314    0.000386039      0.013997948    0.000419961        -1.78%      2.03%
         160         162         0.012678492    0.000472733      0.012476572    0.000444386      0.012928963    0.000509229        -1.59%      1.98%
         162         164         0.013257810    0.000382679      0.013012043    0.000368700      0.013562673    0.000401151        -1.85%      2.30%
         164         166         0.012413288    0.000392441      0.012203089    0.000374955      0.012674030    0.000415338        -1.69%      2.10%
         166         168         0.012288176    0.000439641      0.012043101    0.000412961      0.012592181    0.000473963        -1.99%      2.47%
         168         170         0.012018580    0.000390517      0.011763442    0.000369986      0.012335066    0.000417165        -2.12%      2.63%
