#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10           17.555950      0.0259329        16.472344      0.0259454        18.640110      0.0261023        -6.17%      6.18%
          10          20           7.1060949      0.0240260        6.4394253      0.0221109        7.8048929      0.0261838        -9.38%      9.83%
          20          30           2.7265999     0.00969083        2.5051415     0.00901162        2.9998288      0.0106222        -8.12%     10.02%
          30          40           1.3801208     0.00566469        1.2651713     0.00524736        1.5227100     0.00619403        -8.33%     10.33%
          40          50          0.78023980     0.00375495       0.71211819     0.00348813       0.86474123     0.00409433        -8.73%     10.83%
          50          60          0.48757097     0.00248508       0.44365307     0.00227922       0.54204891     0.00274363        -9.01%     11.17%
          60          70          0.33316098     0.00213087       0.30298051     0.00198010       0.37059832     0.00232271        -9.06%     11.24%
          70          80          0.22848740     0.00146070       0.20759038     0.00133500       0.25440911     0.00161803        -9.15%     11.34%
          80          90          0.16629470     0.00124021       0.15103918     0.00113929       0.18521842     0.00136717        -9.17%     11.38%
          90         100          0.12473533     0.00147543       0.11335408     0.00141516       0.13885319     0.00155468        -9.12%     11.32%
         100         110         0.092221326    0.000817366      0.083693901    0.000743082       0.10279917    0.000909874        -9.25%     11.47%
         110         120         0.069927883    0.000680659      0.063448981    0.000619420      0.077964635    0.000756995        -9.27%     11.49%
         120         130         0.055271433    0.000722290      0.050017988    0.000673699      0.061593179    0.000782018        -9.50%     11.44%
         130         140         0.044892393    0.000536162      0.040412236    0.000479927      0.050070508    0.000596998        -9.98%     11.53%
         140         150         0.034748594    0.000468774      0.031166391    0.000423560      0.038874308    0.000522720       -10.31%     11.87%
         150         160         0.028948284    0.000400257      0.025792772    0.000353253      0.032629903    0.000457173       -10.90%     12.72%
         160         170         0.023246454    0.000350097      0.020646031    0.000308771      0.026298583    0.000400059       -11.19%     13.13%
         170         180         0.019810217    0.000370456      0.017513876    0.000323743      0.022540782    0.000428469       -11.59%     13.78%
         180         190         0.016683814    0.000308412      0.014711383    0.000269795      0.019035141    0.000355675       -11.82%     14.09%
         190         200         0.012677709    0.000279392      0.011141266    0.000242506      0.014521511    0.000325281       -12.12%     14.54%
         200         210         0.010664759    0.000233831     0.0093474994    0.000204111      0.012259080    0.000270962       -12.35%     14.95%
         210         220        0.0098036609    0.000224368     0.0085784995    0.000196297      0.011292410    0.000259280       -12.50%     15.19%
         220         230        0.0078518915    0.000191695     0.0068374872    0.000165939     0.0090903871    0.000223906       -12.92%     15.77%
