#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           19.203047      0.0363854        18.366353      0.0322228        19.825576      0.0383114        -4.36%      3.24%
           5          10           10.876409      0.0956160        10.267218      0.0851148        11.236095       0.105165        -5.60%      3.31%
          10          15           5.4969840       0.100786        5.2313476      0.0899587        5.6637106       0.110550        -4.83%      3.03%
          15          20           4.2265205      0.0550096        4.0258392      0.0495068        4.3607938      0.0599607        -4.75%      3.18%
          20          25           3.6070914      0.0483256        3.4559370      0.0433146        3.7051791      0.0529058        -4.19%      2.72%
          25          30           3.2960640      0.0411021        3.1617465      0.0371044        3.3843871      0.0447595        -4.08%      2.68%
          30          35           3.2827134      0.0459967        3.1425347      0.0416547        3.3786575      0.0498995        -4.27%      2.92%
          35          40           2.6644537      0.0463851        2.5762388      0.0420513        2.7198099      0.0459486        -3.31%      2.08%
          40          45           2.1573666      0.0372519        2.0861610      0.0338811        2.2020670      0.0402644        -3.30%      2.07%
          45          50           1.4155149      0.0307932        1.3559492      0.0284326        1.4743173      0.0340441        -4.21%      4.15%
          50          55          0.86899730      0.0217828       0.83723091      0.0201609       0.90840190      0.0238177        -3.66%      4.53%
          55          60          0.61023603      0.0190472       0.58854765      0.0178418       0.63713937      0.0205657        -3.55%      4.41%
          60          65          0.48371250      0.0171072       0.46519722      0.0157075       0.50667976      0.0188566        -3.83%      4.75%
          65          70          0.36952872      0.0185647       0.35476701      0.0170340       0.38783987      0.0204766        -3.99%      4.96%
          70          75          0.22944887      0.0146554       0.22338482      0.0133914       0.23697102      0.0162333        -2.64%      3.28%
          75          80          0.22807106      0.0132299       0.21919516      0.0120877       0.23908115      0.0146539        -3.89%      4.83%
          80          85          0.16050045      0.0121575       0.15494874      0.0110716       0.16738707      0.0135094        -3.46%      4.29%
          85          90          0.14399098      0.0101244       0.13834446     0.00930309       0.15099520      0.0111512        -3.92%      4.86%
          90          95          0.12530256     0.00644689       0.12007745     0.00591106       0.13178405     0.00711593        -4.17%      5.17%
          95         100          0.10217682     0.00623629      0.098006575     0.00582727       0.10734980     0.00675001        -4.08%      5.06%
         100         105         0.063518253     0.00625561      0.061204006     0.00593805      0.066388959     0.00665513        -3.64%      4.52%
         105         110         0.072613896     0.00690433      0.069133687     0.00641525      0.076930919     0.00751629        -4.79%      5.95%
         110         115         0.039458393     0.00658614      0.038347555     0.00617994      0.040836332     0.00710006        -2.82%      3.49%
         115         120         0.045818998     0.00380576      0.043290842     0.00367770      0.048950886     0.00399460        -5.52%      6.84%
         120         125         0.039851911     0.00527000      0.038087595     0.00492837      0.042066190     0.00567055        -4.43%      5.56%
         125         130         0.037826163     0.00448845      0.036041731     0.00413404      0.039991412     0.00489940        -4.72%      5.72%
         130         135         0.017488934     0.00451242      0.016740665     0.00417628      0.018492821     0.00491852        -4.28%      5.74%
         135         140         0.025473263     0.00450081      0.024163595     0.00410601      0.027097839     0.00499212        -5.14%      6.38%
         140         145         0.019257279     0.00187477      0.018476360     0.00172577      0.020274881     0.00205386        -4.06%      5.28%
         145         150         0.020157610     0.00426045      0.019087598     0.00390175      0.021480391     0.00467028        -5.31%      6.56%
         150         155         0.013375811     0.00436255      0.012943540     0.00399299      0.013937616     0.00478491        -3.23%      4.20%
         155         160         0.015809368     0.00226564      0.014906290     0.00208553      0.016924318     0.00247622        -5.71%      7.05%
         160         165         0.011821567     0.00202628      0.010934913     0.00183603      0.012943717     0.00226319        -7.50%      9.49%
         165         170         0.010616481     0.00243924      0.010091940     0.00219173      0.011278657     0.00275537        -4.94%      6.24%
         170         175        0.0048294998     0.00158813     0.0046341807     0.00149907     0.0050717835     0.00169996        -4.04%      5.02%
         175         180         0.011614915     0.00215877      0.010811709     0.00196456      0.012594761     0.00238846        -6.92%      8.44%
         180         185       0.00088762125     0.00260145    0.00060938976     0.00290489     0.0011119201     0.00235744       -31.35%     25.27%
         185         190         0.010316873     0.00294942     0.0096119831     0.00271823      0.011187470     0.00320919        -6.83%      8.44%
         190         195        0.0085942649     0.00157534     0.0080430850     0.00144547     0.0092539556     0.00172334        -6.41%      7.68%
