#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5        0.0060035144    0.000632408     0.0048994186    0.000515680     0.0075289167    0.000793951       -18.39%     25.41%
           5          10         0.011277606    0.000876619     0.0091726158    0.000712508      0.014202341     0.00110499       -18.67%     25.93%
          10          15         0.023875212     0.00117315      0.019391106    0.000951662      0.030120262     0.00148231       -18.78%     26.16%
          15          20         0.038522286     0.00135131      0.031343286     0.00109886      0.048490864     0.00170234       -18.64%     25.88%
          20          25         0.052249137     0.00142316      0.042566888     0.00115837      0.065666102     0.00179086       -18.53%     25.68%
          25          30         0.063567025     0.00148346      0.051853814     0.00120876      0.079763841     0.00186425       -18.43%     25.48%
          30          35         0.076572905     0.00157266      0.062626819     0.00128516      0.095773683     0.00196935       -18.21%     25.08%
          35          40         0.088727831     0.00162189      0.072804199     0.00133000       0.11052821     0.00202221       -17.95%     24.57%
          40          45          0.10933145     0.00163499      0.089979539     0.00134658       0.13568991     0.00202759       -17.70%     24.11%
          45          50          0.14716137     0.00182949       0.12123811     0.00149779       0.18221783     0.00226111       -17.62%     23.82%
          50          55          0.10965051     0.00162864      0.089956004     0.00132932       0.13545130     0.00200883       -17.96%     23.53%
          55          60         0.073471523     0.00140245      0.059892768     0.00114008      0.091128073     0.00174618       -18.48%     24.03%
          60          65         0.055819308     0.00125197      0.045302901     0.00101641      0.069597423     0.00156094       -18.84%     24.68%
          65          70         0.044256117     0.00111376      0.035872946    0.000903053      0.055264468     0.00139079       -18.94%     24.87%
          70          75         0.037013185     0.00101421      0.029915400    0.000819854      0.046378887     0.00127103       -19.18%     25.30%
          75          80         0.031164549    0.000930235      0.025174237    0.000751806      0.039077476     0.00116608       -19.22%     25.39%
          80          85         0.025274630    0.000838678      0.020378655    0.000676604      0.031761988     0.00105351       -19.37%     25.67%
          85          90         0.021398680    0.000776703      0.017235547    0.000626029      0.026924588    0.000976779       -19.46%     25.82%
          90          95         0.017215896    0.000694015      0.013839206    0.000558004      0.021713577    0.000875548       -19.61%     26.13%
          95         100         0.014743542    0.000618626      0.011836191    0.000497141      0.018622958    0.000780634       -19.72%     26.31%
         100         105         0.011820023    0.000547515     0.0094849860    0.000440010      0.014938758    0.000690915       -19.75%     26.39%
         105         110        0.0094188862    0.000494106     0.0075449233    0.000396257      0.011927968    0.000625012       -19.90%     26.64%
         110         115        0.0083114025    0.000453180     0.0066446799    0.000362657      0.010550704    0.000574824       -20.05%     26.94%
         115         120        0.0070060389    0.000414934     0.0056070166    0.000332694     0.0088818121    0.000524959       -19.97%     26.77%
         120         125        0.0055575067    0.000344838     0.0044305925    0.000274867     0.0070793750    0.000439753       -20.28%     27.38%
         125         130        0.0054369465    0.000341522     0.0043422756    0.000273161     0.0069094863    0.000433366       -20.13%     27.08%
         130         135        0.0039633938    0.000272468     0.0031541981    0.000216630     0.0050577900    0.000348192       -20.42%     27.61%
         135         140        0.0033279981    0.000250080     0.0026407197    0.000197419     0.0042619821    0.000322425       -20.65%     28.06%
         140         145        0.0025919074    0.000202880     0.0020593490    0.000160711     0.0033137626    0.000260316       -20.55%     27.85%
         145         150        0.0024039800    0.000199220     0.0019059042    0.000157022     0.0030820235    0.000257419       -20.72%     28.21%
         150         155        0.0019172695    0.000164353     0.0015238148    0.000130299     0.0024502520    0.000210658       -20.52%     27.80%
         155         160        0.0016841994    0.000190124     0.0013298074    0.000149133     0.0021693706    0.000246951       -21.04%     28.81%
         160         165        0.0013994766    0.000172216     0.0011075665    0.000136182     0.0017973030    0.000221397       -20.86%     28.43%
         165         170        0.0012942872    0.000178380     0.0010245581    0.000141096     0.0016617183    0.000229224       -20.84%     28.39%
         170         175        0.0012333680    0.000186275    0.00097481252    0.000147153     0.0015863461    0.000239736       -20.96%     28.62%
         175         180        0.0010503847    0.000169185    0.00082755771    0.000133335     0.0013559960    0.000218347       -21.21%     29.10%
         180         185       0.00087698940    0.000159525    0.00068949092    0.000125267     0.0011350056    0.000206783       -21.38%     29.42%
         185         190       0.00086408859    0.000152957    0.00068044082    0.000120414     0.0011163711    0.000197749       -21.25%     29.20%
         190         195       0.00050624108    0.000116092    0.00039871050    9.14962e-05    0.00065378693    0.000149822       -21.24%     29.15%
         195         200       0.00063455855    0.000143841    0.00049864250    0.000113006    0.00082163094    0.000186298       -21.42%     29.48%
         200         205       0.00054707239    0.000128541    0.00042773070    0.000100394    0.00071247224    0.000167619       -21.81%     30.23%
         205         210       0.00058725387    0.000145791    0.00046080531    0.000114249    0.00076166090    0.000189367       -21.53%     29.70%
         210         215       0.00056618087    0.000133281    0.00044445367    0.000104710    0.00073404603    0.000172645       -21.50%     29.65%
         215         220       0.00031081284    9.00969e-05    0.00024264548    7.04531e-05    0.00040555487    0.000117346       -21.93%     30.48%
         220         225       0.00042095271    0.000129422    0.00032963732    0.000101152    0.00054719353    0.000168601       -21.69%     29.99%
         225         230       0.00029030572    8.92385e-05    0.00022817554    7.02425e-05    0.00037576396    0.000115313       -21.40%     29.44%
         230         235       0.00019999305    7.06557e-05    0.00015696906    5.54905e-05    0.00025927221    9.15349e-05       -21.51%     29.64%
         235         240       0.00021222756    7.83348e-05    0.00016568262    6.11694e-05    0.00027699683    0.000102235       -21.93%     30.52%
         240         245       0.00031546358    0.000107539    0.00024591596    8.37213e-05    0.00041213924    0.000140704       -22.05%     30.65%
         245         250       0.00010732662    5.53530e-05    8.3693650e-05    4.31352e-05    0.00014015682    7.23462e-05       -22.02%     30.59%
         250         255       0.00020474119    7.32711e-05    0.00015798233    5.66000e-05    0.00027084781    9.68213e-05       -22.84%     32.29%
         255         260       0.00013079502    5.60699e-05    0.00010132734    4.34423e-05    0.00017219073    7.38208e-05       -22.53%     31.65%
         260         265       0.00029025021    9.89809e-05    0.00022578495    7.68430e-05    0.00038017070    0.000129961       -22.21%     30.98%
         265         270       0.00015937150    9.59620e-05    0.00012403572    7.45703e-05    0.00020856404    0.000125794       -22.17%     30.87%
         270         275       0.00011524010    7.71554e-05    8.9599174e-05    6.02209e-05    0.00015099494    0.000100642       -22.25%     31.03%
         275         280       0.00017160013    7.18666e-05    0.00013342492    5.59103e-05    0.00022484152    9.41108e-05       -22.25%     31.03%
         280         285       0.00015789864    8.51929e-05    0.00012261877    6.61937e-05    0.00020722160    0.000111725       -22.34%     31.24%
         285         290       0.00013875281    0.000101947    0.00010819323    7.94633e-05    0.00018119706    0.000133191       -22.02%     30.59%
         290         295       2.4919973e-05    2.49201e-05    1.9386781e-05    1.93868e-05    3.2635766e-05    3.26359e-05       -22.20%     30.96%
         295         300       6.9453645e-06    4.84564e-06    5.3780993e-06    3.75482e-06    9.1461558e-06    6.37614e-06       -22.57%     31.69%
         300         305                   0              0                0              0                0              0            0%         0%
         305         310                   0              0                0              0                0              0            0%         0%
         310         315       5.3009326e-05    3.74881e-05    4.1254297e-05    2.91730e-05    6.9391526e-05    4.90792e-05       -22.18%     30.90%
         315         320       2.4166148e-06    1.77455e-06    1.8901044e-06    1.38773e-06    3.1447481e-06    2.30962e-06       -21.79%     30.13%
         320         325       4.1127036e-06    3.23741e-06    3.1293877e-06    2.46052e-06    5.5288662e-06    4.35912e-06       -23.91%     34.43%
         325         330                   0              0                0              0                0              0            0%         0%
         330         335       4.4052117e-05    4.40523e-05    3.4046852e-05    3.40470e-05    5.8096135e-05    5.80963e-05       -22.71%     31.88%
         335         340       7.4218911e-06    7.42192e-06    5.6336397e-06    5.63366e-06    9.9892748e-06    9.98931e-06       -24.09%     34.59%
         340         345       1.3177215e-05    9.42360e-06    1.0131115e-05    7.26317e-06    1.7488943e-05    1.24755e-05       -23.12%     32.72%
         345         350       1.3829095e-05    1.38291e-05    1.0419807e-05    1.04198e-05    1.8791237e-05    1.87913e-05       -24.65%     35.88%
         350         355                   0              0                0              0                0              0            0%         0%
         355         360                   0              0                0              0                0              0            0%         0%
         360         365       5.5739744e-06    5.56812e-06    4.2694108e-06    4.26512e-06    7.4303431e-06    7.42215e-06       -23.40%     33.30%
         365         370       9.6949535e-06    7.68124e-06    7.3940550e-06    5.84852e-06    1.2981121e-05    1.03039e-05       -23.73%     33.90%
         370         375       2.4036320e-07    2.40364e-07    1.8152791e-07    1.81529e-07    3.2529765e-07    3.25299e-07       -24.48%     35.34%
         375         380       1.7251615e-05    1.47285e-05    1.3248422e-05    1.13013e-05    2.2915030e-05    1.95817e-05       -23.20%     32.83%
         380         385       4.5128319e-05    3.31478e-05    3.4630319e-05    2.54284e-05    6.0003087e-05    4.40907e-05       -23.26%     32.96%
         385         390                   0              0                0              0                0              0            0%         0%
         390         395                   0              0                0              0                0              0            0%         0%
         395         400                   0              0                0              0                0              0            0%         0%
         400         405                   0              0                0              0                0              0            0%         0%
