#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0         0.1          -22.056105        19.8715       -32.534349        29.1933       -15.390524        13.9111        47.51%    -30.22%
         0.1         0.2           3.3258239        4.38510        2.5436369        3.25329        4.5044170        6.11361       -23.52%     35.44%
         0.2         0.3           4.3658488        2.35497        3.4818483        1.71224        5.5867909        3.32320       -20.25%     27.97%
         0.3         0.4           3.2790960        1.51133        2.5988150        1.11197        4.2677809        2.12908       -20.75%     30.15%
         0.4         0.5          0.62704165       0.888360       0.50490835        1.22466       0.67908506       0.893910       -19.48%      8.30%
         0.5         0.6           1.8164004       0.623044        1.5133767       0.459268        2.2274351       0.872041       -16.68%     22.63%
         0.6         0.7           2.9892533       0.969066        2.3587009       0.708881        3.9073177        1.37488       -21.09%     30.71%
         0.7         0.8           1.5165115       0.408607        1.2633834       0.302084        1.8547718       0.572793       -16.69%     22.31%
         0.8         0.9           1.0676486       0.488505       0.95831236       0.360672        1.1711621       0.685965       -10.24%      9.70%
         0.9           1           1.3416486       0.569805        1.1560936       0.421432        1.5705926       0.798308       -13.83%     17.06%
           1         1.1           3.1357684        1.44415        2.4710034        1.06674        4.1070187        2.02301       -21.20%     30.97%
         1.1         1.2           1.7640639       0.826018        1.4598385       0.592068        2.1843661        1.20090       -17.25%     23.83%
         1.2         1.3           2.8846624       0.977756        2.2976569       0.710063        3.7371764        1.39965       -20.35%     29.55%
         1.3         1.4          0.61247863       0.972531       0.46751452        1.39000       0.68315345       0.886041       -23.67%     11.54%
         1.4         1.5           1.9470847       0.569005        1.6395519       0.412572        2.3533677       0.806292       -15.79%     20.87%
         1.5         1.6           2.9356524        1.51397        2.4360889        1.11234        3.5815521        2.02995       -17.02%     22.00%
         1.6         1.7         -0.11744920        1.76501      -0.68416314        2.46138       0.20007055        1.29625       482.52%   -270.35%
         1.7         1.8          0.81386517        1.56208       0.55567345        2.20088       0.91357667        1.13653       -31.72%     12.25%
         1.8         1.9           2.5644897        1.27420        2.1953399       0.949835        3.0249633        1.74585       -14.39%     17.96%
         1.9           2           4.2772108        1.01160        3.4833127       0.747929        5.3899053        1.41812       -18.56%     26.01%
           2         2.1           2.3190594       0.855795        2.0278686       0.621550        2.6619827        1.21348       -12.56%     14.79%
         2.1         2.2           3.0432550       0.713103        2.6127545       0.522834        3.5788049       0.978975       -14.15%     17.60%
         2.2         2.3           3.6713389        1.75812        3.1272100        1.33643        4.3667655        2.37889       -14.82%     18.94%
