#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0        0.15           2.6056390     0.00514594        2.1552541     0.00426458        3.2098251     0.00634590       -17.29%     23.19%
        0.15         0.3           2.5782919     0.00503670        2.1323302     0.00417254        3.1761869     0.00621046       -17.30%     23.19%
         0.3        0.45           2.5066835     0.00501174        2.0726309     0.00414959        3.0882035     0.00617895       -17.32%     23.20%
        0.45         0.6           2.4045199     0.00496162        1.9875604     0.00410845        2.9627604     0.00611947       -17.34%     23.22%
         0.6        0.75           2.2692228     0.00480843        1.8750238     0.00397906        2.7966572     0.00593082       -17.37%     23.24%
        0.75         0.9           2.1042567     0.00464444        1.7377541     0.00384122        2.5939493     0.00572989       -17.42%     23.27%
         0.9        1.05           1.9305752     0.00444699        1.5931122     0.00367597        2.3804139     0.00548834       -17.48%     23.30%
        1.05         1.2           1.7034243     0.00417068        1.4046424     0.00344410        2.1011804     0.00514851       -17.54%     23.35%
         1.2        1.35           1.4691794     0.00390191        1.2102740     0.00321822        1.8129251     0.00481790       -17.62%     23.40%
        1.35         1.5           1.2262668     0.00357658        1.0090396     0.00294616        1.5138816     0.00441788       -17.71%     23.45%
         1.5        1.65          0.98472501     0.00323021       0.80947914     0.00265980        1.2165213     0.00399414       -17.80%     23.54%
        1.65         1.8          0.73131825     0.00276606       0.60038817     0.00227419       0.90406423     0.00342206       -17.90%     23.62%
         1.8        1.95          0.50848100     0.00230432       0.41696298     0.00189290       0.62917096     0.00285389       -18.00%     23.74%
        1.95         2.1          0.32389844     0.00184321       0.26525308     0.00151293       0.40117053     0.00228570       -18.11%     23.86%
         2.1        2.25          0.17715624     0.00137294       0.14494019     0.00112658       0.21970449     0.00170534       -18.19%     24.02%
        2.25         2.4         0.079845864    0.000932654      0.065326874    0.000766767      0.099222349     0.00116198       -18.18%     24.27%
         2.4        2.55         0.022248292    0.000507096      0.018185166    0.000416971      0.027689468    0.000633124       -18.26%     24.46%
        2.55         2.7        0.0020426310    0.000168456     0.0016718806    0.000137309     0.0025525915    0.000211641       -18.15%     24.97%
         2.7        2.85                   0              0                0              0                0              0            0%         0%
        2.85           3                   0              0                0              0                0              0            0%         0%
           3        3.15                   0              0                0              0                0              0            0%         0%
        3.15         3.3                   0              0                0              0                0              0            0%         0%
         3.3        3.45                   0              0                0              0                0              0            0%         0%
        3.45         3.6                   0              0                0              0                0              0            0%         0%
         3.6        3.75                   0              0                0              0                0              0            0%         0%
        3.75         3.9                   0              0                0              0                0              0            0%         0%
         3.9        4.05                   0              0                0              0                0              0            0%         0%
        4.05         4.2                   0              0                0              0                0              0            0%         0%
         4.2        4.35                   0              0                0              0                0              0            0%         0%
        4.35         4.5                   0              0                0              0                0              0            0%         0%
         4.5        4.65                   0              0                0              0                0              0            0%         0%
        4.65         4.8                   0              0                0              0                0              0            0%         0%
         4.8        4.95                   0              0                0              0                0              0            0%         0%
        4.95         5.1                   0              0                0              0                0              0            0%         0%
         5.1        5.25                   0              0                0              0                0              0            0%         0%
        5.25         5.4                   0              0                0              0                0              0            0%         0%
         5.4        5.55                   0              0                0              0                0              0            0%         0%
        5.55         5.7                   0              0                0              0                0              0            0%         0%
         5.7        5.85                   0              0                0              0                0              0            0%         0%
        5.85           6                   0              0                0              0                0              0            0%         0%
           6        6.15                   0              0                0              0                0              0            0%         0%
        6.15         6.3                   0              0                0              0                0              0            0%         0%
         6.3        6.45                   0              0                0              0                0              0            0%         0%
        6.45         6.6                   0              0                0              0                0              0            0%         0%
         6.6        6.75                   0              0                0              0                0              0            0%         0%
        6.75         6.9                   0              0                0              0                0              0            0%         0%
         6.9        7.05                   0              0                0              0                0              0            0%         0%
        7.05         7.2                   0              0                0              0                0              0            0%         0%
         7.2        7.35                   0              0                0              0                0              0            0%         0%
        7.35         7.5                   0              0                0              0                0              0            0%         0%
         7.5        7.65                   0              0                0              0                0              0            0%         0%
        7.65         7.8                   0              0                0              0                0              0            0%         0%
         7.8        7.95                   0              0                0              0                0              0            0%         0%
        7.95         8.1                   0              0                0              0                0              0            0%         0%
         8.1        8.25                   0              0                0              0                0              0            0%         0%
        8.25         8.4                   0              0                0              0                0              0            0%         0%
         8.4        8.55                   0              0                0              0                0              0            0%         0%
        8.55         8.7                   0              0                0              0                0              0            0%         0%
         8.7        8.85                   0              0                0              0                0              0            0%         0%
        8.85           9                   0              0                0              0                0              0            0%         0%
