#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5         0.080826029     0.00943823      0.065996821     0.00772334       0.10129820      0.0117948       -18.35%     25.33%
           5          10         0.090953278    0.000185118      0.074409882    0.000150989       0.11372329    0.000232369       -18.19%     25.03%
          10          15         0.098276091    0.000182229      0.080574742    0.000149036       0.12255459    0.000227991       -18.01%     24.70%
          15          20         0.099386696    0.000182173      0.081666446    0.000149424       0.12360407    0.000227116       -17.83%     24.37%
          20          25         0.096652207    0.000183072      0.079593124    0.000150542       0.11988162    0.000227527       -17.65%     24.03%
          25          30         0.095432562    0.000182880      0.078454734    0.000150595       0.11812544    0.000226762       -17.79%     23.78%
          30          35         0.098147861    0.000181579      0.080525845    0.000149035       0.12133348    0.000224722       -17.95%     23.62%
          35          40         0.098856424    0.000176029      0.081007327    0.000143985       0.12210204    0.000217450       -18.06%     23.51%
          40          45         0.092985284    0.000166333      0.076122641    0.000135742       0.11476608    0.000205186       -18.13%     23.42%
          45          50         0.071955830    0.000145772      0.058811528    0.000118760      0.088971235    0.000181043       -18.27%     23.65%
          50          55         0.048976059    0.000120722      0.039889638    9.80638e-05      0.060813644    0.000150459       -18.55%     24.17%
          55          60         0.033978346    0.000102517      0.027547317    8.30303e-05      0.042423288    0.000128212       -18.93%     24.85%
          60          65         0.025536132    8.99988e-05      0.020639355    7.27570e-05      0.031999702    0.000112806       -19.18%     25.31%
          65          70         0.020273677    7.99268e-05      0.016360738    6.45303e-05      0.025452140    0.000100334       -19.30%     25.54%
          70          75         0.016295217    7.14386e-05      0.013130315    5.75963e-05      0.020494458    8.98300e-05       -19.42%     25.77%
          75          80         0.013197247    6.41712e-05      0.010620532    5.16701e-05      0.016623405    8.08174e-05       -19.52%     25.96%
          80          85         0.010705176    5.74127e-05     0.0086026031    4.61666e-05      0.013507409    7.24176e-05       -19.64%     26.18%
          85          90        0.0086830340    5.15013e-05     0.0069687571    4.13600e-05      0.010972626    6.50622e-05       -19.74%     26.37%
          90          95        0.0070253565    4.59839e-05     0.0056305433    3.68774e-05     0.0088923439    5.81874e-05       -19.85%     26.57%
          95         100        0.0058689737    4.19104e-05     0.0046984610    3.35762e-05     0.0074384360    5.30947e-05       -19.94%     26.74%
         100         105        0.0048054802    3.74241e-05     0.0038412240    2.99335e-05     0.0061015668    4.75045e-05       -20.07%     26.97%
         105         110        0.0039027867    3.31608e-05     0.0031155055    2.64829e-05     0.0049631555    4.21685e-05       -20.17%     27.17%
         110         115        0.0032138857    2.96139e-05     0.0025632039    2.36265e-05     0.0040913857    3.76987e-05       -20.25%     27.30%
         115         120        0.0027001898    2.67782e-05     0.0021501149    2.13093e-05     0.0034439234    3.42001e-05       -20.37%     27.54%
         120         125        0.0022415360    2.37315e-05     0.0017823109    1.88492e-05     0.0028637651    3.03727e-05       -20.49%     27.76%
         125         130        0.0018558251    2.09610e-05     0.0014741459    1.66220e-05     0.0023737431    2.68778e-05       -20.57%     27.91%
         130         135        0.0015321433    1.85804e-05     0.0012159904    1.47033e-05     0.0019616584    2.38847e-05       -20.63%     28.03%
         135         140        0.0013018495    1.67669e-05     0.0010322877    1.32531e-05     0.0016685144    2.15776e-05       -20.71%     28.16%
         140         145        0.0010830967    1.50681e-05    0.00085762465    1.18793e-05     0.0013904188    1.94494e-05       -20.82%     28.37%
         145         150       0.00093644723    1.43643e-05    0.00074052469    1.13053e-05     0.0012039989    1.85761e-05       -20.92%     28.57%
         150         155       0.00080482311    1.37206e-05    0.00063604131    1.08026e-05     0.0010354744    1.77349e-05       -20.97%     28.66%
         155         160       0.00070140597    1.35712e-05    0.00055345690    1.06663e-05    0.00090409231    1.75817e-05       -21.09%     28.90%
         160         165       0.00057832403    1.27481e-05    0.00045617774    1.00291e-05    0.00074570437    1.64935e-05       -21.12%     28.94%
         165         170       0.00051270372    1.26769e-05    0.00040387147    9.96295e-06    0.00066216142    1.64235e-05       -21.23%     29.15%
         170         175       0.00043858397    1.18121e-05    0.00034522314    9.28238e-06    0.00056691996    1.53042e-05       -21.29%     29.26%
         175         180       0.00038948872    1.14825e-05    0.00030618910    9.01346e-06    0.00050417971    1.48944e-05       -21.39%     29.45%
         180         185       0.00033937972    1.07246e-05    0.00026679729    8.42539e-06    0.00043929015    1.38958e-05       -21.39%     29.44%
         185         190       0.00029102405    9.88723e-06    0.00022867243    7.76820e-06    0.00037689029    1.28076e-05       -21.42%     29.50%
         190         195       0.00025340363    9.28967e-06    0.00019885092    7.28707e-06    0.00032867238    1.20560e-05       -21.53%     29.70%
         195         200       0.00024530642    9.41179e-06    0.00019227556    7.37047e-06    0.00031860241    1.22406e-05       -21.62%     29.88%
         200         205       0.00020897667    8.61528e-06    0.00016370592    6.74529e-06    0.00027160516    1.12075e-05       -21.66%     29.97%
         205         210       0.00016738005    7.75934e-06    0.00013108174    6.07186e-06    0.00021759902    1.00997e-05       -21.69%     30.00%
         210         215       0.00014942264    7.30934e-06    0.00011688987    5.71643e-06    0.00019449885    9.51883e-06       -21.77%     30.17%
         215         220       0.00013944090    7.21868e-06    0.00010905008    5.64105e-06    0.00018155366    9.40902e-06       -21.79%     30.20%
         220         225       0.00011342992    6.43563e-06    8.8747463e-05    5.03362e-06    0.00014760527    8.37818e-06       -21.76%     30.13%
         225         230       0.00010573905    6.27419e-06    8.2610484e-05    4.89967e-06    0.00013783692    8.18483e-06       -21.87%     30.36%
         230         235       8.7512022e-05    5.74209e-06    6.8302844e-05    4.48170e-06    0.00011419849    7.49319e-06       -21.95%     30.49%
         235         240       8.9960156e-05    5.90303e-06    7.0107149e-05    4.59753e-06    0.00011760639    7.72399e-06       -22.07%     30.73%
         240         245       8.8994403e-05    6.09912e-06    6.9387672e-05    4.75384e-06    0.00011626285    7.97125e-06       -22.03%     30.64%
         245         250       7.1385410e-05    5.15772e-06    5.5576431e-05    4.01330e-06    9.3420680e-05    6.75511e-06       -22.15%     30.87%
