#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           13.360694      0.0927815        10.689122      0.0745673        16.113797       0.111622       -20.00%     20.61%
           5          10           8.6137226      0.0725638        7.1580775      0.0606474        10.053899      0.0844172       -16.90%     16.72%
          10          15           4.9768095      0.0561376        4.3056260      0.0490373        5.6078341      0.0627936       -13.49%     12.68%
          15          20           5.8249405      0.0624431        5.1029166      0.0551324        6.4905573      0.0691485       -12.40%     11.43%
          20          25           6.3555635      0.0636179        5.5863076      0.0562904        7.0614390      0.0703204       -12.10%     11.11%
          25          30           5.5576036      0.0571998        4.9010160      0.0507532        6.1579224      0.0630834       -11.81%     10.80%
          30          35           4.6717351      0.0490807        4.1421245      0.0438003        5.1530668      0.0538793       -11.34%     10.30%
          35          40           3.8395398      0.0419260        3.4312287      0.0378139        4.2070810      0.0456227       -10.63%      9.57%
          40          45           2.6639366      0.0380382        2.4158570      0.0348146        2.8825815      0.0408772        -9.31%      8.21%
          45          50           1.2026008      0.0291787        1.1139482      0.0272183        1.2775210      0.0308423        -7.37%      6.23%
          50          55          0.79515078      0.0238223       0.74388749      0.0223705       0.83731135      0.0250209        -6.45%      5.30%
          55          60          0.61304704      0.0204538       0.57502226      0.0192795       0.64407516      0.0214150        -6.20%      5.06%
          60          65          0.45379773      0.0176071       0.42814073      0.0167977       0.47441592      0.0182685        -5.65%      4.54%
          65          70          0.34640420      0.0150016       0.32737839      0.0142438       0.36156342      0.0156044        -5.49%      4.38%
          70          75          0.28197090      0.0132344       0.26750011      0.0125864       0.29334442      0.0137469        -5.13%      4.03%
          75          80          0.21156786      0.0112363       0.20102264      0.0107413       0.21979247      0.0116192        -4.98%      3.89%
          80          85          0.15564916     0.00836689       0.14853843     0.00802721       0.16109534     0.00862492        -4.57%      3.50%
          85          90          0.11636208     0.00800721       0.11128732     0.00772382       0.12021256     0.00821649        -4.36%      3.31%
          90          95          0.11739321     0.00779906       0.11279278     0.00750976       0.12079153     0.00801400        -3.92%      2.89%
          95         100         0.080990272     0.00597778      0.077973594     0.00577431      0.083186229     0.00612579        -3.72%      2.71%
         100         105         0.070513950     0.00624154      0.067940407     0.00601842      0.072375704     0.00640464        -3.65%      2.64%
         105         110         0.058071659     0.00560649      0.056123285     0.00541317      0.059450175     0.00574735        -3.36%      2.37%
         110         115         0.054185601     0.00604762      0.052768807     0.00594500      0.055102508     0.00610253        -2.61%      1.69%
         115         120         0.037679544     0.00393312      0.036823044     0.00388132      0.038208887     0.00395749        -2.27%      1.40%
